nombrePerfilConvocatoria,paisResidencia,sueldoPretendido,diasUltimoTrabajo,empresaUltimoTrabajo,paisUltimoTrabajo,areaUltimoTrabajo,nombreUltimoTrabajo,aniosExperiencia,numeroTrabajos,diasUltimoEstudio,institucionUltimoEstudio,paisUltimoEstudio,areaUltimoEstudio,nombreUltimoEstudio,estadoUltimoEstudio,gradoUltimoEstudio,aniosEstudio,numeroEstudios,habilidadesTecnicas,idiomas,otrasHabilidades,contratado
Desarrollador .Net,Peru,4800.0,181.0,Pss Peru S.A.C.,Peru,Otras Ingenierias,Analista De Sistemas,10.1,8.0,1948.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,8.1,2.0,9.0,2.0,10.0,0
Analista Programador,Peru,5000.0,325.0,Indra Peru S.A.,Peru,Programacion,Analista Programador,3.7,5.0,1086.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,5.8,2.0,24.0,1.0,18.0,0
Programador Oracle,Peru,5500.0,700.0,Universidad Peruana De Ciencias Aplicadas (Upc),Peru,Sistemas,Analista Programador,12.7,9.0,1277.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,6.1,2.0,19.0,1.0,5.4,0
Programador .Net,Peru,4000.0,90.0,Manpower Professional Services S.A.,Peru,Analisis De Datos,Analista Programador,3.9,8.0,1129.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,6.4,2.0,11.0,2.0,1.0,0
Programador .Net,Peru,2500.0,412.0,Deister Software Peru,Peru,Programacion,Analista Programador,2.4,3.0,412.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,5.1,2.0,9.4,1.0,5.4,0
Desarrollador Java,Peru,4000.0,273.0,Synapsis Solutions,Peru,Tecnologia / Sistemas,Analista Programador,3.4,3.0,984.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,2.7,1.0,5.0,1.3,1.0,0
Desarrollador .Net,Peru,4000.0,28.0,Quality And Development Software,Peru,Programacion,Analista Programador,2.5,4.0,518.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,4.2,2.0,15.0,1.0,5.4,1
Analista Programador,Peru,3000.0,568.0,Corporacion Sapia S.A.,Peru,Internet,Analista Programador,8.9,7.0,721.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,6.2,4.0,9.4,1.3,5.4,0
Especialista .Net Jr.,Peru,3000.0,273.0,Mas Soluciones Corredores De Seguros S.A.C.,Peru,Programacion,Analista Programador,7.1,5.0,852.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,8.8,4.0,18.0,1.0,5.0,0
Desarrollador .Net,Peru,2800.0,492.0,Gfi Peru Sac,Peru,Programacion,Analista Programador,2.1,3.0,158.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,3.8,2.0,13.0,2.0,3.0,0
Desarrollador .Net,Peru,4301.8,81.0,Manpower Professional Services S.A.,Peru,Business Intelligence,Analista Programador,8.8,6.0,1779.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,8.4,2.0,4.0,1.0,5.4,0
Lider Tecnico,Peru,7500.0,1172.0,Cia. Importadora Derteano &Amp; Stucker S.A.C,Peru,Tecnologias De La Informacion,Consultor De Ti,9.5,7.0,1370.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,6.8,2.0,6.0,1.0,7.0,1
Cloud Specialist,Peru,3200.0,152.0,Canvia S.A.C.,Peru,Infraestructura,Administrador De Sistemas,3.3,3.0,578.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,8.6,3.0,5.0,1.0,10.0,0
Analista Programador .Net,Peru,6000.0,315.0,Canvia S.A.C.,Peru,Tecnologia / Sistemas,Desarrollador Fullstack,0.9,1.0,1866.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,8.1,2.0,9.4,1.3,5.4,0
Programador Java,Peru,5500.0,334.0,Canvia S.A.C.,Peru,Tecnologia / Sistemas,Desarrollador Fullstack,7.7,8.0,1885.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,8.2,2.0,9.4,1.0,5.4,0
Programador .Net,Peru,5500.0,487.0,Inetum Peru S.A.C.,Peru,Seguros,Analista Programador,16.5,9.0,2499.0,Universidad Peruana De Ciencias Aplicadas,Peru,Computacion / Informatica,Ingenieria De Sistemas,En Curso,Universitario,10.6,2.0,31.0,1.0,3.0,0
Analista Funcional,Peru,4500.0,644.0,Canvia S.A.C.,Peru,Telecomunicaciones,Analista De Soporte,12.5,6.0,2252.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,10.1,2.0,15.0,2.0,7.0,0
Analista Funcional,Peru,4500.0,260.0,Laboratorios Ac Farma S.A.,Peru,Tecnologias De La Informacion,Analista De Soporte,12.3,7.0,2252.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,10.1,2.0,15.0,2.0,7.0,0
Analista Funcional,Peru,4500.0,260.0,Laboratorios Ac Farma S.A.,Peru,Tecnologias De La Informacion,Analista De Soporte,12.3,7.0,2252.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,10.1,2.0,15.0,2.0,11.0,0
Analista Funcional,Peru,4200.0,911.0,Global Hitss Peru S.A.C.,Peru,Ingenieria De Procesos,Analista De Soporte,12.0,5.0,2454.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,11.1,2.0,10.0,1.0,6.0,0
Practicante De Infrastructure & Cloud,Peru,1200.0,365.0,Euromotors S.A,Peru,Analisis Funcional,Practicante De Sistemas,2.8,3.0,2623.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,7.2,1.0,7.0,1.0,7.0,0
Practicante Desarrollador .Net / Sharepoint,Peru,1000.0,395.0,Atlantis Force S.A.C,Peru,Soporte Tecnico,Soporte Tecnico,1.1,1.0,50.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,3.1,2.0,8.0,1.3,5.4,0
Programador .Net,Peru,6000.0,92.0,Chain Services Ti S.A.C. - Csti,Peru,Tecnologia / Sistemas,Analista Y Desarrollador De Sistemas,14.4,13.0,1612.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,13.5,4.0,32.0,1.0,3.0,0
Programador .Net,Peru,6000.0,92.0,Chain Services Ti S.A.C. - Csti,Peru,Tecnologia / Sistemas,Analista Y Desarrollador De Sistemas,14.4,13.0,1612.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,13.5,4.0,33.0,1.0,2.0,0
Consultor(A) Infrastructure & Cloud Services,Peru,11000.0,615.0,Seidor,Peru,Tecnologias De La Informacion,Especialista Infraestructura Cloud Semi Senior,4.4,6.0,311.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,En Curso,Universitario,3.8,2.0,6.0,1.0,8.0,0
Analista Programador,Peru,4000.0,1025.0,Contaperu,Peru,Programacion,Analista Desarrollador,4.4,2.0,236.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,5.0,2.0,6.0,1.3,5.4,0
Programador .Net,Peru,4200.0,1196.0,Peruviandigital S.A.C.,Peru,Programacion,Desarrollador Full Stack,12.2,3.0,88.0,Universidad Peruana De Ciencias Aplicadas,Peru,Analisis De Sistemas,Ingenieria De Sistemas,En Curso,Universitario,0.8,2.0,13.0,1.3,8.0,0
Programador .Net,Peru,4000.0,881.0,Itbcp Consultores En Tecnologias,Peru,Tecnologia / Sistemas,Desarrollador Full Stack,5.9,4.0,944.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. - Otros,Ingenieria De Sistemas,Abandonado,Universitario,6.0,4.0,16.0,2.0,11.0,0
Programador .Net,Peru,5500.0,384.0,Softtek,Peru,Tecnologias De La Informacion,Analista Programador,10.9,11.0,1174.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,9.8,2.0,9.0,1.0,1.0,0
Programador .Net,Peru,5500.0,360.0,Softtek,Peru,Tecnologias De La Informacion,Analista Programador,10.8,11.0,1150.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,9.7,2.0,9.0,1.0,1.0,0
Programador .Net,Peru,2500.0,657.3,Zoluxiones S.A.C.,Peru,Sistemas,Promotor De Servicios Bancario,8.7,6.1,581.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,1.6,1.0,11.0,2.0,5.4,1
