nombrePerfilConvocatoria,paisResidencia,sueldoPretendido,diasUltimoTrabajo,empresaUltimoTrabajo,paisUltimoTrabajo,areaUltimoTrabajo,nombreUltimoTrabajo,aniosExperiencia,numeroTrabajos,diasUltimoEstudio,institucionUltimoEstudio,paisUltimoEstudio,areaUltimoEstudio,nombreUltimoEstudio,estadoUltimoEstudio,gradoUltimoEstudio,aniosEstudio,numeroEstudios,habilidadesTecnicas,idiomas,otrasHabilidades,contratado
Programador .Net,Peru,5500.0,1166.0,Zoluxiones S.A.C.,Peru,Programacion,Analista Programador,9.9,11.0,123.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Titulado En Ingenieria De Software,Graduado,Posgrado,7.0,2.0,7.0,1.0,1.0,0
Programador .Net,Peru,5500.0,1120.0,Zoluxiones S.A.C.,Peru,Programacion,Analista Programador,9.8,11.0,123.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Titulado En Ingenieria De Software,Graduado,Posgrado,7.0,2.0,7.0,1.0,1.0,0
Lider Tecnico,Peru,5500.0,65.0,Manpower Professional Services S.A.,Peru,Programacion,Analista Programador,6.7,10.0,123.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Titulado En Ingenieria De Software,Graduado,Posgrado,7.0,2.0,7.0,1.0,1.0,0
Lider Tecnico,Peru,5500.0,70.0,Manpower Professional Services S.A.,Peru,Programacion,Analista Programador,6.7,10.0,123.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Titulado En Ingenieria De Software,Graduado,Posgrado,7.0,2.0,7.0,1.0,1.0,0
Analista Programador .Net,Peru,4301.8,343.0,Tata Consultancy Services,Peru,Ingenieria De Procesos,Analista Programador,4.0,7.0,214.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Titulado En Ingenieria De Software,Graduado,Posgrado,7.3,2.0,1.0,1.0,5.4,1
Programador .Net,Peru,5000.0,380.0,Tata Consultancy Services,Peru,Ingenieria De Procesos,Analista Programador,4.1,7.0,214.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Titulado En Ingenieria De Software,Graduado,Posgrado,7.3,2.0,1.0,1.0,5.4,1
Programador .Net,Peru,4301.8,359.0,Tata Consultancy Services,Peru,Ingenieria De Procesos,Analista Programador,4.1,7.0,214.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Titulado En Ingenieria De Software,Graduado,Posgrado,7.3,2.0,1.0,1.0,5.4,1
Analista Programador .Net,Peru,2500.0,61.0,Enotria S.A.,Peru,Programacion,Analista Programador,6.6,4.0,2045.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Universitario,En Curso,Universitario,11.5,2.0,32.0,1.0,5.4,0
Analista Programador,Peru,2000.0,182.0,Pretorian Seguridad Integral,Peru,Programacion,Analista Programador,7.1,4.0,1796.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Universitario,En Curso,Universitario,10.8,2.0,32.0,1.0,5.4,0
Desarrollador .Net,Peru,2000.0,182.0,Pretorian Seguridad Integral,Peru,Programacion,Analista Programador,7.1,4.0,1800.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Universitario,En Curso,Universitario,10.9,2.0,32.0,1.0,5.4,0
Ejecutivo Comercial,Peru,3500.0,267.0,Interseguro Compania De Seguros,Peru,Comercial,Ejecutivo De Ventas,13.9,5.0,2065.0,Universidad Peruana De Ciencias Aplicadas,Peru,Adm. De Empresas,Universitario,En Curso,Universitario,5.7,1.0,3.0,1.0,5.4,0
Especialista En Office 365,Peru,2500.0,334.0,Securitas S.A.C.,Peru,Control De Gestion,Analista De Procesos,3.1,5.0,706.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Universitario,En Curso,Universitario,6.2,3.0,10.0,1.0,1.0,0
Especialista En Office 365,Peru,2500.0,90.0,Signos Y Disenos Creativos,Peru,Comercial,Analista De Business Intelligence,3.3,6.0,824.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Universitario,En Curso,Universitario,6.5,3.0,10.0,1.0,1.0,0
Desarrollador .Net,Peru,4500.0,883.0,Gfi Peru Sac,Peru,Tecnologia / Sistemas,Analista De Sistemas,5.0,3.0,3940.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Universitario,En Curso,Universitario,21.0,2.0,1.0,1.0,7.0,0
Asistente De Recursos Humanos,Peru,930.0,396.0,Lima Expresa,Peru,Atencion Al Cliente,Practicante Profesional,2.1,2.0,1795.0,Universidad Tecnologica Del Peru,Peru,Ing. Industrial,Universitario,Graduado,Universitario,4.9,1.0,3.0,1.0,2.0,0
Asistente De Recursos Humanos,Peru,1800.0,394.0,Ascensores Gsf,Peru,Administracion,Asistente Administrativo,2.6,3.0,2737.0,Universidad Privada Del Norte,Peru,Adm. De Empresas,Universitario,En Curso,Universitario,7.5,1.0,9.4,1.0,5.4,0
Ejecutivo Comercial,Peru,1300.0,274.0,Inserter S.A.C,Peru,Atencion Al Cliente,Ejecutivo De Ventas,5.1,5.0,2650.0,Universidad Tecnologica Del Peru,Peru,Relaciones Internac.,Universitario,En Curso,Universitario,7.9,2.0,5.0,1.0,5.4,0
Practicante De Recursos Humanos,Peru,1200.0,88.0,Tecsur S.A.,Peru,Comercial,Practicante Profesional,0.7,2.0,2071.0,Universidad De Lima,Peru,Ing. Industrial,Universitario,En Curso,Universitario,5.7,1.0,4.0,2.0,2.0,0
Asistente Comercial Jr,Peru,930.0,214.0,Carsa Peru,Peru,Comercial,Practicante Comercial,2.7,3.0,3103.0,Universidad De Lima,Peru,Ing. Industrial,Universitario,Graduado,Universitario,8.5,1.0,3.0,1.0,5.4,0
Practicante Iot/Ia,Peru,1025.0,657.3,Bluetab Ibm Company,Peru,Produccion,Content Manager,8.7,6.1,2015.0,Universidad Ricardo Palma,Peru,Ing. Informatica,Universitario,En Curso,Universitario,11.0,2.0,5.0,2.0,3.0,1
Ejecutivo Comercial,Peru,3000.0,243.0,Sodimac Peru,Peru,Comercial,Ejecutivo Venta Empresa,11.6,5.0,1249.0,Universidad Ricardo Palma,Peru,Adm. De Empresas,Universitario,Graduado,Universitario,3.4,1.0,17.0,1.0,9.0,0
Analista De Sistemas,Peru,3500.0,1260.0,Banco Interamericano De Finanzas (Banbif),Peru,Infraestructura,Asistente De Ti,10.5,7.0,2162.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Universitario,Graduado,Universitario,5.9,1.0,16.0,1.0,7.0,0
Analista De Soluciones Ti,Peru,3500.0,1260.0,Banco Interamericano De Finanzas (Banbif),Peru,Infraestructura,Asistente De Ti,10.5,7.0,2162.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Universitario,Graduado,Universitario,5.9,1.0,16.0,1.0,7.0,0
Especialista Power Bi,Peru,3000.0,317.0,Tgestiona Sac,Peru,Analisis Funcional,Analista Funcional,11.0,7.0,2710.0,Universidad Alas Peruanas,Peru,Ing. En Sistemas,Universitario,Graduado,Universitario,7.4,1.0,22.0,1.0,5.4,0
Desarrollador .Net,Peru,3000.0,2620.0,Tai Loy S.A,Peru,Tecnologia / Sistemas,Analisis Y Desarrollo De Sistemas,9.6,3.0,2710.0,Universidad Alas Peruanas,Peru,Ing. En Sistemas,Universitario,Graduado,Universitario,7.4,1.0,21.0,1.0,5.4,0
Especialista En Analitica,Peru,3700.0,182.0,Ferreyros S.A.,Peru,Analisis De Datos,Especialista De Data Intelligence,3.5,4.0,1948.0,Universidad Nacional De Trujillo,Peru,Ing. En Sistemas,Universitario,Graduado,Universitario,5.3,1.0,12.0,1.0,6.0,0
Especialista En Office 365,Peru,3700.0,182.0,Ferreyros S.A.,Peru,Analisis De Datos,Especialista De Data Intelligence,3.5,4.0,1948.0,Universidad Nacional De Trujillo,Peru,Ing. En Sistemas,Universitario,Graduado,Universitario,5.3,1.0,12.0,1.0,5.0,0
Especialista En Analitica,Peru,3700.0,182.0,Ferreyros S.A.,Peru,Analisis De Datos,Especialista De Data Intelligence,3.5,4.0,1948.0,Universidad Nacional De Trujillo,Peru,Ing. En Sistemas,Universitario,Graduado,Universitario,5.3,1.0,12.0,1.0,6.0,0
Programador .Net,Peru,4000.0,2344.0,System Support And Service,Peru,Tecnologia / Sistemas,Analista De Sistemas,22.3,7.0,3287.0,Universidad Autonoma Del Peru,Peru,Ing. En Sistemas,Universitario,En Curso,Universitario,13.3,2.0,4.0,1.0,2.0,0
Gestor De Servicios Cloud,Peru,2800.0,270.0,Canvia S.A.C.,Peru,Programacion,Programador Oracle,3.4,3.0,1705.0,Universidad Nacional De Callao,Peru,Ing. En Sistemas,Universitario,Graduado,Posgrado,4.7,1.0,11.0,1.0,4.0,0
Arquitecto De Desarrollo,Venezuela,2000.0,657.3,Depconstruccion,Peru,Direccion De Obra,Arquitecto,1.1,3.0,1674.0,Universidad Jose Antonio Paez,Venezuela,Arquitectura,Universitario,Graduado,Posgrado,4.6,1.0,5.0,2.0,1.0,0
Desarrollador Php,Peru,6000.0,1008.0,Grupo El Comercio,Peru,Programacion,Analista Programador,16.4,10.0,2045.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,13.4,2.0,9.0,2.0,14.0,0
Analista De Calidad,Peru,1800.0,991.0,Tsoft Peru,Peru,Sistemas,Gestor De Data,8.3,5.0,1328.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,6.4,2.0,9.0,1.0,8.0,0
Analista De Base De Datos,Peru,4000.0,213.0,Metrica Andina,Peru,Infraestructura,Especialista En Systemx Y Networking,8.8,7.0,92.0,Universidad Inca Garcilaso De La Vega,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,10.3,7.0,9.4,1.0,12.0,0
Lider Tecnico,Peru,5000.0,324.0,Mediabyte S.A.C,Peru,Tecnologia / Sistemas,Lider Tecnico,3.2,5.0,1433.0,Universidad Nacional Del Callao,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,3.9,1.0,11.0,1.0,6.0,0
Arquitecto De Software,Peru,11000.0,187.0,Pmesut,Peru,Tecnologias De La Informacion,Soa Specialist Architect,14.7,9.0,1343.0,Universidad Cientifica Del Sur,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,18.8,3.0,5.0,1.0,18.0,0
Programador .Net,Peru,5000.0,153.0,Zoluxiones S.A.C.,Peru,Sistemas,Analista Programador,9.5,9.0,184.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,3.6,3.0,7.0,1.0,6.0,0
Especialista En Power Platform,Peru,2000.0,122.0,Riva Consultores &Amp; Asociados,Peru,Programacion,Analista Programador,9.5,11.0,1796.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,7.3,2.0,7.0,1.0,6.0,0
Ejecutivo Comercial,Peru,4000.0,120.0,Solgas S.A.,Peru,Desarrollo De Negocios,Analista De Canales Digitales,4.8,6.0,1919.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5.3,1.0,5.0,1.0,9.0,0
Practicante De Infrastructure & Cloud,Peru,4301.8,122.0,Ubycall,Peru,Call Center,Chat User Gestion De Pedidos,0.8,2.0,2102.0,Universidad Tecnologica Del Peru,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5.8,1.0,1.0,1.0,5.4,0
Practicante De Infrastructure & Cloud,Peru,1050.0,657.3,Banco Interamericano De Finanzas (Banbif),Peru,Transporte De Pasajeros,Jefe Del Area De Sistemad Bi,8.7,6.1,1396.0,Universidad Cesar Vallejo,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,8.0,2.0,9.4,1.0,5.4,0
Asistente De Servicios Ti,Peru,3500.0,897.0,Sr Group Peru Sac,Peru,Tecnologias De La Informacion,Jefe De Ti,9.8,4.0,2102.0,Universidad Privada San Juan Bautista,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5.8,1.0,7.0,1.0,4.0,0
Analista De Sistemas,Peru,5500.0,997.0,Stefanini It Solutions,Peru,Sistemas,Analista Programador,2.7,1.0,1705.0,Universidad Nacional Federico Villarreal,Peru,Adm. De Empresas,Ingenieria De Sistemas,Graduado,Universitario,4.7,1.0,9.4,1.3,5.4,0
Cloud Specialist,Peru,6000.0,911.0,Arcotek,Peru,Tecnologias De La Informacion,Jefe De Proyectos,8.4,7.0,2070.0,Universidad Nacional Federico Villarreal,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Posgrado,5.7,1.0,3.0,1.0,1.0,1
Gestor De Servicios De Ti,Peru,5500.0,914.0,Golden Investment S.A,Peru,Tecnologia / Sistemas,Jefe De Soporte,14.8,9.0,1705.0,Universidad Nacional Federico Villarreal,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.7,1.0,9.0,1.0,13.0,0
Analista De Sistemas,Peru,1200.0,2620.0,Freelance,Peru,Soporte Tecnico,Analista De Sistemas,28.9,13.0,874.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,21.0,5.0,16.0,2.0,5.0,0
Administrador De Soporte Tecnico,Peru,2500.0,1280.0,Gtd Peru,Peru,Soporte Tecnico,Especialista Soporte Ti,6.9,5.0,1714.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,7.4,2.0,2.0,1.0,13.0,0
Lider Tecnico,Peru,6000.0,961.0,Yanbal,Peru,Ingenieria Oficina Tecnica / Proyecto,Consultor Sharepoint,26.1,8.0,1430.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,6.8,2.0,7.0,1.0,5.0,1
Desarrollador .Net,Peru,6000.0,967.0,Yanbal,Peru,Ingenieria Oficina Tecnica / Proyecto,Consultor Sharepoint,26.1,8.0,1430.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,6.8,2.0,7.0,1.0,5.0,1
Especialista .Net Jr.,Peru,8000.0,789.0,Yanbal,Peru,Ingenieria Oficina Tecnica / Proyecto,Consultor Sharepoint,24.2,8.0,1430.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,6.8,2.0,7.0,1.0,5.0,1
Desarrollador,Peru,6000.0,961.0,Yanbal,Peru,Ingenieria Oficina Tecnica / Proyecto,Consultor Sharepoint,26.1,8.0,1430.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,6.8,2.0,7.0,1.0,5.0,1
Desarrollador .Net,Peru,6000.0,948.0,Yanbal,Peru,Ingenieria Oficina Tecnica / Proyecto,Consultor Sharepoint,25.9,8.0,1430.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,6.8,2.0,7.0,1.0,5.0,1
Operador De Sistemas,Peru,4.0,760.0,Codecon Ingenieria Y Construccion,Peru,Tecnologia / Sistemas,Administrador De Tecnologia,11.3,5.0,893.0,Universidad Del Pacifico,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,5.3,2.0,35.0,1.0,18.0,0
Desarrollador Java,Peru,1000.0,359.0,Banco De Credito Del Peru - Bcp,Peru,Programacion,Practicante - Pre Profesional,1.0,1.0,1608.0,Universidad Nacional De Ingenieria,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,4.4,1.0,9.4,2.0,8.0,0
Scrum Master,Peru,3000.0,245.0,Primed,Peru,Liderazgo De Proyecto,Analista De Proyectos,4.7,5.0,1826.0,Universidad Nacional De Ingenieria,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,10.3,2.0,17.0,2.0,2.0,1
Gestor De Servicios De Ti,Peru,4301.8,454.0,St Renting Peru,Peru,Tecnologias De La Informacion,Supervisor De Operaciones Y Servicios Ti,7.6,10.0,821.0,Universidad Privada Telesup,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5.7,2.0,17.0,1.0,2.0,0
Asistente De Servicios Ti,Peru,4301.8,429.0,St Renting Peru,Peru,Tecnologias De La Informacion,Supervisor De Operaciones Y Servicios Ti,7.5,10.0,821.0,Universidad Privada Telesup,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5.7,2.0,17.0,1.0,2.0,0
Data Engineer,Peru,1500.0,90.0,System R &Amp; M S.A.C,Peru,Gerencia / Direccion General,Practicante,0.7,3.0,1980.0,Universidad Nacional Jose Faustino Sanchez Carrion,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5.4,1.0,12.0,2.2,5.4,0
Especialista Devops,Peru,1500.0,2620.0,Trading Fashion Line S.A.,Peru,Comercial,Encargada De Tienda,7.9,1.0,2449.0,Universidad Catolica Sedes Sapientiae,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,9.5,2.0,7.0,1.0,5.4,0
Especialista Bi,Peru,6000.0,618.0,Poder Judicial Del Peru,Peru,Tecnologias De La Informacion,Analista Programador,10.3,12.0,2658.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,10.1,2.0,5.0,1.0,5.4,0
Analista Funcional,Peru,6600.0,761.0,Canvia S.A.C.,Peru,Sistemas,Scrum Master,14.8,7.0,1887.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,13.4,3.0,9.4,1.0,5.4,0
Ejecutivo Comercial,Peru,4301.8,767.0,Pacifico Seguros,Peru,Ingenieria En Minas,Consultor De Riesgos Mineros,2.1,1.0,1740.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Posgrado,4.8,1.0,9.4,1.3,5.4,0
Practicante De Procesos,Peru,4301.8,657.3,Shalom Empresarial,Peru,Internet,Data Engineer,8.7,6.1,1560.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,4.3,1.0,6.0,1.0,5.4,0
Analista Funcional,Peru,6500.0,657.3,Gepae Peru,Peru,Tecnologias De La Informacion,Generalista De Recursos Humanos,8.7,6.1,1827.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5.0,1.0,7.0,1.0,1.0,0
Asistente De Pmo,Peru,1025.0,657.3,Pontificia Universidad Catolica Del Peru,Peru,Tecnologias De La Informacion,Analista Programador,8.7,6.1,1992.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,5.5,1.0,9.4,2.0,5.4,0
Asistente De Pmo,Peru,1000.0,657.3,Tata Consultancy Services,Peru,Comercial,Project Manager,8.7,6.1,1749.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,4.8,1.0,9.0,1.0,5.0,0
Analista Funcional,Peru,6500.0,657.3,Rimac Seguros,Peru,Trabajo Social,Analista De Procesos,8.7,6.1,1827.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,5.0,1.0,7.0,1.0,5.4,0
Practicante De Infrastructure & Cloud,Peru,1025.0,657.3,Sky Logistics Sac,Peru,Administracion,Especialista De Data Intelligence,8.7,6.1,1614.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,4.4,1.0,10.0,1.0,11.0,0
Practicante De Infrastructure & Cloud,Peru,4301.8,657.3,Solgas S.A.,Peru,Recursos Humanos,Gestor De Proyectos,8.7,6.1,1261.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,3.5,1.0,2.0,1.0,5.4,0
Bootcamp G&S | Infrastructure & Cloud,Peru,930.0,657.3,Sigcomt,Peru,Tecnologias De La Informacion,Analista De Sistemas,8.7,6.1,1438.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,3.9,1.0,3.0,1.0,3.0,0
Bootcamp G&S | Infrastructure & Cloud,Peru,930.0,657.3,Software Enterprise Services,Peru,Sistemas,Gestor De Proyectos,8.7,6.1,1437.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,3.9,1.0,14.0,2.0,4.0,1
Especialista Power Bi,Peru,4301.8,657.3,Grupo Ebim S.A.C.,Peru,Programacion,Analista De Planeamiento Y Operaciones,8.7,6.1,1935.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,5.3,1.0,7.0,1.0,18.0,0
Consultor Cloud,Peru,7000.0,1244.0,Scotiabank Peru S.A.A.,Peru,Tecnologia / Sistemas,Infrastructure Analyst,8.3,4.0,2679.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,7.3,1.0,13.0,1.0,12.0,0
Analista Programador,Peru,6000.0,684.0,Freelance,Peru,Tecnologias De La Informacion,Consutor Ti,12.5,16.0,3636.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,12.8,2.0,5.0,1.0,5.4,0
Asistente De Pmo,Peru,1800.0,633.0,Banco Interbank,Peru,Practicas Profesionales,Practicante De Auditoria Interna,2.2,2.0,1941.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,5.3,1.0,8.0,1.0,7.0,0
Lider Tecnico,Peru,5500.0,238.0,Stefanini It Solutions,Peru,Liderazgo De Proyecto,Jefe De Proyectos,15.2,8.0,1887.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,13.4,3.0,19.0,1.0,18.0,0
Jefe De Proyecto - Analytics & Ai,Peru,5500.0,418.0,Stefanini It Solutions,Peru,Liderazgo De Proyecto,Lider De Proyectos,15.7,8.0,1887.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,Graduado,Universitario,13.4,3.0,19.0,1.0,18.0,0
Analista De Base De Datos,Peru,5000.0,383.0,Bcts Consulting S.A,Peru,Tecnologia / Sistemas,Consultor Business Intelligence,4.3,5.0,1736.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.8,1.0,5.0,1.0,14.0,0
Especialista En Analitica,Peru,5000.0,383.0,Bcts Consulting S.A,Peru,Tecnologia / Sistemas,Consultor Business Intelligence,4.3,5.0,1736.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.8,1.0,5.0,1.0,14.0,0
Practicante De Infrastructure & Cloud,Peru,1025.0,657.3,Qorianka,Peru,Comercial,Practicante Comercial,8.7,1.0,929.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. Informatica,Ingenieria De Sistemas,En Curso,Universitario,8.7,3.0,9.4,1.0,16.0,0
Analista Funcional,Peru,5000.0,215.0,Management Solutions,Peru,Analisis De Datos,Technology Consultant,2.3,2.0,1795.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,8.1,2.0,12.0,2.0,14.0,0
Asistente De Pmo,Peru,400.0,59.0,Konecta Peru,Peru,Call Center,Asesor De Portabilidad,0.2,1.0,3079.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,8.4,1.0,3.0,1.0,5.0,0
Practicante De Infrastructure & Cloud,Peru,1025.0,59.0,Konecta Peru,Peru,Call Center,Asesor De Portabilidad,0.2,1.0,2798.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,7.7,1.0,3.0,1.0,5.0,0
Practicante De Infrastructure & Cloud,Peru,1025.0,59.0,Konecta Peru,Peru,Call Center,Asesor De Portabilidad,0.2,1.0,3079.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,8.4,1.0,3.0,1.0,5.0,0
Practicante De Infrastructure & Cloud,Peru,1200.0,166.0,Gilat Networks Peru S.A.,Peru,Infraestructura,Practicante Pre Profesional,0.5,1.0,1082.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,En Curso,Universitario,3.0,1.0,10.0,2.0,5.4,0
Analista Funcional,Peru,2800.0,114.0,Rcsoft Consulting S.A.C.,Peru,Tecnologia / Sistemas,Analista Programador,2.7,4.0,2648.0,Universidad Peruana De Ciencias Aplicadas,Peru,Tecnologias De La Informacion,Ingenieria De Sistemas,Graduado,Universitario,7.3,1.0,15.0,2.2,9.0,0
Analista Funcional,Peru,3000.0,365.0,"Superintendencia De Banca, Seguros Y Afp",Peru,Tecnologias De La Informacion,It Service Desk Intern,2.3,2.0,1736.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.8,1.0,12.0,2.0,8.0,0
Asistente De Pmo,Peru,3300.0,365.0,"Superintendencia De Banca, Seguros Y Afp",Peru,Tecnologias De La Informacion,It Service Desk Intern,2.3,2.0,1736.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.8,1.0,12.0,2.0,9.0,0
Asistente De Pmo,Peru,3300.0,365.0,"Superintendencia De Banca, Seguros Y Afp",Peru,Tecnologias De La Informacion,It Service Desk Intern,2.3,2.0,1736.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.8,1.0,13.0,2.0,9.0,0
Administrador De Soporte Tecnico,Peru,3500.0,365.0,"Superintendencia De Banca, Seguros Y Afp",Peru,Tecnologias De La Informacion,It Service Desk Intern,2.3,2.0,1736.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.8,1.0,12.0,2.0,9.0,0
Especialista En Analitica,Peru,6500.0,35.0,Viru,Peru,Analisis De Datos,Auditor Bi,4.4,7.0,1736.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,4.8,1.0,5.0,1.0,14.0,0
Asistente De Pmo,Peru,1500.0,151.0,Italtel Peru,Peru,Ingenieria Oficina Tecnica / Proyecto,Practicante De Pmo,0.4,1.0,640.0,Universidad Peruana De Ciencias Aplicadas,Peru,Ing. En Sistemas,Ingenieria De Sistemas,Graduado,Universitario,6.8,2.0,10.0,2.0,4.0,0
