algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF,tiempoPromedio
KNN,Total de datos,9081,3028,0.2,0.44s,"[[2456, 88], [121, 363]]",93.10%,80.49%,75.00%,77.65%,0.04ms
LR,Total de datos,9081,3028,0.2,1.10s,"[[2514, 30], [221, 263]]",91.71%,89.76%,54.34%,67.70%,0.09ms
GNB,Total de datos,9081,3028,0.2,0.20s,"[[1316, 1228], [6, 478]]",59.25%,28.02%,98.76%,43.65%,0.02ms
DT,Total de datos,9081,3028,0.2,2.91s,"[[2467, 77], [26, 458]]",96.60%,85.61%,94.63%,89.89%,0.24ms
SVM,Total de datos,9081,3028,0.2,22.42s,"[[2544, 0], [160, 324]]",94.72%,100.00%,66.94%,80.20%,1.85ms
RF,Total de datos,9081,3028,0.2,5.31s,"[[2544, 0], [25, 459]]",99.17%,100.00%,94.83%,97.35%,0.44ms
GB,Total de datos,9081,3028,0.2,9.22s,"[[2544, 0], [382, 102]]",87.38%,100.00%,21.07%,34.81%,0.76ms
KNN,Particion 1,7265,1816,0.2,0.22s,"[[1431, 78], [97, 210]]",90.36%,72.92%,68.40%,70.59%,0.02ms
LR,Particion 1,7265,1816,0.2,0.72s,"[[1496, 13], [139, 168]]",91.63%,92.82%,54.72%,68.85%,0.08ms
GNB,Particion 1,7265,1816,0.2,0.16s,"[[770, 739], [14, 293]]",58.54%,28.39%,95.44%,43.76%,0.02ms
DT,Particion 1,7265,1816,0.2,2.28s,"[[1466, 43], [16, 291]]",96.75%,87.13%,94.79%,90.80%,0.25ms
SVM,Particion 1,7265,1816,0.2,14.42s,"[[1509, 0], [124, 183]]",93.17%,100.00%,59.61%,74.69%,1.59ms
RF,Particion 1,7265,1816,0.2,4.04s,"[[1509, 0], [19, 288]]",98.95%,100.00%,93.81%,96.81%,0.45ms
GB,Particion 1,7265,1816,0.2,7.26s,"[[1507, 2], [250, 57]]",86.12%,96.61%,18.57%,31.15%,0.80ms
KNN,Particion 2,7265,1816,0.2,0.22s,"[[1438, 44], [128, 206]]",90.53%,82.40%,61.68%,70.55%,0.02ms
LR,Particion 2,7265,1816,0.2,0.68s,"[[1460, 22], [163, 171]]",89.81%,88.60%,51.20%,64.90%,0.08ms
GNB,Particion 2,7265,1816,0.2,0.17s,"[[741, 741], [23, 311]]",57.93%,29.56%,93.11%,44.88%,0.02ms
DT,Particion 2,7265,1816,0.2,2.20s,"[[1429, 53], [38, 296]]",94.99%,84.81%,88.62%,86.68%,0.24ms
SVM,Particion 2,7265,1816,0.2,13.55s,"[[1481, 1], [148, 186]]",91.80%,99.47%,55.69%,71.40%,1.49ms
RF,Particion 2,7265,1816,0.2,4.28s,"[[1482, 0], [42, 292]]",97.69%,100.00%,87.43%,93.29%,0.47ms
GB,Particion 2,7265,1816,0.2,7.26s,"[[1482, 0], [283, 51]]",84.42%,100.00%,15.27%,26.49%,0.80ms
KNN,Particion 3,7265,1816,0.2,0.21s,"[[1443, 70], [83, 220]]",91.57%,75.86%,72.61%,74.20%,0.02ms
LR,Particion 3,7265,1816,0.2,0.71s,"[[1495, 18], [142, 161]]",91.19%,89.94%,53.14%,66.80%,0.08ms
GNB,Particion 3,7265,1816,0.2,0.14s,"[[758, 755], [6, 297]]",58.09%,28.23%,98.02%,43.84%,0.02ms
DT,Particion 3,7265,1816,0.2,2.17s,"[[1459, 54], [12, 291]]",96.37%,84.35%,96.04%,89.81%,0.24ms
SVM,Particion 3,7265,1816,0.2,13.49s,"[[1513, 0], [115, 188]]",93.67%,100.00%,62.05%,76.58%,1.49ms
RF,Particion 3,7265,1816,0.2,3.95s,"[[1512, 1], [14, 289]]",99.17%,99.66%,95.38%,97.47%,0.43ms
GB,Particion 3,7265,1816,0.2,7.28s,"[[1511, 2], [251, 52]]",86.07%,96.30%,17.16%,29.13%,0.80ms
KNN,Particion 4,7265,1816,0.2,0.21s,"[[1472, 56], [104, 184]]",91.19%,76.67%,63.89%,69.70%,0.02ms
LR,Particion 4,7265,1816,0.2,0.72s,"[[1497, 31], [135, 153]]",90.86%,83.15%,53.12%,64.83%,0.08ms
GNB,Particion 4,7265,1816,0.2,0.14s,"[[791, 737], [8, 280]]",58.98%,27.53%,97.22%,42.91%,0.02ms
DT,Particion 4,7265,1816,0.2,2.36s,"[[1459, 69], [16, 272]]",95.32%,79.77%,94.44%,86.49%,0.26ms
SVM,Particion 4,7265,1816,0.2,12.83s,"[[1528, 0], [117, 171]]",93.56%,100.00%,59.38%,74.51%,1.41ms
RF,Particion 4,7265,1816,0.2,3.88s,"[[1528, 0], [17, 271]]",99.06%,100.00%,94.10%,96.96%,0.43ms
GB,Particion 4,7265,1816,0.2,7.21s,"[[1525, 3], [228, 60]]",87.28%,95.24%,20.83%,34.19%,0.79ms
KNN,Particion 5,7264,1817,0.2,0.21s,"[[1466, 49], [99, 203]]",91.85%,80.56%,67.22%,73.29%,0.02ms
LR,Particion 5,7264,1817,0.2,0.62s,"[[1493, 22], [146, 156]]",90.75%,87.64%,51.66%,65.00%,0.07ms
GNB,Particion 5,7264,1817,0.2,0.16s,"[[771, 744], [13, 289]]",58.34%,27.98%,95.70%,43.30%,0.02ms
DT,Particion 5,7264,1817,0.2,2.24s,"[[1457, 58], [17, 285]]",95.87%,83.09%,94.37%,88.37%,0.25ms
SVM,Particion 5,7264,1817,0.2,13.12s,"[[1514, 1], [134, 168]]",92.57%,99.41%,55.63%,71.34%,1.44ms
RF,Particion 5,7264,1817,0.2,4.10s,"[[1514, 1], [19, 283]]",98.90%,99.65%,93.71%,96.59%,0.45ms
GB,Particion 5,7264,1817,0.2,7.28s,"[[1513, 2], [238, 64]]",86.79%,96.97%,21.19%,34.78%,0.80ms
