algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF
DT,Total de datos,15056,5019,1,1081ms,"[[804, 98, 76, 29, 21], [118, 710, 99, 50, 22], [53, 53, 866, 20, 14], [5, 2, 8, 957, 3], [3, 4, 2, 0, 1002]]",86.45%,86.45%,86.45%,86.45%
GB,Total de datos,15056,5019,1,35113ms,"[[481, 194, 154, 136, 63], [205, 400, 185, 142, 67], [216, 191, 369, 141, 89], [139, 109, 102, 569, 56], [123, 145, 123, 146, 474]]",45.69%,45.69%,45.69%,45.69%
GNB,Total de datos,15056,5019,1,203ms,"[[106, 19, 27, 148, 728], [50, 61, 31, 151, 706], [29, 20, 84, 124, 749], [5, 11, 14, 350, 595], [4, 6, 0, 35, 966]]",31.22%,31.22%,31.22%,31.22%
KNN,Total de datos,15056,5019,1,389ms,"[[616, 141, 110, 90, 71], [193, 493, 140, 109, 64], [136, 145, 592, 82, 51], [51, 53, 51, 798, 22], [29, 27, 25, 27, 903]]",67.78%,67.78%,67.78%,67.78%
LR,Total de datos,15056,5019,1,759ms,"[[392, 170, 178, 157, 131], [235, 294, 189, 164, 117], [170, 177, 348, 157, 154], [118, 93, 111, 536, 117], [101, 84, 100, 151, 575]]",42.74%,42.74%,42.74%,42.74%
RF,Total de datos,15056,5019,1,5019ms,"[[867, 119, 34, 3, 5], [110, 801, 69, 15, 4], [52, 82, 862, 8, 2], [8, 6, 2, 959, 0], [8, 6, 0, 0, 997]]",89.38%,89.38%,89.38%,89.38%
SVM,Total de datos,15056,5019,1,72211ms,"[[611, 165, 132, 71, 49], [209, 496, 160, 79, 55], [138, 134, 604, 78, 52], [88, 72, 59, 729, 27], [47, 45, 33, 35, 851]]",65.57%,65.57%,65.57%,65.57%
