algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF
DT,Particion 1,11292,3764,1,630ms,"[[582, 81, 48, 36, 18], [87, 492, 72, 40, 29], [52, 73, 593, 43, 24], [3, 15, 12, 728, 4], [3, 7, 2, 1, 719]]",82.73%,82.73%,82.73%,82.73%
DT,Total de datos,15056,5019,1,853ms,"[[816, 102, 63, 33, 14], [114, 732, 83, 40, 30], [44, 54, 878, 21, 9], [3, 3, 2, 963, 4], [0, 1, 4, 1, 1005]]",87.55%,87.55%,87.55%,87.55%
GB,Particion 1,11292,3764,1,25947ms,"[[334, 165, 112, 84, 70], [145, 295, 122, 84, 74], [140, 160, 314, 85, 86], [86, 131, 93, 378, 74], [91, 125, 90, 32, 394]]",45.56%,45.56%,45.56%,45.56%
GB,Total de datos,15056,5019,1,35052ms,"[[484, 187, 174, 116, 67], [222, 419, 164, 100, 94], [207, 183, 435, 112, 69], [102, 191, 146, 457, 79], [132, 153, 108, 83, 535]]",46.42%,46.42%,46.42%,46.42%
GNB,Particion 1,11292,3764,1,154ms,"[[100, 21, 14, 118, 512], [48, 59, 15, 110, 488], [55, 38, 48, 116, 528], [14, 16, 11, 271, 450], [8, 4, 2, 33, 685]]",30.90%,30.90%,30.90%,30.90%
GNB,Total de datos,15056,5019,1,206ms,"[[119, 31, 15, 177, 686], [50, 78, 14, 161, 696], [56, 29, 64, 144, 713], [20, 10, 15, 327, 603], [22, 1, 9, 50, 929]]",30.23%,30.23%,30.23%,30.23%
KNN,Particion 1,11292,3764,1,246ms,"[[441, 114, 81, 74, 55], [167, 340, 94, 67, 52], [146, 141, 400, 39, 59], [54, 64, 45, 558, 41], [41, 22, 38, 21, 610]]",62.41%,62.41%,62.41%,62.41%
KNN,Total de datos,15056,5019,1,430ms,"[[607, 144, 110, 89, 78], [221, 513, 113, 90, 62], [165, 130, 556, 84, 71], [74, 55, 41, 790, 15], [28, 22, 23, 7, 931]]",67.68%,67.68%,67.68%,67.68%
LR,Particion 1,11292,3764,1,614ms,"[[305, 148, 123, 103, 86], [147, 218, 123, 121, 111], [115, 151, 275, 119, 125], [75, 119, 78, 399, 91], [82, 79, 72, 81, 418]]",42.91%,42.91%,42.91%,42.91%
LR,Total de datos,15056,5019,1,798ms,"[[372, 181, 192, 150, 133], [184, 338, 177, 168, 132], [158, 159, 386, 149, 154], [93, 150, 122, 500, 110], [110, 91, 138, 84, 588]]",43.51%,43.51%,43.51%,43.51%
RF,Particion 1,11292,3764,1,3689ms,"[[620, 98, 33, 10, 4], [89, 558, 49, 11, 13], [62, 98, 613, 8, 4], [9, 18, 6, 727, 2], [1, 9, 1, 0, 721]]",86.05%,86.05%,86.05%,86.05%
RF,Total de datos,15056,5019,1,5007ms,"[[839, 134, 43, 10, 2], [110, 819, 55, 11, 4], [50, 71, 872, 12, 1], [3, 7, 0, 965, 0], [1, 0, 1, 0, 1009]]",89.74%,89.74%,89.74%,89.74%
SVM,Particion 1,11292,3764,1,42038ms,"[[465, 140, 74, 47, 39], [140, 385, 106, 44, 45], [116, 153, 387, 60, 69], [63, 92, 50, 529, 28], [55, 64, 36, 23, 554]]",61.64%,61.64%,61.64%,61.64%
SVM,Total de datos,15056,5019,1,75968ms,"[[608, 166, 120, 73, 61], [191, 536, 140, 71, 61], [155, 150, 596, 48, 57], [74, 77, 70, 723, 31], [79, 48, 42, 13, 829]]",65.59%,65.59%,65.59%,65.59%
