algoritmo,tipo,registrosEntrenamiento,registrosPrueba,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF
DT,Particion 1,11190,3729,400ms,"[[1748, 145], [0, 1836]]",96.11%,92.68%,100.00%,96.20%
DT,Particion 2,11189,3730,349ms,"[[1693, 175], [0, 1862]]",95.31%,91.41%,100.00%,95.51%
DT,Particion 3,11189,3730,401ms,"[[1661, 176], [0, 1893]]",95.28%,91.49%,100.00%,95.56%
DT,Particion 4,11189,3730,422ms,"[[1698, 140], [0, 1892]]",96.25%,93.11%,100.00%,96.43%
DT,Total de datos,14919,4973,591ms,"[[2329, 181], [0, 2463]]",96.36%,93.15%,100.00%,96.46%
GB,Particion 1,11190,3729,7202ms,"[[1491, 402], [569, 1267]]",73.96%,75.91%,69.01%,72.30%
GB,Particion 2,11189,3730,7194ms,"[[1429, 439], [526, 1336]]",74.13%,75.27%,71.75%,73.47%
GB,Particion 3,11189,3730,7180ms,"[[1440, 397], [568, 1325]]",74.13%,76.95%,69.99%,73.31%
GB,Particion 4,11189,3730,7184ms,"[[1457, 381], [598, 1294]]",73.75%,77.25%,68.39%,72.55%
GB,Total de datos,14919,4973,9614ms,"[[1879, 631], [751, 1712]]",72.21%,73.07%,69.51%,71.24%
GNB,Particion 1,11190,3729,142ms,"[[1855, 38], [1022, 814]]",71.57%,95.54%,44.34%,60.57%
GNB,Particion 2,11189,3730,139ms,"[[1831, 37], [1075, 787]]",70.19%,95.51%,42.27%,58.60%
GNB,Particion 3,11189,3730,156ms,"[[1766, 71], [1021, 872]]",70.72%,92.47%,46.06%,61.50%
GNB,Particion 4,11189,3730,139ms,"[[1785, 53], [1041, 851]]",70.67%,94.14%,44.98%,60.87%
GNB,Total de datos,14919,4973,197ms,"[[2437, 73], [1348, 1115]]",71.43%,93.86%,45.27%,61.08%
KNN,Particion 1,11190,3729,335ms,"[[1697, 196], [13, 1823]]",94.40%,90.29%,99.29%,94.58%
KNN,Particion 2,11189,3730,331ms,"[[1699, 169], [10, 1852]]",95.20%,91.64%,99.46%,95.39%
KNN,Particion 3,11189,3730,335ms,"[[1671, 166], [6, 1887]]",95.39%,91.91%,99.68%,95.64%
KNN,Particion 4,11189,3730,329ms,"[[1664, 174], [10, 1882]]",95.07%,91.54%,99.47%,95.34%
KNN,Total de datos,14919,4973,567ms,"[[2324, 186], [0, 2463]]",96.26%,92.98%,100.00%,96.36%
LR,Particion 1,11190,3729,558ms,"[[1567, 326], [317, 1519]]",82.76%,82.33%,82.73%,82.53%
LR,Particion 2,11189,3730,510ms,"[[1543, 325], [365, 1497]]",81.50%,82.16%,80.40%,81.27%
LR,Particion 3,11189,3730,518ms,"[[1493, 344], [332, 1561]]",81.88%,81.94%,82.46%,82.20%
LR,Particion 4,11189,3730,556ms,"[[1516, 322], [376, 1516]]",81.29%,82.48%,80.13%,81.29%
LR,Total de datos,14919,4973,719ms,"[[2026, 484], [463, 2000]]",80.96%,80.52%,81.20%,80.86%
RF,Particion 1,11190,3729,3141ms,"[[1893, 0], [0, 1836]]",100.00%,100.00%,100.00%,100.00%
RF,Particion 2,11189,3730,3165ms,"[[1866, 2], [0, 1862]]",99.95%,99.89%,100.00%,99.95%
RF,Particion 3,11189,3730,3239ms,"[[1836, 1], [0, 1893]]",99.97%,99.95%,100.00%,99.97%
RF,Particion 4,11189,3730,3296ms,"[[1838, 0], [0, 1892]]",100.00%,100.00%,100.00%,100.00%
RF,Total de datos,14919,4973,4307ms,"[[2510, 0], [0, 2463]]",100.00%,100.00%,100.00%,100.00%
SVM,Particion 1,11190,3729,29565ms,"[[1790, 103], [89, 1747]]",94.85%,94.43%,95.15%,94.79%
SVM,Particion 2,11189,3730,29810ms,"[[1778, 90], [102, 1760]]",94.85%,95.14%,94.52%,94.83%
SVM,Particion 3,11189,3730,29968ms,"[[1728, 109], [114, 1779]]",94.02%,94.23%,93.98%,94.10%
SVM,Particion 4,11189,3730,30065ms,"[[1733, 105], [140, 1752]]",93.43%,94.35%,92.60%,93.46%
SVM,Total de datos,14919,4973,51994ms,"[[2405, 105], [84, 2379]]",96.20%,95.77%,96.59%,96.18%
