algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF,tiempoPromedio
KNN,Total de datos,9081,3028,0.2,0.21s,"[[2377, 167], [121, 363]]",90.49%,90.49%,90.49%,90.49%,0.02ms
LR,Total de datos,9081,3028,0.2,0.40s,"[[2484, 60], [313, 171]]",87.68%,87.68%,87.68%,87.68%,0.03ms
GNB,Total de datos,9081,3028,0.2,0.09s,"[[839, 1705], [11, 473]]",43.33%,43.33%,43.33%,43.33%,0.01ms
DT,Total de datos,9081,3028,0.2,1.00s,"[[2435, 109], [19, 465]]",95.77%,95.77%,95.77%,95.77%,0.08ms
SVM,Total de datos,9081,3028,0.2,10.70s,"[[2544, 0], [272, 212]]",91.02%,91.02%,91.02%,91.02%,0.88ms
RF,Total de datos,9081,3028,0.2,2.65s,"[[2544, 0], [25, 459]]",99.17%,99.17%,99.17%,99.17%,0.22ms
GB,Total de datos,9081,3028,0.2,4.87s,"[[2541, 3], [370, 114]]",87.68%,87.68%,87.68%,87.68%,0.40ms
KNN,Particion 1,6811,2270,0.2,0.16s,"[[1752, 124], [117, 277]]",89.38%,89.38%,89.38%,89.38%,0.02ms
LR,Particion 1,6811,2270,0.2,0.26s,"[[1837, 39], [274, 120]]",86.21%,86.21%,86.21%,86.21%,0.03ms
GNB,Particion 1,6811,2270,0.2,0.08s,"[[627, 1249], [10, 384]]",44.54%,44.54%,44.54%,44.54%,0.01ms
DT,Particion 1,6811,2270,0.2,0.78s,"[[1799, 77], [25, 369]]",95.51%,95.51%,95.51%,95.51%,0.09ms
SVM,Particion 1,6811,2270,0.2,5.91s,"[[1876, 0], [257, 137]]",88.68%,88.68%,88.68%,88.68%,0.65ms
RF,Particion 1,6811,2270,0.2,1.82s,"[[1876, 0], [28, 366]]",98.77%,98.77%,98.77%,98.77%,0.20ms
GB,Particion 1,6811,2270,0.2,3.58s,"[[1874, 2], [315, 79]]",86.04%,86.04%,86.04%,86.04%,0.39ms
KNN,Particion 2,6811,2270,0.2,0.15s,"[[1734, 138], [139, 259]]",87.80%,87.80%,87.80%,87.80%,0.02ms
LR,Particion 2,6811,2270,0.2,0.23s,"[[1831, 41], [273, 125]]",86.17%,86.17%,86.17%,86.17%,0.03ms
GNB,Particion 2,6811,2270,0.2,0.07s,"[[627, 1245], [5, 393]]",44.93%,44.93%,44.93%,44.93%,0.01ms
DT,Particion 2,6811,2270,0.2,0.67s,"[[1785, 87], [36, 362]]",94.58%,94.58%,94.58%,94.58%,0.07ms
SVM,Particion 2,6811,2270,0.2,6.13s,"[[1872, 0], [258, 140]]",88.63%,88.63%,88.63%,88.63%,0.68ms
RF,Particion 2,6811,2270,0.2,1.84s,"[[1872, 0], [38, 360]]",98.33%,98.33%,98.33%,98.33%,0.20ms
GB,Particion 2,6811,2270,0.2,3.56s,"[[1869, 3], [310, 88]]",86.21%,86.21%,86.21%,86.21%,0.39ms
KNN,Particion 3,6811,2270,0.2,0.16s,"[[1756, 132], [137, 245]]",88.15%,88.15%,88.15%,88.15%,0.02ms
LR,Particion 3,6811,2270,0.2,0.26s,"[[1844, 44], [253, 129]]",86.92%,86.92%,86.92%,86.92%,0.03ms
GNB,Particion 3,6811,2270,0.2,0.08s,"[[642, 1246], [13, 369]]",44.54%,44.54%,44.54%,44.54%,0.01ms
DT,Particion 3,6811,2270,0.2,0.58s,"[[1784, 104], [32, 350]]",94.01%,94.01%,94.01%,94.01%,0.06ms
SVM,Particion 3,6811,2270,0.2,5.77s,"[[1888, 0], [251, 131]]",88.94%,88.94%,88.94%,88.94%,0.64ms
RF,Particion 3,6811,2270,0.2,1.85s,"[[1888, 0], [36, 346]]",98.41%,98.41%,98.41%,98.41%,0.20ms
GB,Particion 3,6811,2270,0.2,3.66s,"[[1883, 5], [304, 78]]",86.39%,86.39%,86.39%,86.39%,0.40ms
KNN,Particion 4,6810,2271,0.2,0.15s,"[[1752, 159], [105, 255]]",88.38%,88.38%,88.38%,88.38%,0.02ms
LR,Particion 4,6810,2271,0.2,0.36s,"[[1846, 65], [237, 123]]",86.70%,86.70%,86.70%,86.70%,0.04ms
GNB,Particion 4,6810,2271,0.2,0.08s,"[[641, 1270], [7, 353]]",43.77%,43.77%,43.77%,43.77%,0.01ms
DT,Particion 4,6810,2271,0.2,0.59s,"[[1809, 102], [21, 339]]",94.58%,94.58%,94.58%,94.58%,0.07ms
SVM,Particion 4,6810,2271,0.2,6.46s,"[[1911, 0], [229, 131]]",89.92%,89.92%,89.92%,89.92%,0.71ms
RF,Particion 4,6810,2271,0.2,1.87s,"[[1911, 0], [24, 336]]",98.94%,98.94%,98.94%,98.94%,0.21ms
GB,Particion 4,6810,2271,0.2,3.63s,"[[1906, 5], [275, 85]]",87.67%,87.67%,87.67%,87.67%,0.40ms
