algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF,tiempoPromedio
DT,Particion 1,7241,1810,0.2,2.84s,"[[1425, 80], [21, 284]]",94.42%,78.02%,93.11%,84.90%,0.31ms
DT,Particion 2,7241,1810,0.2,3.08s,"[[1464, 56], [19, 271]]",95.86%,82.87%,93.45%,87.84%,0.34ms
DT,Particion 3,7241,1810,0.2,2.88s,"[[1435, 62], [21, 292]]",95.41%,82.49%,93.29%,87.56%,0.32ms
DT,Particion 4,7241,1810,0.2,2.72s,"[[1469, 58], [13, 270]]",96.08%,82.32%,95.41%,88.38%,0.30ms
DT,Particion 5,7240,1811,0.2,2.61s,"[[1433, 51], [19, 308]]",96.13%,85.79%,94.19%,89.80%,0.29ms
DT,Total de datos,9051,3018,0.2,3.59s,"[[2454, 71], [20, 473]]",96.98%,86.95%,95.94%,91.22%,0.30ms
GB,Particion 1,7241,1810,0.2,7.10s,"[[1505, 0], [255, 50]]",85.91%,100.00%,16.39%,28.17%,0.78ms
GB,Particion 2,7241,1810,0.2,7.39s,"[[1519, 1], [238, 52]]",86.80%,98.11%,17.93%,30.32%,0.82ms
GB,Particion 3,7241,1810,0.2,7.37s,"[[1496, 1], [256, 57]]",85.80%,98.28%,18.21%,30.73%,0.81ms
GB,Particion 4,7241,1810,0.2,7.30s,"[[1527, 0], [237, 46]]",86.91%,100.00%,16.25%,27.96%,0.81ms
GB,Particion 5,7240,1811,0.2,7.28s,"[[1484, 0], [259, 68]]",85.70%,100.00%,20.80%,34.43%,0.80ms
GB,Total de datos,9051,3018,0.2,10.05s,"[[2525, 0], [404, 89]]",86.61%,100.00%,18.05%,30.58%,0.83ms
GNB,Particion 1,7241,1810,0.2,0.16s,"[[754, 751], [13, 292]]",57.79%,28.00%,95.74%,43.32%,0.02ms
GNB,Particion 2,7241,1810,0.2,0.15s,"[[793, 727], [8, 282]]",59.39%,27.95%,97.24%,43.42%,0.02ms
GNB,Particion 3,7241,1810,0.2,0.16s,"[[779, 718], [12, 301]]",59.67%,29.54%,96.17%,45.20%,0.02ms
GNB,Particion 4,7241,1810,0.2,0.14s,"[[794, 733], [8, 275]]",59.06%,27.28%,97.17%,42.60%,0.02ms
GNB,Particion 5,7240,1811,0.2,0.14s,"[[819, 665], [15, 312]]",62.45%,31.93%,95.41%,47.85%,0.01ms
GNB,Total de datos,9051,3018,0.2,0.21s,"[[1282, 1243], [11, 482]]",58.45%,27.94%,97.77%,43.46%,0.02ms
KNN,Particion 1,7241,1810,0.2,0.25s,"[[1455, 50], [104, 201]]",91.49%,80.08%,65.90%,72.30%,0.03ms
KNN,Particion 2,7241,1810,0.2,0.25s,"[[1484, 36], [92, 198]]",92.93%,84.62%,68.28%,75.57%,0.03ms
KNN,Particion 3,7241,1810,0.2,0.24s,"[[1458, 39], [113, 200]]",91.60%,83.68%,63.90%,72.46%,0.03ms
KNN,Particion 4,7241,1810,0.2,0.21s,"[[1476, 51], [86, 197]]",92.43%,79.44%,69.61%,74.20%,0.02ms
KNN,Particion 5,7240,1811,0.2,0.21s,"[[1438, 46], [110, 217]]",91.39%,82.51%,66.36%,73.56%,0.02ms
KNN,Total de datos,9051,3018,0.2,0.48s,"[[2446, 79], [111, 382]]",93.70%,82.86%,77.48%,80.08%,0.04ms
LR,Particion 1,7241,1810,0.2,0.64s,"[[1484, 21], [148, 157]]",90.66%,88.20%,51.48%,65.01%,0.07ms
LR,Particion 2,7241,1810,0.2,0.84s,"[[1500, 20], [133, 157]]",91.55%,88.70%,54.14%,67.24%,0.09ms
LR,Particion 3,7241,1810,0.2,0.70s,"[[1481, 16], [147, 166]]",90.99%,91.21%,53.04%,67.07%,0.08ms
LR,Particion 4,7241,1810,0.2,0.60s,"[[1510, 17], [134, 149]]",91.66%,89.76%,52.65%,66.37%,0.07ms
LR,Particion 5,7240,1811,0.2,0.61s,"[[1464, 20], [146, 181]]",90.83%,90.05%,55.35%,68.56%,0.07ms
LR,Total de datos,9051,3018,0.2,1.00s,"[[2502, 23], [198, 295]]",92.68%,92.77%,59.84%,72.75%,0.08ms
RF,Particion 1,7241,1810,0.2,3.84s,"[[1505, 0], [19, 286]]",98.95%,100.00%,93.77%,96.79%,0.42ms
RF,Particion 2,7241,1810,0.2,4.12s,"[[1520, 0], [19, 271]]",98.95%,100.00%,93.45%,96.61%,0.46ms
RF,Particion 3,7241,1810,0.2,4.26s,"[[1497, 0], [22, 291]]",98.78%,100.00%,92.97%,96.36%,0.47ms
RF,Particion 4,7241,1810,0.2,3.91s,"[[1527, 0], [13, 270]]",99.28%,100.00%,95.41%,97.65%,0.43ms
RF,Particion 5,7240,1811,0.2,4.23s,"[[1484, 0], [21, 306]]",98.84%,100.00%,93.58%,96.68%,0.47ms
RF,Total de datos,9051,3018,0.2,5.48s,"[[2525, 0], [20, 473]]",99.34%,100.00%,95.94%,97.93%,0.45ms
SVM,Particion 1,7241,1810,0.2,14.26s,"[[1504, 1], [121, 184]]",93.26%,99.46%,60.33%,75.10%,1.58ms
SVM,Particion 2,7241,1810,0.2,13.63s,"[[1520, 0], [113, 177]]",93.76%,100.00%,61.03%,75.80%,1.51ms
SVM,Particion 3,7241,1810,0.2,14.74s,"[[1497, 0], [127, 186]]",92.98%,100.00%,59.42%,74.55%,1.63ms
SVM,Particion 4,7241,1810,0.2,12.27s,"[[1526, 1], [109, 174]]",93.92%,99.43%,61.48%,75.98%,1.36ms
SVM,Particion 5,7240,1811,0.2,12.73s,"[[1484, 0], [128, 199]]",92.93%,100.00%,60.86%,75.67%,1.41ms
SVM,Total de datos,9051,3018,0.2,26.74s,"[[2525, 0], [164, 329]]",94.57%,100.00%,66.73%,80.05%,2.22ms
