algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF,tiempoPromedio
KNN,Total de datos,9081,3028,0.2,0.216s,"[[2377, 167], [121, 363]]",90.49%,90.49%,90.49%,90.49%,0.000s
LR,Total de datos,9081,3028,0.2,0.408s,"[[2484, 60], [313, 171]]",87.68%,87.68%,87.68%,87.68%,0.000s
GNB,Total de datos,9081,3028,0.2,0.093s,"[[839, 1705], [11, 473]]",43.33%,43.33%,43.33%,43.33%,0.000s
DT,Total de datos,9081,3028,0.2,0.997s,"[[2435, 109], [19, 465]]",95.77%,95.77%,95.77%,95.77%,0.000s
SVM,Total de datos,9081,3028,0.2,10.580s,"[[2544, 0], [272, 212]]",91.02%,91.02%,91.02%,91.02%,0.001s
RF,Total de datos,9081,3028,0.2,2.506s,"[[2544, 0], [25, 459]]",99.17%,99.17%,99.17%,99.17%,0.000s
GB,Total de datos,9081,3028,0.2,4.780s,"[[2541, 3], [370, 114]]",87.68%,87.68%,87.68%,87.68%,0.000s
KNN,Particion 1,6811,2270,0.2,0.150s,"[[1752, 124], [117, 277]]",89.38%,89.38%,89.38%,89.38%,0.000s
LR,Particion 1,6811,2270,0.2,0.248s,"[[1837, 39], [274, 120]]",86.21%,86.21%,86.21%,86.21%,0.000s
GNB,Particion 1,6811,2270,0.2,0.067s,"[[627, 1249], [10, 384]]",44.54%,44.54%,44.54%,44.54%,0.000s
DT,Particion 1,6811,2270,0.2,0.736s,"[[1799, 77], [25, 369]]",95.51%,95.51%,95.51%,95.51%,0.000s
SVM,Particion 1,6811,2270,0.2,5.592s,"[[1876, 0], [257, 137]]",88.68%,88.68%,88.68%,88.68%,0.001s
RF,Particion 1,6811,2270,0.2,1.778s,"[[1876, 0], [28, 366]]",98.77%,98.77%,98.77%,98.77%,0.000s
GB,Particion 1,6811,2270,0.2,3.583s,"[[1874, 2], [315, 79]]",86.04%,86.04%,86.04%,86.04%,0.000s
KNN,Particion 2,6811,2270,0.2,0.149s,"[[1734, 138], [139, 259]]",87.80%,87.80%,87.80%,87.80%,0.000s
LR,Particion 2,6811,2270,0.2,0.229s,"[[1831, 41], [273, 125]]",86.17%,86.17%,86.17%,86.17%,0.000s
GNB,Particion 2,6811,2270,0.2,0.077s,"[[627, 1245], [5, 393]]",44.93%,44.93%,44.93%,44.93%,0.000s
DT,Particion 2,6811,2270,0.2,0.666s,"[[1785, 87], [36, 362]]",94.58%,94.58%,94.58%,94.58%,0.000s
SVM,Particion 2,6811,2270,0.2,5.671s,"[[1872, 0], [258, 140]]",88.63%,88.63%,88.63%,88.63%,0.001s
RF,Particion 2,6811,2270,0.2,1.860s,"[[1872, 0], [38, 360]]",98.33%,98.33%,98.33%,98.33%,0.000s
GB,Particion 2,6811,2270,0.2,3.618s,"[[1869, 3], [310, 88]]",86.21%,86.21%,86.21%,86.21%,0.000s
KNN,Particion 3,6811,2270,0.2,0.154s,"[[1756, 132], [137, 245]]",88.15%,88.15%,88.15%,88.15%,0.000s
LR,Particion 3,6811,2270,0.2,0.362s,"[[1844, 44], [253, 129]]",86.92%,86.92%,86.92%,86.92%,0.000s
GNB,Particion 3,6811,2270,0.2,0.088s,"[[642, 1246], [13, 369]]",44.54%,44.54%,44.54%,44.54%,0.000s
DT,Particion 3,6811,2270,0.2,0.599s,"[[1784, 104], [32, 350]]",94.01%,94.01%,94.01%,94.01%,0.000s
SVM,Particion 3,6811,2270,0.2,6.603s,"[[1888, 0], [251, 131]]",88.94%,88.94%,88.94%,88.94%,0.001s
RF,Particion 3,6811,2270,0.2,1.902s,"[[1888, 0], [36, 346]]",98.41%,98.41%,98.41%,98.41%,0.000s
GB,Particion 3,6811,2270,0.2,3.679s,"[[1883, 5], [304, 78]]",86.39%,86.39%,86.39%,86.39%,0.000s
KNN,Particion 4,6810,2271,0.2,0.150s,"[[1752, 159], [105, 255]]",88.38%,88.38%,88.38%,88.38%,0.000s
LR,Particion 4,6810,2271,0.2,0.344s,"[[1846, 65], [237, 123]]",86.70%,86.70%,86.70%,86.70%,0.000s
GNB,Particion 4,6810,2271,0.2,0.077s,"[[641, 1270], [7, 353]]",43.77%,43.77%,43.77%,43.77%,0.000s
DT,Particion 4,6810,2271,0.2,0.596s,"[[1809, 102], [21, 339]]",94.58%,94.58%,94.58%,94.58%,0.000s
SVM,Particion 4,6810,2271,0.2,6.256s,"[[1911, 0], [229, 131]]",89.92%,89.92%,89.92%,89.92%,0.001s
RF,Particion 4,6810,2271,0.2,1.872s,"[[1911, 0], [24, 336]]",98.94%,98.94%,98.94%,98.94%,0.000s
GB,Particion 4,6810,2271,0.2,3.632s,"[[1906, 5], [275, 85]]",87.67%,87.67%,87.67%,87.67%,0.000s
