algoritmo,tipo,registrosEntrenamiento,registrosPrueba,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF
DT,Particion 1,11190,3729,384ms,"[[1733, 160], [0, 1836]]",95.71%,91.98%,100.00%,95.82%
DT,Particion 2,11189,3730,376ms,"[[1716, 152], [0, 1862]]",95.92%,92.45%,100.00%,96.08%
DT,Particion 3,11189,3730,621ms,"[[1691, 146], [0, 1893]]",96.09%,92.84%,100.00%,96.29%
DT,Particion 4,11189,3730,446ms,"[[1648, 190], [0, 1892]]",94.91%,90.87%,100.00%,95.22%
DT,Total de datos,14919,4973,556ms,"[[2326, 184], [0, 2463]]",96.30%,93.05%,100.00%,96.40%
GB,Particion 1,11190,3729,5938ms,"[[1449, 444], [580, 1256]]",72.54%,73.88%,68.41%,71.04%
GB,Particion 2,11189,3730,6240ms,"[[1478, 390], [609, 1253]]",73.22%,76.26%,67.29%,71.50%
GB,Particion 3,11189,3730,6324ms,"[[1500, 337], [752, 1141]]",70.80%,77.20%,60.27%,67.70%
GB,Particion 4,11189,3730,6205ms,"[[1420, 418], [647, 1245]]",71.45%,74.86%,65.80%,70.04%
GB,Total de datos,14919,4973,7905ms,"[[2014, 496], [858, 1605]]",72.77%,76.39%,65.16%,70.33%
GNB,Particion 1,11190,3729,117ms,"[[1796, 97], [1017, 819]]",70.13%,89.41%,44.61%,59.52%
GNB,Particion 2,11189,3730,117ms,"[[1785, 83], [1022, 840]]",70.38%,91.01%,45.11%,60.32%
GNB,Particion 3,11189,3730,131ms,"[[1749, 88], [1056, 837]]",69.33%,90.49%,44.22%,59.40%
GNB,Particion 4,11189,3730,182ms,"[[1760, 78], [1019, 873]]",70.59%,91.80%,46.14%,61.41%
GNB,Total de datos,14919,4973,174ms,"[[2401, 109], [1329, 1134]]",71.08%,91.23%,46.04%,61.20%
KNN,Particion 1,11190,3729,292ms,"[[1671, 222], [19, 1817]]",93.54%,89.11%,98.97%,93.78%
KNN,Particion 2,11189,3730,292ms,"[[1655, 213], [8, 1854]]",94.08%,89.70%,99.57%,94.38%
KNN,Particion 3,11189,3730,376ms,"[[1636, 201], [4, 1889]]",94.50%,90.38%,99.79%,94.85%
KNN,Particion 4,11189,3730,383ms,"[[1615, 223], [15, 1877]]",93.62%,89.38%,99.21%,94.04%
KNN,Total de datos,14919,4973,646ms,"[[2308, 202], [0, 2463]]",95.94%,92.42%,100.00%,96.06%
LR,Particion 1,11190,3729,399ms,"[[1487, 406], [410, 1426]]",78.12%,77.84%,77.67%,77.75%
LR,Particion 2,11189,3730,409ms,"[[1476, 392], [401, 1461]]",78.74%,78.85%,78.46%,78.65%
LR,Particion 3,11189,3730,465ms,"[[1490, 347], [408, 1485]]",79.76%,81.06%,78.45%,79.73%
LR,Particion 4,11189,3730,529ms,"[[1457, 381], [406, 1486]]",78.90%,79.59%,78.54%,79.06%
LR,Total de datos,14919,4973,595ms,"[[2018, 492], [549, 1914]]",79.07%,79.55%,77.71%,78.62%
RF,Particion 1,11190,3729,2701ms,"[[1892, 1], [0, 1836]]",99.97%,99.95%,100.00%,99.97%
RF,Particion 2,11189,3730,2739ms,"[[1868, 0], [0, 1862]]",100.00%,100.00%,100.00%,100.00%
RF,Particion 3,11189,3730,2885ms,"[[1837, 0], [0, 1893]]",100.00%,100.00%,100.00%,100.00%
RF,Particion 4,11189,3730,3017ms,"[[1838, 0], [0, 1892]]",100.00%,100.00%,100.00%,100.00%
RF,Total de datos,14919,4973,3673ms,"[[2509, 1], [0, 2463]]",99.98%,99.96%,100.00%,99.98%
SVM,Particion 1,11190,3729,26014ms,"[[1743, 150], [150, 1686]]",91.95%,91.83%,91.83%,91.83%
SVM,Particion 2,11189,3730,26207ms,"[[1744, 124], [121, 1741]]",93.43%,93.35%,93.50%,93.43%
SVM,Particion 3,11189,3730,28804ms,"[[1726, 111], [116, 1777]]",93.91%,94.12%,93.87%,94.00%
SVM,Particion 4,11189,3730,31786ms,"[[1704, 134], [86, 1806]]",94.10%,93.09%,95.45%,94.26%
SVM,Total de datos,14919,4973,46652ms,"[[2380, 130], [80, 2383]]",95.78%,94.83%,96.75%,95.78%
