algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF
DT,Particion 1,8392,2797,0.5,707ms,"[[1738, 113], [5, 941]]",95.78%,89.28%,99.47%,94.10%
DT,Particion 2,8392,2797,0.5,615ms,"[[1752, 132], [2, 911]]",95.21%,87.34%,99.78%,93.15%
DT,Particion 3,8392,2797,0.5,644ms,"[[1731, 136], [12, 918]]",94.71%,87.10%,98.71%,92.54%
DT,Particion 4,8391,2798,0.5,782ms,"[[1701, 158], [6, 933]]",94.14%,85.52%,99.36%,91.92%
DT,Total de datos,11189,3730,0.5,816ms,"[[2365, 120], [1, 1244]]",96.76%,91.20%,99.92%,95.36%
GB,Particion 1,8392,2797,0.5,5132ms,"[[1835, 16], [670, 276]]",75.47%,94.52%,29.18%,44.59%
GB,Particion 2,8392,2797,0.5,5058ms,"[[1870, 14], [616, 297]]",77.48%,95.50%,32.53%,48.53%
GB,Particion 3,8392,2797,0.5,4962ms,"[[1849, 18], [645, 285]]",76.30%,94.06%,30.65%,46.23%
GB,Particion 4,8391,2798,0.5,4884ms,"[[1840, 19], [684, 255]]",74.87%,93.07%,27.16%,42.04%
GB,Total de datos,11189,3730,0.5,6480ms,"[[2471, 14], [869, 376]]",76.33%,96.41%,30.20%,45.99%
GNB,Particion 1,8392,2797,0.5,130ms,"[[540, 1311], [57, 889]]",51.09%,40.41%,93.97%,56.52%
GNB,Particion 2,8392,2797,0.5,128ms,"[[620, 1264], [45, 868]]",53.20%,40.71%,95.07%,57.01%
GNB,Particion 3,8392,2797,0.5,129ms,"[[552, 1315], [49, 881]]",51.23%,40.12%,94.73%,56.37%
GNB,Particion 4,8391,2798,0.5,126ms,"[[575, 1284], [61, 878]]",51.93%,40.61%,93.50%,56.63%
GNB,Total de datos,11189,3730,0.5,157ms,"[[726, 1759], [68, 1177]]",51.02%,40.09%,94.54%,56.30%
KNN,Particion 1,8392,2797,0.5,234ms,"[[1622, 229], [82, 864]]",88.88%,79.05%,91.33%,84.75%
KNN,Particion 2,8392,2797,0.5,253ms,"[[1670, 214], [67, 846]]",89.95%,79.81%,92.66%,85.76%
KNN,Particion 3,8392,2797,0.5,249ms,"[[1617, 250], [98, 832]]",87.56%,76.89%,89.46%,82.70%
KNN,Particion 4,8391,2798,0.5,240ms,"[[1627, 232], [90, 849]]",88.49%,78.54%,90.42%,84.06%
KNN,Total de datos,11189,3730,0.5,394ms,"[[2221, 264], [44, 1201]]",91.74%,81.98%,96.47%,88.63%
LR,Particion 1,8392,2797,0.5,374ms,"[[1679, 172], [442, 504]]",78.05%,74.56%,53.28%,62.15%
LR,Particion 2,8392,2797,0.5,393ms,"[[1705, 179], [387, 526]]",79.76%,74.61%,57.61%,65.02%
LR,Particion 3,8392,2797,0.5,407ms,"[[1683, 184], [460, 470]]",76.98%,71.87%,50.54%,59.34%
LR,Particion 4,8391,2798,0.5,403ms,"[[1665, 194], [428, 511]]",77.77%,72.48%,54.42%,62.17%
LR,Total de datos,11189,3730,0.5,476ms,"[[2248, 237], [576, 669]]",78.20%,73.84%,53.73%,62.20%
RF,Particion 1,8392,2797,0.5,3155ms,"[[1850, 1], [5, 941]]",99.79%,99.89%,99.47%,99.68%
RF,Particion 2,8392,2797,0.5,3076ms,"[[1884, 0], [5, 908]]",99.82%,100.00%,99.45%,99.73%
RF,Particion 3,8392,2797,0.5,2961ms,"[[1866, 1], [12, 918]]",99.54%,99.89%,98.71%,99.30%
RF,Particion 4,8391,2798,0.5,2879ms,"[[1855, 4], [6, 933]]",99.64%,99.57%,99.36%,99.47%
RF,Total de datos,11189,3730,0.5,3924ms,"[[2485, 0], [1, 1244]]",99.97%,100.00%,99.92%,99.96%
SVM,Particion 1,8392,2797,0.5,22022ms,"[[1836, 15], [301, 645]]",88.70%,97.73%,68.18%,80.32%
SVM,Particion 2,8392,2797,0.5,21410ms,"[[1854, 30], [249, 664]]",90.03%,95.68%,72.73%,82.64%
SVM,Particion 3,8392,2797,0.5,23209ms,"[[1840, 27], [313, 617]]",87.84%,95.81%,66.34%,78.40%
SVM,Particion 4,8391,2798,0.5,19573ms,"[[1831, 28], [291, 648]]",88.60%,95.86%,69.01%,80.25%
SVM,Total de datos,11189,3730,0.5,35413ms,"[[2447, 38], [303, 942]]",90.86%,96.12%,75.66%,84.67%
