algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF
KNN,Total de datos,9081,3028,0.2,239ms,"[[2377, 167], [121, 363]]",90.49%,90.49%,90.49%,90.49%
LR,Total de datos,9081,3028,0.2,474ms,"[[2484, 60], [313, 171]]",87.68%,87.68%,87.68%,87.68%
GNB,Total de datos,9081,3028,0.2,90ms,"[[839, 1705], [11, 473]]",43.33%,43.33%,43.33%,43.33%
DT,Total de datos,9081,3028,0.2,1004ms,"[[2435, 109], [19, 465]]",95.77%,95.77%,95.77%,95.77%
SVM,Total de datos,9081,3028,0.2,10723ms,"[[2544, 0], [272, 212]]",91.02%,91.02%,91.02%,91.02%
RF,Total de datos,9081,3028,0.2,2595ms,"[[2544, 0], [25, 459]]",99.17%,99.17%,99.17%,99.17%
GB,Total de datos,9081,3028,0.2,4792ms,"[[2541, 3], [370, 114]]",87.68%,87.68%,87.68%,87.68%
KNN,Particion 1,6811,2270,0.2,153ms,"[[1752, 124], [117, 277]]",89.38%,89.38%,89.38%,89.38%
LR,Particion 1,6811,2270,0.2,258ms,"[[1837, 39], [274, 120]]",86.21%,86.21%,86.21%,86.21%
GNB,Particion 1,6811,2270,0.2,67ms,"[[627, 1249], [10, 384]]",44.54%,44.54%,44.54%,44.54%
DT,Particion 1,6811,2270,0.2,738ms,"[[1799, 77], [25, 369]]",95.51%,95.51%,95.51%,95.51%
SVM,Particion 1,6811,2270,0.2,5769ms,"[[1876, 0], [257, 137]]",88.68%,88.68%,88.68%,88.68%
RF,Particion 1,6811,2270,0.2,1839ms,"[[1876, 0], [28, 366]]",98.77%,98.77%,98.77%,98.77%
GB,Particion 1,6811,2270,0.2,3637ms,"[[1874, 2], [315, 79]]",86.04%,86.04%,86.04%,86.04%
KNN,Particion 2,6811,2270,0.2,145ms,"[[1734, 138], [139, 259]]",87.80%,87.80%,87.80%,87.80%
LR,Particion 2,6811,2270,0.2,226ms,"[[1831, 41], [273, 125]]",86.17%,86.17%,86.17%,86.17%
GNB,Particion 2,6811,2270,0.2,67ms,"[[627, 1245], [5, 393]]",44.93%,44.93%,44.93%,44.93%
DT,Particion 2,6811,2270,0.2,689ms,"[[1785, 87], [36, 362]]",94.58%,94.58%,94.58%,94.58%
SVM,Particion 2,6811,2270,0.2,5788ms,"[[1872, 0], [258, 140]]",88.63%,88.63%,88.63%,88.63%
RF,Particion 2,6811,2270,0.2,1882ms,"[[1872, 0], [38, 360]]",98.33%,98.33%,98.33%,98.33%
GB,Particion 2,6811,2270,0.2,3599ms,"[[1869, 3], [310, 88]]",86.21%,86.21%,86.21%,86.21%
KNN,Particion 3,6811,2270,0.2,144ms,"[[1756, 132], [137, 245]]",88.15%,88.15%,88.15%,88.15%
LR,Particion 3,6811,2270,0.2,290ms,"[[1844, 44], [253, 129]]",86.92%,86.92%,86.92%,86.92%
GNB,Particion 3,6811,2270,0.2,74ms,"[[642, 1246], [13, 369]]",44.54%,44.54%,44.54%,44.54%
DT,Particion 3,6811,2270,0.2,588ms,"[[1784, 104], [32, 350]]",94.01%,94.01%,94.01%,94.01%
SVM,Particion 3,6811,2270,0.2,5723ms,"[[1888, 0], [251, 131]]",88.94%,88.94%,88.94%,88.94%
RF,Particion 3,6811,2270,0.2,1818ms,"[[1888, 0], [36, 346]]",98.41%,98.41%,98.41%,98.41%
GB,Particion 3,6811,2270,0.2,3717ms,"[[1883, 5], [304, 78]]",86.39%,86.39%,86.39%,86.39%
KNN,Particion 4,6810,2271,0.2,189ms,"[[1752, 159], [105, 255]]",88.38%,88.38%,88.38%,88.38%
LR,Particion 4,6810,2271,0.2,418ms,"[[1846, 65], [237, 123]]",86.70%,86.70%,86.70%,86.70%
GNB,Particion 4,6810,2271,0.2,83ms,"[[641, 1270], [7, 353]]",43.77%,43.77%,43.77%,43.77%
DT,Particion 4,6810,2271,0.2,631ms,"[[1809, 102], [21, 339]]",94.58%,94.58%,94.58%,94.58%
SVM,Particion 4,6810,2271,0.2,7787ms,"[[1911, 0], [229, 131]]",89.92%,89.92%,89.92%,89.92%
RF,Particion 4,6810,2271,0.2,1949ms,"[[1911, 0], [24, 336]]",98.94%,98.94%,98.94%,98.94%
GB,Particion 4,6810,2271,0.2,3640ms,"[[1906, 5], [275, 85]]",87.67%,87.67%,87.67%,87.67%
