algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF,tiempoPromedio
KNN,Total de datos,9081,3028,0.2,0.39s,"[[2456, 88], [121, 363]]",93.10%,80.49%,75.00%,77.65%,0.03ms
LR,Total de datos,9081,3028,0.2,1.02s,"[[2514, 30], [221, 263]]",91.71%,89.76%,54.34%,67.70%,0.08ms
GNB,Total de datos,9081,3028,0.2,0.18s,"[[1316, 1228], [6, 478]]",59.25%,28.02%,98.76%,43.65%,0.02ms
DT,Total de datos,9081,3028,0.2,2.93s,"[[2467, 77], [26, 458]]",96.60%,85.61%,94.63%,89.89%,0.24ms
SVM,Total de datos,9081,3028,0.2,23.34s,"[[2544, 0], [160, 324]]",94.72%,100.00%,66.94%,80.20%,1.93ms
RF,Total de datos,9081,3028,0.2,5.45s,"[[2544, 0], [25, 459]]",99.17%,100.00%,94.83%,97.35%,0.45ms
GB,Total de datos,9081,3028,0.2,9.20s,"[[2544, 0], [382, 102]]",87.38%,100.00%,21.07%,34.81%,0.76ms
KNN,Particion 1,6811,2270,0.2,0.26s,"[[1783, 93], [135, 259]]",89.96%,73.58%,65.74%,69.44%,0.03ms
LR,Particion 1,6811,2270,0.2,0.70s,"[[1856, 20], [179, 215]]",91.23%,91.49%,54.57%,68.36%,0.08ms
GNB,Particion 1,6811,2270,0.2,0.14s,"[[953, 923], [19, 375]]",58.50%,28.89%,95.18%,44.33%,0.02ms
DT,Particion 1,6811,2270,0.2,2.18s,"[[1801, 75], [26, 368]]",95.55%,83.07%,93.40%,87.93%,0.24ms
SVM,Particion 1,6811,2270,0.2,13.30s,"[[1876, 0], [160, 234]]",92.95%,100.00%,59.39%,74.52%,1.46ms
RF,Particion 1,6811,2270,0.2,3.68s,"[[1876, 0], [28, 366]]",98.77%,100.00%,92.89%,96.32%,0.41ms
GB,Particion 1,6811,2270,0.2,7.01s,"[[1874, 2], [330, 64]]",85.37%,96.97%,16.24%,27.83%,0.77ms
KNN,Particion 2,6811,2270,0.2,0.25s,"[[1795, 77], [151, 247]]",89.96%,76.23%,62.06%,68.42%,0.03ms
LR,Particion 2,6811,2270,0.2,0.57s,"[[1851, 21], [197, 201]]",90.40%,90.54%,50.50%,64.84%,0.06ms
GNB,Particion 2,6811,2270,0.2,0.15s,"[[961, 911], [14, 384]]",59.25%,29.65%,96.48%,45.36%,0.02ms
DT,Particion 2,6811,2270,0.2,2.16s,"[[1796, 76], [31, 367]]",95.29%,82.84%,92.21%,87.28%,0.24ms
SVM,Particion 2,6811,2270,0.2,13.73s,"[[1871, 1], [174, 224]]",92.29%,99.56%,56.28%,71.91%,1.51ms
RF,Particion 2,6811,2270,0.2,3.83s,"[[1872, 0], [33, 365]]",98.55%,100.00%,91.71%,95.67%,0.42ms
GB,Particion 2,6811,2270,0.2,6.86s,"[[1872, 0], [326, 72]]",85.64%,100.00%,18.09%,30.64%,0.76ms
KNN,Particion 3,6811,2270,0.2,0.25s,"[[1814, 74], [140, 242]]",90.57%,76.58%,63.35%,69.34%,0.03ms
LR,Particion 3,6811,2270,0.2,0.69s,"[[1862, 26], [182, 200]]",90.84%,88.50%,52.36%,65.79%,0.08ms
GNB,Particion 3,6811,2270,0.2,0.15s,"[[972, 916], [16, 366]]",58.94%,28.55%,95.81%,43.99%,0.02ms
DT,Particion 3,6811,2270,0.2,2.28s,"[[1812, 76], [26, 356]]",95.51%,82.41%,93.19%,87.47%,0.25ms
SVM,Particion 3,6811,2270,0.2,12.85s,"[[1888, 0], [159, 223]]",93.00%,100.00%,58.38%,73.72%,1.41ms
RF,Particion 3,6811,2270,0.2,3.62s,"[[1888, 0], [32, 350]]",98.59%,100.00%,91.62%,95.63%,0.40ms
GB,Particion 3,6811,2270,0.2,6.85s,"[[1885, 3], [307, 75]]",86.34%,96.15%,19.63%,32.61%,0.75ms
KNN,Particion 4,6810,2271,0.2,0.26s,"[[1851, 60], [123, 237]]",91.94%,79.80%,65.83%,72.15%,0.03ms
LR,Particion 4,6810,2271,0.2,0.63s,"[[1882, 29], [164, 196]]",91.50%,87.11%,54.44%,67.01%,0.07ms
GNB,Particion 4,6810,2271,0.2,0.14s,"[[973, 938], [13, 347]]",58.12%,27.00%,96.39%,42.19%,0.02ms
DT,Particion 4,6810,2271,0.2,2.08s,"[[1846, 65], [20, 340]]",96.26%,83.95%,94.44%,88.89%,0.23ms
SVM,Particion 4,6810,2271,0.2,12.50s,"[[1910, 1], [156, 204]]",93.09%,99.51%,56.67%,72.21%,1.38ms
RF,Particion 4,6810,2271,0.2,3.59s,"[[1911, 0], [24, 336]]",98.94%,100.00%,93.33%,96.55%,0.40ms
GB,Particion 4,6810,2271,0.2,6.75s,"[[1908, 3], [288, 72]]",87.19%,96.00%,20.00%,33.10%,0.74ms
