algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF
DT,Particion 1,6714,2237,0.2,1008ms,"[[1760, 109], [47, 321]]",93.03%,74.65%,87.23%,80.45%
DT,Particion 2,6713,2238,0.2,774ms,"[[1734, 103], [31, 370]]",94.01%,78.22%,92.27%,84.67%
DT,Particion 3,6713,2238,0.2,818ms,"[[1761, 99], [45, 333]]",93.57%,77.08%,88.10%,82.22%
DT,Particion 4,6713,2238,0.2,854ms,"[[1770, 106], [42, 320]]",93.39%,75.12%,88.40%,81.22%
DT,Total de datos,8951,2984,0.2,1155ms,"[[2394, 110], [43, 437]]",94.87%,79.89%,91.04%,85.10%
GB,Particion 1,6714,2237,0.2,3828ms,"[[1864, 5], [302, 66]]",86.28%,92.96%,17.93%,30.07%
GB,Particion 2,6713,2238,0.2,3795ms,"[[1832, 5], [313, 88]]",85.79%,94.62%,21.95%,35.63%
GB,Particion 3,6713,2238,0.2,3985ms,"[[1857, 3], [300, 78]]",86.46%,96.30%,20.63%,33.99%
GB,Particion 4,6713,2238,0.2,5083ms,"[[1874, 2], [283, 79]]",87.27%,97.53%,21.82%,35.67%
GB,Total de datos,8951,2984,0.2,5341ms,"[[2499, 5], [378, 102]]",87.16%,95.33%,21.25%,34.75%
GNB,Particion 1,6714,2237,0.2,133ms,"[[570, 1299], [12, 356]]",41.39%,21.51%,96.74%,35.20%
GNB,Particion 2,6713,2238,0.2,97ms,"[[531, 1306], [11, 390]]",41.15%,23.00%,97.26%,37.20%
GNB,Particion 3,6713,2238,0.2,109ms,"[[596, 1264], [16, 362]]",42.81%,22.26%,95.77%,36.13%
GNB,Particion 4,6713,2238,0.2,97ms,"[[571, 1305], [23, 339]]",40.66%,20.62%,93.65%,33.80%
GNB,Total de datos,8951,2984,0.2,138ms,"[[701, 1803], [12, 468]]",39.18%,20.61%,97.50%,34.02%
KNN,Particion 1,6714,2237,0.2,194ms,"[[1743, 126], [142, 226]]",88.02%,64.20%,61.41%,62.78%
KNN,Particion 2,6713,2238,0.2,171ms,"[[1725, 112], [159, 242]]",87.89%,68.36%,60.35%,64.11%
KNN,Particion 3,6713,2238,0.2,176ms,"[[1741, 119], [154, 224]]",87.80%,65.31%,59.26%,62.14%
KNN,Particion 4,6713,2238,0.2,176ms,"[[1726, 150], [153, 209]]",86.46%,58.22%,57.73%,57.98%
KNN,Total de datos,8951,2984,0.2,347ms,"[[2346, 158], [150, 330]]",89.68%,67.62%,68.75%,68.18%
LR,Particion 1,6714,2237,0.2,415ms,"[[1806, 63], [276, 92]]",84.85%,59.35%,25.00%,35.18%
LR,Particion 2,6713,2238,0.2,297ms,"[[1810, 27], [277, 124]]",86.42%,82.12%,30.92%,44.93%
LR,Particion 3,6713,2238,0.2,297ms,"[[1822, 38], [259, 119]]",86.73%,75.80%,31.48%,44.49%
LR,Particion 4,6713,2238,0.2,324ms,"[[1832, 44], [243, 119]]",87.18%,73.01%,32.87%,45.33%
LR,Total de datos,8951,2984,0.2,495ms,"[[2453, 51], [330, 150]]",87.23%,74.63%,31.25%,44.05%
RF,Particion 1,6714,2237,0.2,2228ms,"[[1869, 0], [49, 319]]",97.81%,100.00%,86.68%,92.87%
RF,Particion 2,6713,2238,0.2,2283ms,"[[1837, 0], [31, 370]]",98.61%,100.00%,92.27%,95.98%
RF,Particion 3,6713,2238,0.2,2339ms,"[[1860, 0], [51, 327]]",97.72%,100.00%,86.51%,92.77%
RF,Particion 4,6713,2238,0.2,2492ms,"[[1875, 1], [45, 317]]",97.94%,99.69%,87.57%,93.24%
RF,Total de datos,8951,2984,0.2,2916ms,"[[2504, 0], [45, 435]]",98.49%,100.00%,90.62%,95.08%
SVM,Particion 1,6714,2237,0.2,9336ms,"[[1869, 0], [268, 100]]",88.02%,100.00%,27.17%,42.74%
SVM,Particion 2,6713,2238,0.2,7851ms,"[[1837, 0], [280, 121]]",87.49%,100.00%,30.17%,46.36%
SVM,Particion 3,6713,2238,0.2,9807ms,"[[1860, 0], [264, 114]]",88.20%,100.00%,30.16%,46.34%
SVM,Particion 4,6713,2238,0.2,11560ms,"[[1876, 0], [239, 123]]",89.32%,100.00%,33.98%,50.72%
SVM,Total de datos,8951,2984,0.2,16548ms,"[[2504, 0], [285, 195]]",90.45%,100.00%,40.62%,57.78%
