algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF
DT,Particion 1,11292,3764,1,540ms,"[[580, 69, 65, 25, 26], [89, 472, 74, 52, 33], [51, 55, 626, 27, 26], [12, 8, 10, 728, 4], [2, 6, 4, 0, 720]]",83.05%,83.05%,83.05%,83.05%
DT,Total de datos,15056,5019,1,947ms,"[[833, 92, 57, 25, 21], [90, 782, 67, 37, 23], [36, 78, 853, 23, 16], [4, 9, 2, 960, 0], [6, 3, 3, 0, 999]]",88.20%,88.20%,88.20%,88.20%
GB,Particion 1,11292,3764,1,26136ms,"[[310, 205, 101, 73, 76], [136, 323, 89, 76, 96], [136, 180, 320, 73, 76], [84, 131, 82, 357, 108], [69, 117, 58, 71, 417]]",45.88%,45.88%,45.88%,45.88%
GB,Total de datos,15056,5019,1,34931ms,"[[428, 250, 167, 103, 80], [203, 421, 161, 123, 91], [182, 197, 421, 103, 103], [122, 161, 120, 477, 95], [107, 161, 119, 106, 518]]",45.13%,45.13%,45.13%,45.13%
GNB,Particion 1,11292,3764,1,143ms,"[[97, 4, 25, 110, 529], [60, 23, 16, 110, 511], [45, 7, 58, 114, 561], [27, 3, 5, 287, 440], [16, 0, 2, 37, 677]]",30.34%,30.34%,30.34%,30.34%
GNB,Total de datos,15056,5019,1,207ms,"[[134, 6, 30, 155, 703], [65, 26, 29, 184, 695], [64, 12, 68, 148, 714], [30, 3, 8, 383, 551], [10, 0, 6, 52, 943]]",30.96%,30.96%,30.96%,30.96%
KNN,Particion 1,11292,3764,1,253ms,"[[409, 119, 98, 72, 67], [170, 323, 81, 64, 82], [126, 120, 429, 58, 52], [57, 65, 81, 533, 26], [26, 48, 27, 19, 612]]",61.26%,61.26%,61.26%,61.26%
KNN,Total de datos,15056,5019,1,394ms,"[[587, 157, 126, 81, 77], [194, 502, 138, 83, 82], [161, 144, 558, 70, 73], [49, 41, 40, 826, 19], [8, 33, 13, 28, 929]]",67.78%,67.78%,67.78%,67.78%
LR,Particion 1,11292,3764,1,556ms,"[[279, 141, 134, 92, 119], [161, 223, 131, 105, 100], [137, 120, 296, 96, 136], [91, 109, 88, 396, 78], [68, 89, 72, 83, 420]]",42.88%,42.88%,42.88%,42.88%
LR,Total de datos,15056,5019,1,761ms,"[[371, 167, 202, 154, 134], [182, 258, 202, 200, 157], [153, 160, 380, 160, 153], [138, 115, 121, 491, 110], [79, 79, 124, 114, 615]]",42.14%,42.14%,42.14%,42.14%
RF,Particion 1,11292,3764,1,3519ms,"[[621, 105, 25, 8, 6], [89, 548, 67, 12, 4], [47, 93, 629, 13, 3], [2, 19, 8, 732, 1], [6, 4, 0, 2, 720]]",86.34%,86.34%,86.34%,86.34%
RF,Total de datos,15056,5019,1,4883ms,"[[859, 120, 38, 9, 2], [88, 850, 54, 4, 3], [45, 89, 861, 8, 3], [2, 12, 3, 958, 0], [0, 8, 4, 0, 999]]",90.20%,90.20%,90.20%,90.20%
SVM,Particion 1,11292,3764,1,36186ms,"[[382, 160, 105, 64, 54], [136, 359, 119, 57, 49], [116, 136, 438, 42, 53], [70, 81, 54, 529, 28], [51, 56, 40, 22, 563]]",60.33%,60.33%,60.33%,60.33%
SVM,Total de datos,15056,5019,1,131876ms,"[[598, 186, 139, 63, 42], [166, 547, 148, 77, 61], [143, 161, 594, 48, 60], [64, 85, 56, 741, 29], [45, 70, 35, 16, 845]]",66.25%,66.25%,66.25%,66.25%
