algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF
DT,Total de datos,15056,5019,1,942ms,"[[833, 83, 66, 25, 21], [92, 748, 87, 41, 31], [60, 62, 843, 19, 22], [7, 16, 1, 951, 0], [0, 2, 0, 0, 1009]]",87.35%,87.35%,87.35%,87.35%
GB,Total de datos,15056,5019,1,34905ms,"[[471, 163, 193, 123, 78], [182, 397, 175, 158, 87], [186, 171, 435, 132, 82], [114, 150, 122, 518, 71], [154, 129, 133, 101, 494]]",46.12%,46.12%,46.12%,46.12%
GNB,Total de datos,15056,5019,1,207ms,"[[114, 4, 36, 253, 621], [39, 47, 49, 256, 608], [42, 6, 107, 215, 636], [19, 3, 17, 416, 520], [14, 1, 12, 83, 901]]",31.58%,31.58%,31.58%,31.58%
KNN,Total de datos,15056,5019,1,430ms,"[[599, 150, 129, 83, 67], [204, 507, 148, 72, 68], [172, 141, 565, 53, 75], [64, 48, 53, 795, 15], [9, 14, 13, 25, 950]]",68.06%,68.06%,68.06%,68.06%
LR,Total de datos,15056,5019,1,746ms,"[[392, 153, 200, 159, 124], [181, 304, 194, 172, 148], [177, 152, 380, 142, 155], [149, 130, 126, 466, 104], [111, 107, 104, 95, 594]]",42.56%,42.56%,42.56%,42.56%
RF,Total de datos,15056,5019,1,4883ms,"[[861, 112, 45, 7, 3], [106, 811, 71, 8, 3], [63, 69, 868, 6, 0], [5, 9, 3, 958, 0], [0, 2, 0, 0, 1009]]",89.80%,89.80%,89.80%,89.80%
SVM,Total de datos,15056,5019,1,72199ms,"[[643, 142, 145, 53, 45], [187, 528, 143, 77, 64], [149, 130, 617, 57, 53], [86, 60, 78, 726, 25], [50, 42, 41, 30, 848]]",66.99%,66.99%,66.99%,66.99%
