algoritmo,tipo,registrosEntrenamiento,registrosPrueba,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF
DT,Particion 1,5961,1986,639ms,"[[1798, 68], [88, 32]]",92.15%,32.00%,26.67%,29.09%
DT,Particion 2,5960,1987,572ms,"[[1803, 62], [91, 31]]",92.30%,33.33%,25.41%,28.84%
DT,Particion 3,5960,1987,605ms,"[[1788, 69], [85, 45]]",92.25%,39.47%,34.62%,36.89%
DT,Particion 4,5960,1987,662ms,"[[1787, 92], [82, 26]]",91.24%,22.03%,24.07%,23.01%
DT,Total de datos,7947,2650,902ms,"[[2371, 108], [120, 51]]",91.40%,32.08%,29.82%,30.91%
GB,Particion 1,5961,1986,3333ms,"[[1865, 1], [110, 10]]",94.41%,90.91%,8.33%,15.27%
GB,Particion 2,5960,1987,3483ms,"[[1863, 2], [116, 6]]",94.06%,75.00%,4.92%,9.23%
GB,Particion 3,5960,1987,3163ms,"[[1856, 1], [114, 16]]",94.21%,94.12%,12.31%,21.77%
GB,Particion 4,5960,1987,3351ms,"[[1874, 5], [100, 8]]",94.72%,61.54%,7.41%,13.22%
GB,Total de datos,7947,2650,4390ms,"[[2475, 4], [153, 18]]",94.08%,81.82%,10.53%,18.65%
GNB,Particion 1,5961,1986,77ms,"[[761, 1105], [31, 89]]",42.80%,7.45%,74.17%,13.55%
GNB,Particion 2,5960,1987,76ms,"[[819, 1046], [37, 85]]",45.50%,7.52%,69.67%,13.57%
GNB,Particion 3,5960,1987,74ms,"[[757, 1100], [37, 93]]",42.78%,7.80%,71.54%,14.06%
GNB,Particion 4,5960,1987,62ms,"[[774, 1105], [27, 81]]",43.03%,6.83%,75.00%,12.52%
GNB,Total de datos,7947,2650,84ms,"[[846, 1633], [23, 148]]",37.51%,8.31%,86.55%,15.16%
KNN,Particion 1,5961,1986,152ms,"[[1864, 2], [105, 15]]",94.61%,88.24%,12.50%,21.90%
KNN,Particion 2,5960,1987,134ms,"[[1852, 13], [109, 13]]",93.86%,50.00%,10.66%,17.57%
KNN,Particion 3,5960,1987,139ms,"[[1847, 10], [111, 19]]",93.91%,65.52%,14.62%,23.90%
KNN,Particion 4,5960,1987,130ms,"[[1869, 10], [94, 14]]",94.77%,58.33%,12.96%,21.21%
KNN,Total de datos,7947,2650,233ms,"[[2463, 16], [143, 28]]",94.00%,63.64%,16.37%,26.05%
LR,Particion 1,5961,1986,262ms,"[[1865, 1], [114, 6]]",94.21%,85.71%,5.00%,9.45%
LR,Particion 2,5960,1987,249ms,"[[1864, 1], [120, 2]]",93.91%,66.67%,1.64%,3.20%
LR,Particion 3,5960,1987,209ms,"[[1856, 1], [120, 10]]",93.91%,90.91%,7.69%,14.18%
LR,Particion 4,5960,1987,168ms,"[[1875, 4], [105, 3]]",94.51%,42.86%,2.78%,5.22%
LR,Total de datos,7947,2650,296ms,"[[2479, 0], [164, 7]]",93.81%,100.00%,4.09%,7.87%
RF,Particion 1,5961,1986,1602ms,"[[1866, 0], [100, 20]]",94.96%,100.00%,16.67%,28.57%
RF,Particion 2,5960,1987,1808ms,"[[1865, 0], [105, 17]]",94.72%,100.00%,13.93%,24.46%
RF,Particion 3,5960,1987,1490ms,"[[1857, 0], [101, 29]]",94.92%,100.00%,22.31%,36.48%
RF,Particion 4,5960,1987,1661ms,"[[1878, 1], [90, 18]]",95.42%,94.74%,16.67%,28.35%
RF,Total de datos,7947,2650,2316ms,"[[2479, 0], [129, 42]]",95.13%,100.00%,24.56%,39.44%
SVM,Particion 1,5961,1986,4366ms,"[[1866, 0], [116, 4]]",94.16%,100.00%,3.33%,6.45%
SVM,Particion 2,5960,1987,4520ms,"[[1865, 0], [121, 1]]",93.91%,100.00%,0.82%,1.63%
SVM,Particion 3,5960,1987,3679ms,"[[1857, 0], [122, 8]]",93.86%,100.00%,6.15%,11.59%
SVM,Particion 4,5960,1987,4268ms,"[[1879, 0], [106, 2]]",94.67%,100.00%,1.85%,3.64%
SVM,Total de datos,7947,2650,6731ms,"[[2479, 0], [167, 4]]",93.70%,100.00%,2.34%,4.57%
