lastWorkArea,equivalence,count,equals
Relaciones Institucionales/Publicas,Relaciones Institucionales/Publicas,14,TRUE
Responsabilidad Social,Responsabilidad Social,9,TRUE
Salud,Salud,7,TRUE
Secretaria,Secretaria,7,TRUE
Seguridad E Higiene,Seguridad E Higiene,2,TRUE
Seguridad Industrial,Seguridad Industrial,8,TRUE
Seguridad Informatica,Seguridad Informatica,156,TRUE
Seguros,Seguros,21,TRUE
Seleccion,Seleccion,107,TRUE
Servicios,Servicios,20,TRUE
Sistemas,Sistemas,489,TRUE
Soporte Tecnico,Soporte Tecnico,202,TRUE
Tecnico De Seguros,Tecnico De Seguros,1,TRUE
Tecnologia / Sistemas,Tecnologia / Sistemas,1047,TRUE
Tecnologias De La Informacion,Tecnologias De La Informacion,1027,TRUE
Telecomunicaciones,Telecomunicaciones,119,TRUE
Telemarketing,Telemarketing,32,TRUE
Tesoreria,Tesoreria,8,TRUE
Testing / Qa / Qc,Testing / Qa / Qc,128,TRUE
Trabajo Social,Trabajo Social,74,TRUE
Transporte,Transporte,7,TRUE
Transporte De Pasajeros,Transporte De Pasajeros,11,TRUE
Turismo,Turismo,7,TRUE
Urbanismo,Urbanismo,1,TRUE
Venta De Seguros,Venta De Seguros,13,TRUE
Ventas,Ventas,267,TRUE
Ventas Internacionales/Exportacion,Ventas Internacionales/Exportacion,5,TRUE
Veterinaria,Veterinaria,1,TRUE
