jobProfileName,equivalence,count,equals
Ejecutivo(A) Comercial Ti,Ejecutivo Comercial,160,FALSE
Ejecutivo/A Comercial Ti,Ejecutivo Comercial,53,FALSE
Especialista .Net - Crm,Especialista .Net Jr.,13,FALSE
Especialista .Net - Sharepoint,Especialista .Net Jr.,28,FALSE
Especialista .Net Jr.,Especialista .Net Jr.,4,TRUE
Especialista Bi,Especialista Bi,121,TRUE
Especialista Cloud,Especialista Cloud,61,TRUE
Especialista Cloud Jr.,Especialista Cloud,49,FALSE
Especialista Cloud Junior,Especialista Cloud,7,FALSE
Especialista Cyberseguridad,Especialista Cyberseguridad,22,TRUE
Especialista De Seguridad De Aplicaciones,Especialista De Seguridad De Aplicaciones,16,TRUE
Especialista Desarrollador De Software,Especialista Desarrollador De Software,15,TRUE
Especialista Devops,Especialista Devops,40,TRUE
Especialista Devops Sr,Especialista Devops,3,FALSE
Especialista Dynamics 365,Especialista Dynamics 365,5,TRUE
Especialista Dynamics 365 Business Central,Especialista Dynamics 365,5,FALSE
Especialista Dynamics Crm 365,Especialista Dynamics 365,3,FALSE
Especialista Dynamics Gp - Business Central,Especialista Dynamics 365,2,FALSE
Especialista Electronico Iot,Especialista Electronico Iot,25,TRUE
Especialista En Analitica,Especialista En Analitica,65,TRUE
Especialista En Analitica - Ingeniero De Datos,Especialista En Analitica,85,FALSE
Especialista En Analitica Jr,Especialista En Analitica,59,FALSE
Especialista En Inteligencia Artificial,Especialista En Inteligencia Artificial,18,TRUE
Especialista En Office 365,Especialista En Office 365,16,TRUE
Especialista En Power Platform,Especialista En Power Platform,4,TRUE
Especialista En Project Server Y Project Online,Especialista En Project Server Y Project Online,28,TRUE
Especialista Office 365,Especialista En Office 365,87,FALSE
Especialista Office 365 - Sharepoint,Especialista En Office 365,13,FALSE
Especialista Power Bi,Especialista Power Bi,6,TRUE
Especialista Power Platform,Especialista En Power Platform,13,FALSE
Especialista Project Online,Especialista En Project Server Y Project Online,42,FALSE
Especialista Senior En Datos,Especialista Senior En Datos,6,TRUE
Especialista Sharepoint,Especialista Sharepoint,14,TRUE
Especialista Sharepoint Framework,Especialista Sharepoint,4,FALSE
Gerente De Linea - Modern Workplace,Gerente De Linea - Modern Workplace,14,TRUE
Gestor De Licenciamiento,Gestor De Licenciamiento,8,TRUE
Gestor De Servicios Cloud,Gestor De Servicios Cloud,15,TRUE
Gestor De Servicios Cloud (Junior),Gestor De Servicios Cloud,7,FALSE
Gestor De Servicios Cloud Jr.,Gestor De Servicios Cloud,25,FALSE
Gestor De Servicios De Ti,Gestor De Servicios De Ti,359,TRUE
Jefe De Proyecto - Analytics & Ai,Jefe De Proyecto - Analytics & Ai,294,TRUE
Jefe De Proyecto - Modern Workplace,Jefe De Proyecto - Modern Workplace,38,TRUE
Jefe De Proyecto Para El Area De Analytics & Ai,Jefe De Proyecto - Analytics & Ai,140,FALSE
Jefe De Proyecto Ti,Jefe De Proyecto - Modern Workplace,106,FALSE
Jefe De Proyectos - Analytics & Ai,Jefe De Proyecto - Analytics & Ai,152,FALSE
Jefe De Proyectos - Modern Workplace,Jefe De Proyecto - Modern Workplace,36,FALSE
Jefe De Proyectos Ti - Modern Workplace,Jefe De Proyecto - Modern Workplace,68,FALSE
Lider Tecnico,Lider Tecnico,148,TRUE
Lider Tecnico / Arquitecto Mobile,Lider Tecnico,13,FALSE
Lider Tecnico De Big Data,Lider Tecnico,10,FALSE
Operador De Sistemas,Operador De Sistemas,89,TRUE
Practicante De Infrastructure & Cloud,Practicante De Infrastructure & Cloud,279,TRUE
Practicante De Procesos,Practicante De Procesos,107,TRUE
Practicante De Recursos Humanos,Practicante De Recursos Humanos,962,TRUE
Practicante De Servicios Ti,Practicante De Servicios Ti,7,TRUE
Practicante Desarrollador .Net / Sharepoint,Practicante Desarrollador .Net / Sharepoint,19,TRUE
Practicante Iot/Ia,Practicante Iot/Ia,97,TRUE
Pre-Venta - Cloud Computing,Pre-Venta - Cloud Computing,30,TRUE
Programador .Net,Programador .Net,275,TRUE
Programador .Net Senior,Programador .Net,9,FALSE
Programador Frontend,Programador Frontend,30,TRUE
Programador Frontend Java,Programador Frontend,2,FALSE
Programador Java,Programador Java,31,TRUE
Programador Mobile,Programador Mobile,1,TRUE
Programador Oracle,Programador Oracle,18,TRUE
Qa Funcional - Aseguramiento De Calidad,Analista De Calidad,17,FALSE
Scrum Master,Scrum Master,78,TRUE
Senior Data Engineer,Data Engineer,4,FALSE
Software Engineer,Software Engineer,5,TRUE
Sql Server Consultant,Sql Server Consultant,71,TRUE
Technical Architect,Technical Architect,13,TRUE
