institucionUltimoEstudio,equivalencia,cantidad,igual
Camara Peruana De Comercio Exterior,Camara Peruana De Comercio Exterior,2,TRUE
Camara Peruana De Las Industrias,Camara Peruana De Las Industrias,1,TRUE
Camara Peruana De Sst,Camara Peruana De Sst,2,TRUE
Camarade Comercio Exterior,Camara Peruana De Comercio Exterior,2,FALSE
Cambridge International Consulting,Cambridge International Consulting,1,TRUE
Came,Came,1,TRUE
Camex,Camex,3,TRUE
Campus Innova Traning,Campus Innova Traning,1,TRUE
Campus Romero,Campus Virtual Romero,2,FALSE
Campus Virtual Romero,Campus Virtual Romero,3,TRUE
Campusmvp,Campusmvp,2,TRUE
Canvia,Canvia,1,TRUE
Capacity,Capacity Academy Mx,1,FALSE
Capacity Academy Mx,Capacity Academy Mx,5,TRUE
Cape Breton University,Cape Breton University,1,TRUE
Capedu,Capedu,1,TRUE
Carbono 14,Carbono 14,1,TRUE
Carnegie Mellon University (Pa),Carnegie Mellon University (Pa),1,TRUE
Catalina Buendia De Pecho,Catalina Buendia De Pecho,1,TRUE
Caterpillar Financial,Caterpillar Financial,1,TRUE
Catolica Sedes Sapientiae,Universidad Catolica Sedes Sapientiae,1,FALSE
Ccance,Ccance,2,TRUE
Ccbp - Centro Cultural Brasil - Peru,Ccbp - Centro Cultural Brasil - Peru,1,TRUE
Ccl - Educa Webinar,Ccl - Educa Webinar,1,TRUE
Ceadem,Ceadem,2,TRUE
Ceam,Ceam,1,TRUE
Cecitel - Especialistas En Capacitacion Telefonica,Cecitel - Especialistas En Capacitacion Telefonica,2,TRUE
Cedhinfo,Cedhinfo,5,TRUE
Ceglo,Ceglo,3,TRUE
Celeritech,Celeritech,3,TRUE
Cenap - Centro Nacional De Administracion Publica,Cenap - Centro Nacional De Administracion Publica,1,TRUE
Cenap - Peru,Cenap - Centro Nacional De Administracion Publica,1,FALSE
Centennial College,Centennial College,1,TRUE
Centre For Development In Advanced Computing,Centre For Development In Advanced Computing,2,TRUE
Centro,Centro,1,TRUE
Centro Cultural De La Lengua Portuguesa,Centro Cultural De La Lengua Portuguesa,1,TRUE
Centro Cultural De La Pontificia Universidad Catolica,Centro Cultural De La Pontificia Universidad Catolica,5,TRUE
Centro De Capacitacion - Gruporppsac,Centro De Capacitacion - Gruporppsac,6,TRUE
Centro De Capacitacion Empresarial - Ccl,Centro De Capacitacion Empresarial - Ccl,1,TRUE
Centro De Capacitacion Y Educacion Continua Fide,Centro De Capacitacion Y Educacion Continua Fide,1,TRUE
Centro De Educacion Continua Pucp,Centro De Educacion Continua Pucp,1,TRUE
Centro De Entrenamiento Tecnico De Logistica - Cetlog,Centro De Entrenamiento Tecnico De Logistica - Cetlog,1,TRUE
Centro De Estudios Cgi - Gestion E Innovacion,Cgi Gestion E Innovacion,1,FALSE
Centro De Estudios Empresariales,Centro De Estudios Empresariales,1,TRUE
Centro De Estudios Profesionales,Centro De Estudios Profesionales,1,TRUE
Centro De Extension Fiis Unmsm,Centro De Extension Fiis Unmsm,8,TRUE
Centro De Formacion Cice,Centro De Formacion Cice,6,TRUE
Centro De Formacion En Turismo - Cenfotur,Centro De Formacion En Turismo - Cenfotur,5,TRUE
Centro De Idiomas De La Universidad Del Pacifico,Centro De Idiomas De La Universidad Del Pacifico,6,TRUE
Centro De Idiomas De La Unv San Martin De Porres,Centro De Idiomas De La Unv San Martin De Porres,1,TRUE
Centro De Idiomas Eurocenter - Huacho,Centro De Idiomas Eurocenter - Huacho,1,TRUE
Centro De Idiomas Unajma,Centro De Idiomas Unajma,1,TRUE
Centro De Idiomas Usil - Cambridge,Centro De Idiomas Usil - Cambridge,1,TRUE
Centro De Instruccion Fotografica,Centro De Instruccion Fotografica,1,TRUE
Centro De Investigacion De Recursos Humanos (Cirh),Centro De Investigacion De Recursos Humanos (Cirh),1,TRUE
Centro De Sistemas Y Negocios,Centro De Sistemas Y Negocios,1,TRUE
Centro Gold Sap Partner,Centro Gold Sap Partner,3,TRUE
Centro Iberamericano De Capacitacion Profesional,Centro Iberamericano De Capacitacion Profesional,2,TRUE
Centro Peruano De Estudios Gubernamentales,Centro Peruano De Estudios Gubernamentales,1,TRUE
Centro Pre Universitario - Uni,Centro Pre Universitario - Uni,1,TRUE
Centro Sap,Centro Sap,1,TRUE
Centro Tecnologico Minero,Centro Tecnologico Minero,2,TRUE
Centro Universitario De Ciencias Economico Administrativas,Centro Universitario De Ciencias Economico Administrativas,1,TRUE
Centro-Partner Oficial De Sap En Peru,Centro-Partner Oficial De Sap En Peru,1,TRUE
Centrum,Centrum Pucp,21,FALSE
Centrum - Catolica,Centrum Pucp,1,FALSE
Centrum - Universidad Catolica,Centrum Pucp,1,FALSE
Centrum Business School,Centrum Pucp,2,FALSE
Centrum Catolica,Centrum Pucp,7,FALSE
Centrum Catolica Business School,Centrum Pucp,1,FALSE
Centrum Graduate Business School,Centrum Pucp,1,FALSE
Centrum Pontificia Universidad Catolica Del Peru,Centrum Pucp,2,FALSE
Centrum- Pontificia Universidad Catolica Del Peru,Centrum Pucp,1,FALSE
Centrum Pucp,Centrum Pucp,4,TRUE
Centrum- Universidad Catolica Del Peru,Centrum Pucp,1,FALSE
Ceo Academy,Ceo Academy,1,TRUE
Cepd,Cepd,1,TRUE
Cepea,"Instituto Superior Tecnologico ""Cepea""",2,FALSE
Cepeban - Centro Peruano De Estudios Bancarios,Cepeban - Centro Peruano De Estudios Bancarios,2,TRUE
Ceps - Uni,Ceps Uni,3,FALSE
Ceps Uni,Ceps Uni,2,TRUE
Ceps Uni - Centro De Extension Y Proyeccion...,Ceps Uni,1,FALSE
Ceps-Uni,Ceps Uni,1,FALSE
Cerem Business School,Cerem Business School,1,TRUE
Cerseu,Cerseu,1,TRUE
Certero,Certero Peru,8,FALSE
Certero Peru,Certero Peru,2,TRUE
Certi,Certi,2,TRUE
Certiport,Certiport,1,TRUE
Certiprof,Certiprof,45,TRUE
"Certiprof, Llc",Certiprof,1,FALSE
Certus,Instituto De Educacion Superior Privado Certus,8,FALSE
Cesap Altos Estudios,Cesap Altos Estudios,4,TRUE
Cesar Vallejo,Universidad Cesar Vallejo,1,FALSE
Cesca,Instituto De Educacion Superior Tecnologico Cesca,15,FALSE
Ceti,Ceti,1,TRUE
Cetpro Artesanal Santa Luzmila,Cetpro Artesanal Santa Luzmila,2,TRUE
Cetpro Peruano Canadiense,Cetpro Peruano Canadiense,1,TRUE
Cetrum Pucp,Centrum Pucp,1,FALSE
Ceujap,Ceujap,2,TRUE
Ceupe,Ceupe,1,TRUE
Cevatec,Cevatec,1,TRUE
Cevatur Peru,Cevatur Peru,1,TRUE
Cfa Institute,Cfa Institute,1,TRUE
Cgi,Cgi Gestion E Innovacion,1,FALSE
Cgi - Gestion Y Sistemas,Cgi Gestion E Innovacion,1,FALSE
Cgi Gestion E Innovacion,Cgi Gestion E Innovacion,2,TRUE
Cgi Peru,Cgi Gestion E Innovacion,1,FALSE
Chamonix Consultoria Y Proyectos Sac,Chamonix Consultoria Y Proyectos Sac,1,TRUE
Chio Lecca Instituto De Diseno De Moda,Chio Lecca Instituto De Diseno De Moda,1,TRUE
Cibertec,Instituto Cibertec,222,FALSE
Cicex,Cicex,1,TRUE
Ciesam-Uni,Ciesam-Uni,2,TRUE
Cimas,Instituto Superior Tecnologico Cimas,4,FALSE
Cip,Colegio De Ingenieros Del Peru,2,FALSE
"Cipsa, Centro De Estudios Informatica, Barcelona","Cipsa, Centro De Estudios Informatica, Barcelona",3,TRUE
Circulo Sistemico Emocional,Circulo Sistemico Emocional,1,TRUE
Cis - Sap Partner,Cis - Sap Partner,1,TRUE
Cisco,Cisco Networking Academy,3,FALSE
Cisco - Networking Academy,Cisco Networking Academy,2,FALSE
Cisco Netacad,Cisco Networking Academy,1,FALSE
Cisco Networking Academy,Cisco Networking Academy,4,TRUE
Cisco Systems,Cisco Networking Academy,1,FALSE
Cjava,Cjavaperu,4,FALSE
Cjavaperu,Cjavaperu,1,TRUE
Clinica De Agilidad,Clinica De Agilidad,1,TRUE
Clinica Ricardo Palma,Clinica Ricardo Palma,1,TRUE
Club De Teatro De Lima,Club De Teatro De Lima,1,TRUE
Codecademy,Codecademy,1,TRUE
Coder House,Coderhouse,2,FALSE
Coderhouse,Coderhouse,10,TRUE
Codigo Tecsup,Codigo Tecsup,1,TRUE
Cognos,Cognos,1,TRUE
Colectivo 23,Colectivo 23,1,TRUE
Colegiado Ing. En Sistemas,Colegio De Ingenieros Del Peru,1,FALSE
Colegio De Abogados Del Callao,Colegio De Abogados Del Callao,2,TRUE
Colegio De Arquitectos Del Peru,Colegio De Arquitectos Del Peru,1,TRUE
Colegio De Contadores De Piura,Colegio De Contadores De Piura,1,TRUE
Colegio De Economista De Ayacucho,Colegio De Economista De Ayacucho,1,TRUE
Colegio De Economistas De La Libertad,Colegio De Economistas De La Libertad,1,TRUE
Colegio De Ingeniero Del Peru,Colegio De Ingenieros Del Peru,1,FALSE
Colegio De Ingenieros Cd Lambayeque,Colegio De Ingenieros Del Peru,1,FALSE
Colegio De Ingenieros De Lima,Colegio De Ingenieros Del Peru,2,FALSE
