lastWorkCompany,equivalence,count,equals
Agencia De Medios Inoo,Agencia De Medios Inoo,1,TRUE
Agencia Digital Sinapsis,Agencia Digital Sinapsis,2,TRUE
Agencia Kunturi,Agencia Kunturi,1,TRUE
Agencia Lima Digital,Agencia Lima Digital,1,TRUE
Agencia Slinky S.Ac.,Agencia Slinky S.Ac.,2,TRUE
Agencias Ransa S.A,Agencias Ransa S.A,1,TRUE
Agia Tech,Agia Tech,1,TRUE
Agm Ingenieros S.R.L.,Agm Ingenieros S.R.L.,1,TRUE
Agn Ingenieros,Agn Ingenieros,1,TRUE
Agp,Agp Group,1,FALSE
Agp Group,Agp Group,1,TRUE
Agricola 2M Sac,Agricola 2M Sac,1,TRUE
Agricola Andrea,Agricola Andrea Sac,1,FALSE
Agricola Andrea Sac,Agricola Andrea Sac,1,TRUE
Agricola Las Llamozas Grupo Fe,Agricola Las Llamozas Grupo Fe,1,TRUE
Agro Ism Sac (Grupo Ananos),Agro Ism Sac (Grupo Ananos),1,TRUE
Agroaurora Sac,Agroaurora Sac,1,TRUE
Agroindustria Santa Maria Sac.,Agroindustria Santa Maria Sac.,1,TRUE
Agroindustrial Paramonga S.A.A.,Agroindustrial Paramonga S.A.A.,1,TRUE
Agroindutrias Aib,Agroindutrias Aib,1,TRUE
Agromigiva,Agromigiva,1,TRUE
Agronegocios Arq,Agronegocios Arq,1,TRUE
Agrovision,Agrovision Corp,1,FALSE
Agrovision Corp,Agrovision Corp,3,TRUE
Agua Niagara,Agua Niagara,1,TRUE
Aguilar Pajuelo Consulting,Aguilar Pajuelo Consulting,1,TRUE
Ahead Solutions S.A.C,Ahead Solutions S.A.C,1,TRUE
Ai Generation Xu,Ai Generation Xu,1,TRUE
Ai Inversiones Palo Alto Ii S.A.C.,Ai Inversiones Palo Alto Ii S.A.C.,1,TRUE
Ai Inversiones Palo Alto Ii S.A.C. (Canvia),Ai Inversiones Palo Alto Ii S.A.C.,1,FALSE
Ai Inversiones Palo Alto Ii Sac (Canvia),Ai Inversiones Palo Alto Ii S.A.C.,1,FALSE
Ai Inversiones Palo Santo,Ai Inversiones Palo Santo,2,TRUE
Aiesec,Aiesec Peru,5,FALSE
Aiesec Peru,Aiesec Peru,2,TRUE
Aimtalent,Aimtalent,1,TRUE
Airongroup S.A.C (Telefonica Del Peru),Airongroup S.A.C (Telefonica Del Peru),1,TRUE
Aje,Ajegroup,2,FALSE
Ajegroup,Ajegroup,2,TRUE
Ajemaya Sa - Ajegroup,Ajegroup,1,FALSE
Ajeper,Ajegroup,1,FALSE
Ajeper Del Oriente,Ajegroup,1,FALSE
Ajeper S.A,Ajegroup,1,FALSE
Ak Drilling International S.A,Ak Drilling International S.A,1,TRUE
Akemi C.A.,Akemi C.A.,1,TRUE
Al Inversiones Palo Alto Ll,Al Inversiones Palo Alto Ll,4,TRUE
Albatross,Albatross,1,TRUE
Ald Automotive,Ald Automotive,1,TRUE
Aldeas Infantiles Sos,Aldeas Infantiles Sos Peru,1,FALSE
Aldeas Infantiles Sos Peru,Aldeas Infantiles Sos Peru,2,TRUE
Alese Corp,Alese Corp,1,TRUE
Alestec,Alestec,1,TRUE
Alev,Alev,1,TRUE
Alfatec,Alfatec,1,TRUE
Alfin Banco,Alfin Banco,1,TRUE
Alfred H Knight,Alfred H Knight,1,TRUE
Algi International Inc.,Algi International Inc.,1,TRUE
Alia Servicios Del Hogar,Alia Servicios Del Hogar,1,TRUE
Alicorp,Alicorp S.A,17,FALSE
Alicorp S.A,Alicorp S.A,1,TRUE
Alicorp S.A.,Alicorp S.A,1,FALSE
Alicorp S.A.A,Alicorp S.A,1,FALSE
Alicorp S.A.A.,Alicorp S.A,1,FALSE
Alicorp Saa,Alicorp S.A,1,FALSE
Alignet,Alignet S.A.C.,1,FALSE
Alignet S.A.C.,Alignet S.A.C.,1,TRUE
Alignet Sac,Alignet S.A.C.,7,FALSE
Alimencorp Sac,Alimencorp Sac,1,TRUE
Alimentos Los Panas S.A.C,Alimentos Los Panas S.A.C.,1,FALSE
Alimentos Los Panas S.A.C.,Alimentos Los Panas S.A.C.,2,TRUE
Alinhtech,Alinhtech,1,TRUE
Alkofarma,Alkofarma,1,TRUE
Alliance Abroad Group - Kalahari Resorts,Alliance Abroad Group - Kalahari Resorts,1,TRUE
Allinbus,Allinbus,1,TRUE
Allinllam Kachkani,Allinllam Kachkani,1,TRUE
Alltelecom,Alltelecom,1,TRUE
Allus Spain S.L Sucursal Del Peru,Allus Spain S.L Sucursal Del Peru,1,TRUE
Almacenes Santa Clara,Almacenes Santa Clara S.A.,2,FALSE
