nombreUltimoEstudio,equivalencia,cantidad,igual
Curso Comunicacion Interna,Curso Comunicacion Interna,2,TRUE
Curso Conducente A La Obtencion Del Titulo,Curso Conducente A La Obtencion Del Titulo,1,TRUE
Curso Customer Experience,Curso Customer Experience,1,TRUE
Curso De Actualizacion Power Bi,Curso De Actualizacion Power Bi,1,TRUE
Curso De Android Studio,Curso De Android Studio,1,TRUE
Curso De Aws Fundamentals,Curso De Aws Fundamentals,2,TRUE
Curso De Branding Digital,Curso De Branding Digital,1,TRUE
Curso De Certificacion Ccna,Curso De Certificacion Ccna,1,TRUE
Curso De Certificacion Internacional De Scrum,Curso De Certificacion Internacional De Scrum,2,TRUE
Curso De Certificacion Internacional Scrum,Curso De Certificacion Internacional Scrum,1,TRUE
Curso De Certificacion Scrum Master Exin,Curso De Certificacion Scrum Master Exin,2,TRUE
Curso De Certificacion Ventas B2B,Curso De Certificacion Ventas B2B,1,TRUE
Curso De Contrataciones Del Estado,Curso De Contrataciones Del Estado,1,TRUE
Curso De Creacion De Video Juegos,Curso De Creacion De Video Juegos,1,TRUE
Curso De Especializacion De Reclutamiento,Curso De Especializacion De Reclutamiento,1,TRUE
Curso De Especializacion En Gestion De Proyectos D,Curso De Especializacion En Gestion De Proyectos D,2,TRUE
Curso De Especializacion En Gestion Del Talento,Curso De Especializacion En Gestion Del Talento,2,TRUE
Curso De Especializacion En Herramientas Ofimatica,Curso De Especializacion En Herramientas Ofimatica,1,TRUE
Curso De Especializacion En People Analytics,Curso De Especializacion En People Analytics,1,TRUE
Curso De Especializacion Gestion Del Talento,Curso De Especializacion Gestion Del Talento,1,TRUE
Curso De Especializacion: Power Bi Para La Gestion,Curso De Especializacion: Power Bi Para La Gestion,1,TRUE
Curso De Estrategias De Marketing Digital,Curso De Estrategias De Marketing Digital,1,TRUE
Curso De Estrategias Ux Para Empresas,Curso De Estrategias Ux Para Empresas,2,TRUE
Curso De Extension/ Itil(R) Foundation.,Curso De Extension/ Itil(R) Foundation.,2,TRUE
Curso De Facebook Ads,Curso De Facebook Ads,2,TRUE
Curso De Formacion De Auditores,Curso De Formacion De Auditores,1,TRUE
Curso De Formacion De Defensoria Del Nna,Curso De Formacion De Defensoria Del Nna,1,TRUE
Curso De Gerencia De Proyectos De Tecnologias,Curso De Gerencia De Proyectos De Tecnologias,2,TRUE
Curso De Gestion De Proyectos,Curso De Gestion De Proyectos,1,TRUE
Curso De Gestion De Proyectos Pmp,Curso De Gestion De Proyectos Pmp,6,TRUE
Curso De Gestion De Recursos Humanos 3.0,Curso De Gestion De Recursos Humanos 3.0,1,TRUE
Curso De Indicadores Comerciales Kpis,Curso De Indicadores Comerciales Kpis,1,TRUE
Curso De Ingenieria De Servicios,Curso De Ingenieria De Servicios,1,TRUE
Curso De Ingles,Curso De Ingles,1,TRUE
Curso De Itil V3 (It Infrastructure Library V3),Curso De Itil V3 (It Infrastructure Library V3),2,TRUE
Curso De Mercancia Peligrosa Iata,Curso De Mercancia Peligrosa Iata,1,TRUE
Curso De Metodologia De Ventas,Curso De Metodologia De Ventas,1,TRUE
Curso De Microsoft Powerbi,Curso De Microsoft Powerbi,1,TRUE
Curso De Office,Curso De Office,1,TRUE
Curso De Ofimatica Empresarial,Curso De Ofimatica Empresarial,1,TRUE
Curso De Oratoria,Curso De Oratoria,1,TRUE
Curso De Oratoria Y Liderazgo,Curso De Oratoria,1,FALSE
Curso De Pdn De Marketing,Curso De Pdn De Marketing,1,TRUE
Curso De Planeamiento Y Control De Obras,Curso De Planeamiento Y Control De Obras,1,TRUE
Curso De Power Bi,Curso De Power Bi,1,TRUE
Curso De Practicante De Rrhh,Curso De Practicante De Rrhh,1,TRUE
Curso De Preparacion Para El Examen De Certifica,Curso De Preparacion Para El Examen De Certifica,1,TRUE
Curso De Preparacion Para La Certificacion Pmp,Curso De Preparacion Para La Certificacion Pmp,1,TRUE
Curso De Programacion En Sistemas Uni,Curso De Programacion En Sistemas Uni,1,TRUE
Curso De Programador Java - Isil,Curso De Programador Java - Isil,1,TRUE
Curso De Redes,Curso De Redes,1,TRUE
Curso De Scrum,Curso De Scrum,1,TRUE
Curso De Seguridad De A Informacion,Curso De Seguridad De A Informacion,3,TRUE
Curso De Sistema Operativo Windows Y Office,Curso De Sistema Operativo Windows Y Office,1,TRUE
Curso De Soporte Tecnico Monitor Plus Acf,Curso De Soporte Tecnico Monitor Plus Acf,1,TRUE
Curso De Ux: Disenador De Experiencias,Curso De Ux: Disenador De Experiencias,1,TRUE
Curso De Ventas,Curso De Ventas,1,TRUE
Curso De Ventas Internacional,Curso De Ventas Internacional,2,TRUE
Curso Definitivo De Html Y Css,Curso Definitivo De Html Y Css,1,TRUE
Curso Design Thinking,Curso Design Thinking,1,TRUE
Curso Edex Business Intelligence,Curso Edex Business Intelligence,1,TRUE
Curso En Customer Service(Servicio Al Cliente),Curso En Customer Service(Servicio Al Cliente),1,TRUE
Curso En Linea De Power Bi Desktop,Curso En Linea De Power Bi Desktop,1,TRUE
Curso En Social Media Marketing,Curso En Social Media Marketing,1,TRUE
Curso Esp - Diseno De Infraestructura Deportiva,Curso Esp - Diseno De Infraestructura Deportiva,1,TRUE
Curso Especializacion,Curso Especializacion,1,TRUE
Curso Especializacion Rr.Ss. Y Rr.Cc.,Curso Especializacion Rr.Ss. Y Rr.Cc.,3,TRUE
Curso Especializado En Creditos Y Cobranzas,Curso Especializado En Creditos Y Cobranzas,2,TRUE
Curso Especializado En Marketing Intelligence,Curso Especializado En Marketing Intelligence,1,TRUE
Curso Especializado En Ux/Ui,Curso Especializado En Ux/Ui,2,TRUE
Curso Especializado Tramite Documentario Y Gest. D,Curso Especializado Tramite Documentario Y Gest. D,1,TRUE
Curso Excel,Curso Excel,1,TRUE
Curso Excel Intermedio Avanzado,Curso Excel Intermedio Avanzado,1,TRUE
Curso Front - End,Curso Front - End,1,TRUE
Curso Fundamentos De Hacking Etico(16 Horas),Curso Fundamentos De Hacking Etico(16 Horas),1,TRUE
Curso Gestion De Riesgos Y Coso,Curso Gestion De Riesgos Y Coso,1,TRUE
Curso Habilidades Blandas,Curso Habilidades Blandas,1,TRUE
Curso Integral En Contrataciones Publicas,Curso Integral En Contrataciones Publicas,1,TRUE
Curso Intensivo De Comercio Internacional,Curso Intensivo De Comercio Internacional,2,TRUE
Curso Internacional De Proteccion Swat,Curso Internacional De Proteccion Swat,1,TRUE
Curso Internet De Las Cosas Iot,Curso Internet De Las Cosas Iot,1,TRUE
Curso Itil,Curso Itil,1,TRUE
Curso Java Advanced Developer,Curso Java Advanced Developer,1,TRUE
Curso Key Account Manager,Curso Key Account Manager,1,TRUE
Curso Libre Sql Server Intermedio,Curso Libre Sql Server Intermedio,1,TRUE
Curso Marketing Digital,Curso Marketing Digital,1,TRUE
Curso Microsoft Business Intelligence,Curso Microsoft Business Intelligence,1,TRUE
Curso Oficial Consultor Sap Business One,Curso Oficial Consultor Sap Business One,1,TRUE
Curso Oficial De Scrum,Curso Oficial De Scrum,1,TRUE
Curso Oficial Pmp,Curso Oficial Pmp,2,TRUE
Curso Oficial Product Owner,Curso Oficial Product Owner,8,TRUE
Curso Online De Ventas,Curso Online De Ventas,1,TRUE
Curso Pee Gerencia De Ventas,Curso Pee Gerencia De Ventas,1,TRUE
Curso Power Bi,Curso Power Bi,1,TRUE
Curso Power Bi Basico,Curso Power Bi,1,FALSE
Curso Profesional De Php Con Laravel,Curso Profesional De Php Con Laravel,2,TRUE
Curso Programacion Android,Curso Programacion Android,1,TRUE
Curso Proyectos Sociales Comunitarios,Curso Proyectos Sociales Comunitarios,1,TRUE
Curso React Developer: Arquitectura Y Aplicaciones,Curso React Developer: Arquitectura Y Aplicaciones,1,TRUE
Curso Scrum Master,Curso Scrum Master,3,TRUE
Curso Seguridad De La Informacion,Curso Seguridad De La Informacion,1,TRUE
Curso Seleccion De Talento Humano,Curso Seleccion De Talento Humano,1,TRUE
Curso Sobre Kpi'S De Reclutamiento Y Seleccion,Curso Sobre Kpi'S De Reclutamiento Y Seleccion,1,TRUE
Curso Software De Planillas Placar,Curso Software De Planillas Placar,1,TRUE
Curso Springboot/Angular,Curso Springboot/Angular,1,TRUE
Curso Sql Server,Curso Sql Server,1,TRUE
Curso Superior De Estrategia Y Operaciones,Curso Superior De Estrategia Y Operaciones,1,TRUE
"Curso Taller ""Enterprise Linux Server""","Curso Taller ""Enterprise Linux Server""",1,TRUE
Curso Virtual Coordinador De Mesa,Curso Virtual Coordinador De Mesa,1,TRUE
Curso Visitador Medico,Curso Visitador Medico,1,TRUE
"Curso, Diseno Instruccional","Curso, Diseno Instruccional",1,TRUE
"Curso, Iniciacion Y Planificacion De Proyectos","Curso, Iniciacion Y Planificacion De Proyectos",1,TRUE
Curso: Excel Intermedio 2016,Curso: Excel Intermedio 2016,1,TRUE
Curso: Gestion De Marcas,Curso: Gestion De Marcas,1,TRUE
Curso: Legislacion Laboral,Curso: Legislacion Laboral,2,TRUE
Curso: Negociacion Para La Solucion De Conflictos,Curso: Negociacion Para La Solucion De Conflictos,2,TRUE
Curso: Plan De Marketing Digital,Curso: Plan De Marketing Digital,1,TRUE
Cursos Agil Scrum,Cursos Agil Scrum,2,TRUE
Cursos De Harvard - On Line,Cursos De Harvard - On Line,1,TRUE
Customer Centric Management,Customer Centric Management,1,TRUE
Customer Experience,Customer Experience,6,TRUE
Customer Experience - Cx Design And Management,Customer Experience - Cx Design And Management,1,TRUE
Customer Experience Design And Management(Cx),Customer Experience Design And Management(Cx),1,TRUE
Customer Intelligence,Customer Intelligence,1,TRUE
Customer Relationship Management,Customer Relationship Management,1,TRUE
Customer Success Manager Specialist.,Customer Success Manager Specialist.,1,TRUE
Cx - Customer Experience And Engagement,Cx - Customer Experience And Engagement,4,TRUE
Cyber Security Foundation,Cyber Security Foundation,1,TRUE
Cyber Security Incident Response,Cyber Security Incident Response,1,TRUE
Dart Con Flutter / Node Js / Unity,Dart Con Flutter / Node Js / Unity,1,TRUE
Data Analyst,Data Analyst,21,TRUE
Data Analytics,Data Analyst,2,FALSE
Data Analytics - Power Bi Excel 2019,Data Analyst,2,FALSE
Data Analytics &Amp; Big Data,Data Analyst,1,FALSE
Data Analytics Power Bi Cloud,Data Analyst,8,FALSE
Data Analytics Power Bi Cloud 2016,Data Analyst,1,FALSE
Data Base Administrator,Data Base Administrator,2,TRUE
Data Management E Innovacion Tecnologica,Data Management E Innovacion Tecnologica,2,TRUE
Data Science,Data Science,5,TRUE
Data Science (Professional Certificate Program),Data Science (Professional Certificate Program),2,TRUE
Data Science Essentials,Data Science Essentials,1,TRUE
Data Science For Business,Data Science For Business,1,TRUE
Data Science Fundamentals,Data Science Fundamentals,2,TRUE
Data Science Iii - Especialist,Data Science Iii - Especialist,1,TRUE
Data Science Para Negocios,Data Science Para Negocios,5,TRUE
Data Science Professional,Data Science Professional,1,TRUE
Database Administrator,Database Administrator,1,TRUE
Deep Learning,Deep Learning,2,TRUE
Deep Learning Specialization,Deep Learning Specialization,1,TRUE
Derecho,Derecho,13,TRUE
Derecho Administrativo,Derecho,1,FALSE
Derecho Y Ciencias Politicas,Derecho,8,FALSE
Desarrollador .Net,Desarrollador .Net,1,TRUE
Desarrollador Backend,Desarrollador Backend,1,TRUE
Desarrollador Cobol,Desarrollador Cobol,1,TRUE
Desarrollador De Aplicaciones Moviles.,Desarrollador De Aplicaciones Moviles.,2,TRUE
Desarrollador De Sistemas De Informacion,Desarrollador De Sistemas De Informacion,2,TRUE
Desarrollador De Software,Desarrollador De Software,4,TRUE
Desarrollador De Tecnologias De La Informacion,Desarrollador De Tecnologias De La Informacion,2,TRUE
Desarrollador De Videojuegos,Desarrollador De Videojuegos,1,TRUE
Desarrollador Full Stack,Desarrollador Full Stack,2,TRUE
Desarrollador Fullstack Web,Desarrollador Fullstack Web,1,TRUE
Desarrollador Net,Desarrollador Net,2,TRUE
Desarrollador Web Php Y Mysql,Desarrollador Web Php Y Mysql,1,TRUE
"Desarrollador Web, Html5, Css3, Jquery","Desarrollador Web, Html5, Css3, Jquery",1,TRUE
Desarrollo Aplicaciones Moviles Con Xamarin,Desarrollo Aplicaciones Moviles Con Xamarin,1,TRUE
Desarrollo Asp.Net Mvc,Desarrollo Asp.Net Mvc,1,TRUE
Desarrollo Backend Con Python,Desarrollo Backend Con Python,1,TRUE
Desarrollo Con Reactjs,Desarrollo Con Reactjs,1,TRUE
Desarrollo De Aplicaciones .Net Con C#,Desarrollo De Aplicaciones .Net Con C#,1,TRUE
Desarrollo De Aplicaciones Asp.Net En N-Capas,Desarrollo De Aplicaciones Asp.Net En N-Capas,1,TRUE
Desarrollo De Aplicaciones Con Angular,Desarrollo De Aplicaciones Con Angular,1,TRUE
Desarrollo De Aplicaciones Con Asp .Net,Desarrollo De Aplicaciones Con Asp .Net,2,TRUE
Desarrollo De Aplicaciones En Java Y Oracle,Desarrollo De Aplicaciones En Java Y Oracle,3,TRUE
Desarrollo De Aplicciones Hibridas,Desarrollo De Aplicciones Hibridas,1,TRUE
Desarrollo De Apps Moviles,Desarrollo De Apps Moviles,1,TRUE
Desarrollo De Productos Con Metodologia Lean,Desarrollo De Productos Con Metodologia Lean,1,TRUE
Desarrollo De Sisitemas,Desarrollo De Sisitemas,5,TRUE
Desarrollo De Sistema De Informacion,Desarrollo De Sistema De Informacion,1,TRUE
Desarrollo De Sistemas,Desarrollo De Sistemas,1,TRUE
Desarrollo De Sistemas Con Mencion En Proceso De A,Desarrollo De Sistemas Con Mencion En Proceso De A,1,TRUE
Desarrollo De Sistemas De Informacion,Desarrollo De Sistemas De Informacion,7,TRUE
Desarrollo De Sistemas Informaticos,Desarrollo De Sistemas Informaticos,1,TRUE
Desarrollo De Sitios Web Y Aplicaciones Moviles,Desarrollo De Sitios Web Y Aplicaciones Moviles,3,TRUE
Desarrollo De Software,Desarrollo De Software,15,TRUE
Desarrollo De Soluciones Web Asp.Net Ajax Mvc,Desarrollo De Soluciones Web Asp.Net Ajax Mvc,1,TRUE
Desarrollo De Tableros En Power Bi,Desarrollo De Tableros En Power Bi,1,TRUE
Desarrollo Full Stack,Desarrollo Full Stack,1,TRUE
Desarrollo Web,Desarrollo Web,5,TRUE
"Desarrollo Web Con Html5, Css3, C# - Asp.Net Mvc 5","Desarrollo Web Con Html5, Css3, C# - Asp.Net Mvc 5",1,TRUE
"Desarrollo Web Con Html5, Css3, Php Y Mysql","Desarrollo Web Con Html5, Css3, Php Y Mysql",1,TRUE
Desarrollo Y Despliegue De Soluciones Windows Y We,Desarrollo Y Despliegue De Soluciones Windows Y We,1,TRUE
Desarrollo. De Software,Desarrollo. De Software,1,TRUE
Design Think,Design Think,1,TRUE
Design Thinking,Design Thinking,10,TRUE
Design Thinking Bootcamp,Design Thinking,1,FALSE
Design Thinking Para La Innovacion Empresarial,Design Thinking,1,FALSE
Design Thinking Professional Certificate,Design Thinking,4,FALSE
Desing Thinking,Design Thinking,2,FALSE
Developer Backend,Developer Backend,1,TRUE
Devops,Devops,2,TRUE
"Devops Con Docker, Jenkins, Kubernetes Y Git","Devops Con Docker, Jenkins, Kubernetes Y Git",1,TRUE
Devops Culture Practitioner,Devops Culture Practitioner,2,TRUE
Devops Essentials Professional,Devops Essentials Professional,3,TRUE
Devops Foundation,Devops Foundation,2,TRUE
Devops Fundamentals Cm-Dofc,Devops Fundamentals Cm-Dofc,1,TRUE
Diagnostico Y Estructura Salarial,Diagnostico Y Estructura Salarial,1,TRUE
Digital Transformation,Digital Transformation,1,TRUE
Digital Transformation Digital Transformation,Digital Transformation Digital Transformation,1,TRUE
Dilomado En Microfinanzas,Dilomado En Microfinanzas,1,TRUE
Dimplomatura En Gestion De Procesos,Dimplomatura En Gestion De Procesos,1,TRUE
Diolomado Social Selling,Diolomado Social Selling,1,TRUE
Dip. De Analitica De Negocios Y Gest. De La Inf.,Dip. De Analitica De Negocios Y Gest. De La Inf.,2,TRUE
Diplimado En Gestion De Proyectos,Diplimado En Gestion De Proyectos,2,TRUE
Diploma,Diploma,2,TRUE
Diploma De Especializacion De Recursos Humanos,Diploma De Especializacion De Recursos Humanos,1,TRUE
Diploma De Gestion Del Talento Humano,Diploma De Gestion Del Talento Humano,1,TRUE
Diploma De Ingles,Diploma De Ingles,1,TRUE
Diploma En Business Intelligence,Diploma En Business Intelligence,1,TRUE
Diploma En Customer Experience Manager,Diploma En Customer Experience Manager,1,TRUE
Diploma En Gestion De Innovacion Tecnologica,Diploma En Gestion De Innovacion Tecnologica,1,TRUE
Diploma En Gestion De Recursos Humanos,Diploma En Gestion De Recursos Humanos,1,TRUE
Diploma En Gestion Organizacional,Diploma En Gestion Organizacional,2,TRUE
Diploma Especializado En Transformacion Digital,Diploma Especializado En Transformacion Digital,1,TRUE
Diploma In Advance Computing,Diploma In Advance Computing,2,TRUE
Diploma Internacional De Gestion Comercial,Diploma Internacional De Gestion Comercial,1,TRUE
Diploma Internacional En Gestion Comercial,Diploma Internacional En Gestion Comercial,1,TRUE
Diploma Internacional En Marketing,Diploma Internacional En Marketing,4,TRUE
Diploma Internacional Gerencia De Proyectos,Diploma Internacional Gerencia De Proyectos,2,TRUE
Diploma Taller De Itil,Diploma Taller De Itil,1,TRUE
Diplomado,Diplomado,9,TRUE
Diplomado - Direccion De Proyectos (Pmp/Pmi-Acp),Diplomado - Direccion De Proyectos (Pmp/Pmi-Acp),1,TRUE
Diplomado - Nuevos Modelos De Negocio,Diplomado - Nuevos Modelos De Negocio,3,TRUE
Diplomado Asistente Ejecutivo,Diplomado Asistente Ejecutivo,2,TRUE
Diplomado Certificacion Pmp,Diplomado Certificacion Pmp,1,TRUE
Diplomado Contabilidad Para No Contadores,Diplomado Contabilidad Para No Contadores,2,TRUE
Diplomado De Business Intelligence,Diplomado De Business Intelligence,4,TRUE
Diplomado De Coaching Y Ligerazgo,Diplomado De Coaching Y Ligerazgo,1,TRUE
Diplomado De Derecho Laboral,Diplomado De Derecho Laboral,1,TRUE
Diplomado De Espec. Supply Chain Management,Diplomado De Espec. Supply Chain Management,1,TRUE
Diplomado De Especializacion En Analitica,Diplomado De Especializacion En Analitica,2,TRUE
Diplomado De Especializacion En Lean Six Sigma,Diplomado De Especializacion En Lean Six Sigma,1,TRUE
Diplomado De Especializacion En Recursos Humanos,Diplomado De Especializacion En Recursos Humanos,1,TRUE
Diplomado De Finanzas,Diplomado De Finanzas,1,TRUE
Diplomado De Gerencia En Riesgos Y Seguros,Diplomado De Gerencia En Riesgos Y Seguros,1,TRUE
Diplomado De Gestion De Capital Humano,Diplomado De Gestion De Capital Humano,1,TRUE
Diplomado De Gestion De Exportaciones,Diplomado De Gestion De Exportaciones,1,TRUE
Diplomado De Gestion De Proyecto,Diplomado De Gestion De Proyecto,2,TRUE
Diplomado De Gestion De Proyectos,Diplomado De Gestion De Proyectos,1,TRUE
Diplomado De Gestion De Proyectos Enfoque Pmi,Diplomado De Gestion De Proyectos Enfoque Pmi,1,TRUE
Diplomado De Gestion Del Marketing,Diplomado De Gestion Del Marketing,1,TRUE
Diplomado De Gestion Del Talento Humano,Diplomado De Gestion Del Talento Humano,2,TRUE
Diplomado De Gestion Publica Y Contratacion...,Diplomado De Gestion Publica Y Contratacion...,1,TRUE
"Diplomado De Gestion, Mejora Y Rediseno De Proceso","Diplomado De Gestion, Mejora Y Rediseno De Proceso",1,TRUE
Diplomado De Habilidades Directivas,Diplomado De Habilidades Directivas,1,TRUE
Diplomado De Inteligencia De Negocios,Diplomado De Inteligencia De Negocios,1,TRUE
Diplomado De Legislacion Laboral,Diplomado De Legislacion Laboral,1,TRUE
Diplomado De Legislaciones Y Relaciones Laborales,Diplomado De Legislaciones Y Relaciones Laborales,1,TRUE
Diplomado De Marketing Digital,Diplomado De Marketing Digital,1,TRUE
Diplomado De Marketing Estrtegico,Diplomado De Marketing Estrtegico,1,TRUE
Diplomado De Operaciones Y Logistica.,Diplomado De Operaciones Y Logistica.,1,TRUE
Diplomado De Procesos Y Mejora Continua,Diplomado De Procesos Y Mejora Continua,2,TRUE
Diplomado De Publicidad Y Estrategias Digitales,Diplomado De Publicidad Y Estrategias Digitales,1,TRUE
Diplomado De Recuersos Humanos,Diplomado De Recuersos Humanos,1,TRUE
Diplomado De Recursos Humanos,Diplomado De Recursos Humanos,1,TRUE
Diplomado De Rrhh,Diplomado De Rrhh,1,TRUE
Diplomado De Seguridad Y Salud Ocupacional Y Medio,Diplomado De Seguridad Y Salud Ocupacional Y Medio,1,TRUE
Diplomado De Trabajo Social,Diplomado De Trabajo Social,2,TRUE
Diplomado De Tributacion,Diplomado De Tributacion,1,TRUE
Diplomado Direccion De Proyectos Pmi,Diplomado Direccion De Proyectos Pmi,1,TRUE
Diplomado En Access Control Y Assistance,Diplomado En Access Control Y Assistance,1,TRUE
Diplomado En Administracion Bancaria,Diplomado En Administracion Bancaria,1,TRUE
Diplomado En Administracion De Empresas,Diplomado En Administracion De Empresas,2,TRUE
Diplomado En Administracion De Negocios,Diplomado En Administracion De Negocios,2,TRUE
Diplomado En Administracion De Proyectos,Diplomado En Administracion De Proyectos,1,TRUE
Diplomado En Auditoria Informatica,Diplomado En Auditoria Informatica,2,TRUE
Diplomado En Auditoria Y Seguridad De Ti,Diplomado En Auditoria Y Seguridad De Ti,1,TRUE
Diplomado En Bi Y Bigdata,Diplomado En Bi Y Bigdata,1,TRUE
Diplomado En Big Data &Amp; Business Intelligence,Diplomado En Big Data &Amp; Business Intelligence,1,TRUE
Diplomado En Business Analytics,Diplomado En Business Analytics,2,TRUE
Diplomado En Business Intelligence,Diplomado En Business Intelligence,1,TRUE
Diplomado En Business Intelligence &Amp; Analytics,Diplomado En Business Intelligence,1,FALSE
Diplomado En Business Intelligence Y Big Data,Diplomado En Business Intelligence,1,FALSE
Diplomado En Business Process Management Con Bizag,Diplomado En Business Process Management Con Bizag,2,TRUE
Diplomado En Contrataciones Con El Estado,Diplomado En Contrataciones Con El Estado,1,TRUE
Diplomado En Contrataciones Del Estado,Diplomado En Contrataciones Del Estado,2,TRUE
Diplomado En Decisiones Estrategicas,Diplomado En Decisiones Estrategicas,4,TRUE
Diplomado En Direccion Avanzada De Proyectos,Diplomado En Direccion Avanzada De Proyectos,1,TRUE
Diplomado En Direccion De Proyectos,Diplomado En Gestion De Proyectos,9,FALSE
Diplomado En Direccion De Proyectos - Pmbok 5,Diplomado En Gestion De Proyectos,1,FALSE
Diplomado En Direccion De Proyectos - Pmp,Diplomado En Gestion De Proyectos,15,FALSE
Diplomado En Direccion De Proyectos (Pmbook V.5),Diplomado En Gestion De Proyectos,3,FALSE
Diplomado En Direccion Financiera,Diplomado En Direccion Financiera,1,TRUE
Diplomado En Direccion Y Gestion De Proyectos,Diplomado En Gestion De Proyectos,1,FALSE
Diplomado En Direccion Y Gestion De Ventas,Diplomado En Direccion Y Gestion De Ventas,3,TRUE
Diplomado En Ensenanza De Espanol Como Le,Diplomado En Ensenanza De Espanol Como Le,1,TRUE
Diplomado En Especializacion En Rrhh,Diplomado En Especializacion En Rrhh,2,TRUE
Diplomado En Estadistica,Diplomado En Estadistica,2,TRUE
"Diplomado En Estrategia, Liderazgo Y Direccion","Diplomado En Estrategia, Liderazgo Y Direccion",1,TRUE
Diplomado En Evaluacion De Proyectos De Inversion,Diplomado En Evaluacion De Proyectos De Inversion,1,TRUE
Diplomado En Financial Technology (Fintech),Diplomado En Financial Technology (Fintech),1,TRUE
Diplomado En Finanzas,Diplomado En Finanzas,8,TRUE
Diplomado En G. Seguridad Y Salud Ocupacional,Diplomado En G. Seguridad Y Salud Ocupacional,2,TRUE
Diplomado En Gerencia De Gestion Administ,Diplomado En Gerencia De Gestion Administ,1,TRUE
Diplomado En Gerencia De Operaciones Y Logistica,Diplomado En Gerencia De Operaciones Y Logistica,1,TRUE
Diplomado En Gerencia De Proyectos,Diplomado En Gerencia De Proyectos,9,TRUE
Diplomado En Gerencia De Proyectos De Ti,Diplomado En Gerencia De Proyectos De Ti,1,TRUE
Diplomado En Gerencia De Proyectos Y Calidad,Diplomado En Gerencia De Proyectos Y Calidad,1,TRUE
Diplomado En Gerencia De Proyectos.,Diplomado En Gerencia De Proyectos.,9,TRUE
Diplomado En Gerencia De Riesgos Y Seguros,Diplomado En Gerencia De Riesgos Y Seguros,2,TRUE
Diplomado En Gerencia De Rr.Hh.,Diplomado En Gerencia De Rr.Hh.,1,TRUE
Diplomado En Gerencia De Ventas,Diplomado En Gerencia De Ventas,1,TRUE
Diplomado En Gerencia Social Y Proyectos Sociales,Diplomado En Gerencia Social Y Proyectos Sociales,1,TRUE
Diplomado En Gerencia Y Administracion,Diplomado En Gerencia Y Administracion,4,TRUE
Diplomado En Gerencia Y Gestion De Proyectos,Diplomado En Gerencia Y Gestion De Proyectos,5,TRUE
Diplomado En Gestion Administrativa,Diplomado En Gestion Administrativa,1,TRUE
Diplomado En Gestion Avanzada De Procesos,Diplomado En Gestion Avanzada De Procesos,1,TRUE
Diplomado En Gestion Comercial,Diplomado En Gestion Comercial,2,TRUE
Diplomado En Gestion Comercial Y Ventas,Diplomado En Gestion Comercial Y Ventas,1,TRUE
Diplomado En Gestion De Capital Humano,Diplomado En Gestion De Capital Humano,1,TRUE
Diplomado En Gestion De La Innovacion,Diplomado En Gestion De La Innovacion,1,TRUE
Diplomado En Gestion De Logistica Internacional,Diplomado En Gestion De Logistica Internacional,1,TRUE
Diplomado En Gestion De Logistica Y Operaciones,Diplomado En Gestion De Logistica Y Operaciones,2,TRUE
Diplomado En Gestion De Negocios Internacionales,Diplomado En Gestion De Negocios Internacionales,1,TRUE
Diplomado En Gestion De Operaciones,Diplomado En Gestion De Operaciones,1,TRUE
Diplomado En Gestion De Procesos Y Mejora Continua,Diplomado En Gestion De Procesos Y Mejora Continua,2,TRUE
Diplomado En Gestion De Proyectos,Diplomado En Gestion De Proyectos,17,TRUE
Diplomado En Gestion De Proyectos Bajo Estandares,Diplomado En Gestion De Proyectos,1,FALSE
Diplomado En Gestion De Proyectos Pmi,Diplomado En Gestion De Proyectos,4,FALSE
Diplomado En Gestion De Recursos Humanos,Diplomado En Gestion De Recursos Humanos,3,TRUE
Diplomado En Gestion De Riesgos Iso 31000,Diplomado En Gestion De Riesgos Iso 31000,2,TRUE
Diplomado En Gestion De Rrhh,Diplomado En Gestion De Rrhh,2,TRUE
Diplomado En Gestion De Seguridad Y Marco Leg,Diplomado En Gestion De Seguridad Y Marco Leg,1,TRUE
Diplomado En Gestion De Talento Humano,Diplomado En Gestion De Talento Humano,2,TRUE
Diplomado En Gestion De Ventas Y Marketing,Diplomado En Gestion De Ventas Y Marketing,1,TRUE
Diplomado En Gestion Del Capital Humano,Diplomado En Gestion Del Capital Humano,1,TRUE
Diplomado En Gestion Del Comercio Internacional,Diplomado En Gestion Del Comercio Internacional,1,TRUE
Diplomado En Gestion Del Talento Humano,Diplomado En Gestion Del Talento Humano,1,TRUE
Diplomado En Gestion E Innovacion,Diplomado En Gestion E Innovacion,1,TRUE
Diplomado En Gestion En El Talento Humano,Diplomado En Gestion En El Talento Humano,2,TRUE
Diplomado En Gestion Financiera,Diplomado En Gestion Financiera,1,TRUE
Diplomado En Gestion Publica,Diplomado En Gestion Publica,1,TRUE
Diplomado En Gestion Publico,Diplomado En Gestion Publico,1,TRUE
Diplomado En Gestion Y Comercio Internacional,Diplomado En Gestion Y Comercio Internacional,2,TRUE
Diplomado En Gestion Y Direccion Comercial.,Diplomado En Gestion Y Direccion Comercial.,1,TRUE
Diplomado En Gestion Y Direccion De Proyectos,Diplomado En Gestion Y Direccion De Proyectos,1,TRUE
Diplomado En Gobierno De Las Tic'S,Diplomado En Gobierno De Las Tic'S,1,TRUE
Diplomado En Importacion Y Marketing Digital,Diplomado En Importacion Y Marketing Digital,2,TRUE
