nombreUltimoEstudio,equivalencia,cantidad,igual
Administracion En Informatica,Administracion En Informatica,1,TRUE
Administracion En Negocios Internacionales,Administracion En Negocios Internacionales,2,TRUE
Administracion En Salud,Administracion En Salud,4,TRUE
Administracion En Turismo Y Hoteleria,Administracion En Turismo Y Hoteleria,2,TRUE
Administracion Estrategica De Empresas,Administracion Estrategica De Empresas,1,TRUE
Administracion Estrategica De Empresas (Mba),Administracion Estrategica De Empresas (Mba),1,TRUE
Administracion Estrategica De Negocios,Administracion Estrategica De Negocios,1,TRUE
Administracion Hotelera,Administracion Hotelera,5,TRUE
Administracion Industrial,Administracion Industrial,11,TRUE
Administracion Maritima Y Portuaria,Administracion Maritima Y Portuaria,1,TRUE
Administracion Mencion Banca Y Seguros,Administracion Mencion Banca Y Seguros,1,TRUE
Administracion Mencion Recursos Humanos,Administracion Mencion Recursos Humanos,1,TRUE
Administracion Negocios Internacionales,Administracion Negocios Internacionales,3,TRUE
Administracion Turistica,Administracion Turistica,1,TRUE
Administracion Y Agronegocios,Administracion Y Agronegocios,1,TRUE
Administracion Y Direccion De Empresa,Administracion Y Direccion De Empresa,2,TRUE
Administracion Y Direccion De Empresas,Administracion Y Direccion De Empresas,2,TRUE
Administracion Y Direccion De Empresas.,Administracion Y Direccion De Empresas.,2,TRUE
Administracion Y Direccion De Negocios,Administracion Y Direccion De Negocios,2,TRUE
Administracion Y Direccion De Proyectos,Administracion Y Direccion De Proyectos,2,TRUE
Administracion Y Emprendimiento,Administracion Y Emprendimiento,1,TRUE
Administracion Y Evaluacion De Proyectos,Administracion Y Evaluacion De Proyectos,1,TRUE
Administracion Y Finanzas,Administracion Y Finanzas,12,TRUE
Administracion Y Gerencia,Administracion Y Gerencia,14,TRUE
Administracion Y Gerencia De Emprendimiento,Administracion Y Gerencia,1,FALSE
Administracion Y Gerencia Del Emprendimiento,Administracion Y Gerencia,2,FALSE
Administracion Y Gerencia Empresarial,Administracion Y Gerencia,3,FALSE
Administracion Y Gestion Comercial,Administracion Y Gestion Comercial,4,TRUE
Administracion Y Gestion De Empresas,Administracion Y Gestion De Empresas,1,TRUE
Administracion Y Gestion De Empresas ( Bachiller),Administracion Y Gestion De Empresas ( Bachiller),1,TRUE
Administracion Y Gestion Del Talento Humano,Administracion Y Gestion Del Talento Humano,5,TRUE
Administracion Y Gestion Empresarial,Administracion Y Gestion Empresarial,1,TRUE
Administracion Y Marketing,Administracion Y Marketing,37,TRUE
Administracion Y Negocios,Administracion De Negocios,1,FALSE
Administracion Y Negocios Int.,Administracion Y Negocios Internacionales,1,FALSE
