algoritmo,particion,estrategiaValidacion,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,matrizConfusion,exactitud,precision,sensibilidad,robustez,promedioMetricas,tiempoTotal,tiempoPromedio
Bosque aleatorio,Partición 1,K iteraciones estratificadas,9655,2414,0.2,"[[2012, 0], [8, 394]]",99.67%,100.00%,98.01%,98.99%,99.17%,3.88022s,0.00032s
Bosque aleatorio,Partición 2,K iteraciones estratificadas,9655,2414,0.2,"[[2012, 0], [9, 393]]",99.63%,100.00%,97.76%,98.87%,99.06%,3.70421s,0.00031s
Bosque aleatorio,Partición 3,K iteraciones estratificadas,9655,2414,0.2,"[[2012, 0], [10, 392]]",99.59%,100.00%,97.51%,98.74%,98.96%,3.79981s,0.00031s
Bosque aleatorio,Partición 4,K iteraciones estratificadas,9655,2414,0.2,"[[2011, 0], [13, 390]]",99.46%,100.00%,96.77%,98.36%,98.65%,3.84537s,0.00032s
Bosque aleatorio,Partición 5,K iteraciones estratificadas,9656,2413,0.2,"[[2011, 0], [15, 387]]",99.38%,100.00%,96.27%,98.10%,98.44%,4.04418s,0.00034s
