sigla,algoritmo,tecnica,iteracion,particion,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,matrizConfusion,exactitud,precision,sensibilidad,robustez,tiempoEntrenamientoModelo,tiempoGeneracionReporte,promedioMetricas
RF,Bosque aleatorio,Ninguna,Iteración 1,Total de datos,9429,3143,0.25,"[[2543, 0], [12, 588]]",0.9962,1.0000,0.9800,0.9899,4.0161,1.2552,0.9915
RF,Bosque aleatorio,Ninguna,Iteración 2,Total de datos,9429,3143,0.25,"[[2527, 0], [14, 602]]",0.9955,1.0000,0.9773,0.9885,4.0409,1.2443,0.9903
RF,Bosque aleatorio,Ninguna,Iteración 3,Total de datos,9429,3143,0.25,"[[2520, 0], [11, 612]]",0.9965,1.0000,0.9823,0.9911,4.0669,1.2461,0.9925
RF,Bosque aleatorio,Ninguna,Iteración 4,Total de datos,9429,3143,0.25,"[[2506, 0], [10, 627]]",0.9968,1.0000,0.9843,0.9921,4.1160,1.2459,0.9933
RF,Bosque aleatorio,Ninguna,Iteración 5,Total de datos,9429,3143,0.25,"[[2515, 0], [11, 617]]",0.9965,1.0000,0.9825,0.9912,4.0565,1.2475,0.9925
RF,Bosque aleatorio,Ninguna,Iteración 6,Total de datos,9429,3143,0.25,"[[2487, 0], [7, 649]]",0.9978,1.0000,0.9893,0.9946,4.3078,1.3974,0.9954
RF,Bosque aleatorio,Ninguna,Iteración 7,Total de datos,9429,3143,0.25,"[[2522, 0], [8, 613]]",0.9975,1.0000,0.9871,0.9935,4.0877,1.2470,0.9945
RF,Bosque aleatorio,Ninguna,Iteración 8,Total de datos,9429,3143,0.25,"[[2528, 0], [3, 612]]",0.9990,1.0000,0.9951,0.9976,4.2172,1.3065,0.9979
GBM,Aumento de gradiente,Ninguna,Iteración 1,Total de datos,9429,3143,0.25,"[[2538, 5], [417, 183]]",0.8657,0.9734,0.3050,0.4645,17.3124,1.2542,0.6522
GBM,Aumento de gradiente,Ninguna,Iteración 2,Total de datos,9429,3143,0.25,"[[2521, 6], [424, 192]]",0.8632,0.9697,0.3117,0.4717,16.9041,1.2577,0.6541
GBM,Aumento de gradiente,Ninguna,Iteración 3,Total de datos,9429,3143,0.25,"[[2513, 7], [429, 194]]",0.8613,0.9652,0.3114,0.4709,16.7507,1.2520,0.6522
GBM,Aumento de gradiente,Ninguna,Iteración 4,Total de datos,9429,3143,0.25,"[[2501, 5], [420, 217]]",0.8648,0.9775,0.3407,0.5052,16.9038,1.2662,0.6720
GBM,Aumento de gradiente,Ninguna,Iteración 5,Total de datos,9429,3143,0.25,"[[2497, 18], [449, 179]]",0.8514,0.9086,0.2850,0.4339,16.7608,1.2461,0.6198
GBM,Aumento de gradiente,Ninguna,Iteración 6,Total de datos,9429,3143,0.25,"[[2480, 7], [439, 217]]",0.8581,0.9688,0.3308,0.4932,16.7618,1.2470,0.6627
GBM,Aumento de gradiente,Ninguna,Iteración 7,Total de datos,9429,3143,0.25,"[[2514, 8], [431, 190]]",0.8603,0.9596,0.3060,0.4640,16.8185,1.2925,0.6475
GBM,Aumento de gradiente,Ninguna,Iteración 8,Total de datos,9429,3143,0.25,"[[2523, 5], [402, 213]]",0.8705,0.9771,0.3463,0.5114,16.7755,1.2758,0.6763
