sigla,algoritmo,iteración,particion,tecnicaValidacion,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,matrizConfusion,exactitud,precision,sensibilidad,robustez,tiempoPromedio,promedioMetricas
KP,Bosque aleatorio,Iteración 3,Partición 2,K pliegues,9052,3017,0.2,"[[2480, 0], [17, 520]]",0.9944,1.0000,0.9683,0.9839,0.3073,0.9867
KP,Bosque aleatorio,Iteración 3,Partición 3,K pliegues,9052,3017,0.2,"[[2506, 0], [18, 493]]",0.9940,1.0000,0.9648,0.9821,0.3014,0.9852
KP,Bosque aleatorio,Iteración 3,Partición 4,K pliegues,9052,3017,0.2,"[[2543, 0], [16, 458]]",0.9947,1.0000,0.9662,0.9828,0.3079,0.9859
KPE,Bosque aleatorio,Iteración 3,Partición 1,K pliegues estratificados,9051,3018,0.2,"[[2515, 0], [22, 481]]",0.9927,1.0000,0.9563,0.9776,0.3018,0.9817
KPE,Bosque aleatorio,Iteración 3,Partición 2,K pliegues estratificados,9052,3017,0.2,"[[2515, 0], [10, 492]]",0.9967,1.0000,0.9801,0.9899,0.3031,0.9917
KPE,Bosque aleatorio,Iteración 3,Partición 3,K pliegues estratificados,9052,3017,0.2,"[[2514, 0], [12, 491]]",0.9960,1.0000,0.9761,0.9879,0.3111,0.9900
KPE,Bosque aleatorio,Iteración 3,Partición 4,K pliegues estratificados,9052,3017,0.2,"[[2514, 0], [23, 480]]",0.9924,1.0000,0.9543,0.9766,0.3058,0.9808
DA,Bosque aleatorio,Iteración 3,Partición 1,División aleatoria,9051,3018,0.2,"[[2529, 0], [15, 474]]",0.9950,1.0000,0.9693,0.9844,0.3112,0.9872
DA,Bosque aleatorio,Iteración 3,Partición 2,División aleatoria,9051,3018,0.2,"[[2516, 0], [18, 484]]",0.9940,1.0000,0.9641,0.9817,0.2987,0.9850
DA,Bosque aleatorio,Iteración 3,Partición 3,División aleatoria,9051,3018,0.2,"[[2529, 0], [18, 471]]",0.9940,1.0000,0.9632,0.9812,0.3073,0.9846
DA,Bosque aleatorio,Iteración 3,Partición 4,División aleatoria,9051,3018,0.2,"[[2514, 0], [15, 489]]",0.9950,1.0000,0.9702,0.9849,0.3107,0.9875
DAE,Bosque aleatorio,Iteración 3,Partición 1,División aleatoria estratificada,9051,3018,0.2,"[[2515, 0], [11, 492]]",0.9964,1.0000,0.9781,0.9889,0.2944,0.9909
DAE,Bosque aleatorio,Iteración 3,Partición 2,División aleatoria estratificada,9051,3018,0.2,"[[2515, 0], [17, 486]]",0.9944,1.0000,0.9662,0.9828,0.3081,0.9858
DAE,Bosque aleatorio,Iteración 3,Partición 3,División aleatoria estratificada,9051,3018,0.2,"[[2515, 0], [19, 484]]",0.9937,1.0000,0.9622,0.9807,0.3024,0.9842
DAE,Bosque aleatorio,Iteración 3,Partición 4,División aleatoria estratificada,9051,3018,0.2,"[[2515, 0], [18, 485]]",0.9940,1.0000,0.9642,0.9818,0.3080,0.9850
