lastWorkPosition,equivalence,count,equals
Analista / Programador,Analista / Programador,1,TRUE
Analista Academico-Administrativo,Analista Academico-Administrativo,1,TRUE
Analista Administrativa Y De Gestion Humana,Analista Administrativa Y De Gestion Humana,1,TRUE
Analista Administrativo,Analista Administrativo,4,TRUE
Analista Analytics De Riesgos Y Cobranzas,Analista Analytics De Riesgos Y Cobranzas,1,TRUE
Analista As400,Analista As400,3,TRUE
Analista Backend Java,Analista Backend Java,2,TRUE
Analista Backend Outsystems,Analista Backend Outsystems,1,TRUE
Analista Base De Datos,Analista Base De Datos,1,TRUE
Analista Bi,Analista Bi,19,TRUE
Analista Bi - Datawarehouse,Analista Bi,1,FALSE
Analista Bi Y Planeamiento Comercial,Analista Bi,1,FALSE
Analista Bienestar Social-Suplencia Por Maternidad,Analista Bienestar Social-Suplencia Por Maternidad,1,TRUE
Analista Business Intelligence,Analista Business Intelligence,10,TRUE
Analista Cientifico De Datos,Analista Cientifico De Datos,2,TRUE
Analista Code Control - Tester As400,Analista Code Control - Tester As400,1,TRUE
Analista Comercial,Analista Comercial,11,TRUE
Analista Comercial De Proyectos,Analista Comercial,1,FALSE
Analista Comercial Senior,Analista Comercial,1,FALSE
Analista Consultor Mobile,Analista Consultor Mobile,1,TRUE
Analista Contable,Analista Contable,2,TRUE
Analista Control De Procesos Bancarios,Analista Control De Procesos Bancarios,1,TRUE
Analista Crm Y Estrategias Dirigidas,Analista Crm Y Estrategias Dirigidas,2,TRUE
Analista Datawarehouse,Analista Datawarehouse,1,TRUE
Analista De Acreditacion,Analista De Acreditacion,1,TRUE
Analista De Administracion Y Cobranza,Analista De Administracion Y Cobranza,1,TRUE
"Analista De Administracion, Finanzas Y Operaciones","Analista De Administracion, Finanzas Y Operaciones",1,TRUE
Analista De Alertas Tempranas,Analista De Alertas Tempranas,2,TRUE
Analista De Analitica Y Experiencia Del Servicio,Analista De Analitica Y Experiencia Del Servicio,2,TRUE
Analista De Aplicaciones,Analista De Aplicaciones,3,TRUE
Analista De Aplicaciones De Ti,Analista De Aplicaciones De Ti,1,TRUE
Analista De Aplicaciones Del Negocio,Analista De Aplicaciones Del Negocio,1,TRUE
Analista De Aplicaciones Senior,Analista De Aplicaciones Senior,1,TRUE
Analista De Aplicaciones Ti,Analista De Aplicaciones Ti,1,TRUE
