lastWorkCenter,relatedToSoftwareDev,count
Senati,,4
Servicio De Administracion Tributaria - Sat,,4
Sigcomt - Compartamos Financieras,,4
Superintendencia Nacional De Migraciones,No,4
Teamsoft,Si,4
Tecnologia Textil S.A.,,4
Telefonica Ingenieria De Seguridad - Tis,,4
Tivit - Synapsis Peru,,4
Unidad Ejecutora 005:Ventanilla Unica De Mincetur,,4
Universidad Peruana De Ciencias Aplicadas (Upc),,4
Unmsm,,4
Upn,,4
Utp,No,4
Zoluxiones Sac,,4
Accenture Peru,,3
Adecco Peru,,3
America Movil Peru Sac,,3
Ascensores Gsf S.A.C - Kone,,3
Asesores -E,,3
Asesores-E,,3
Aws Amazon Web Service Dealer Morris &Amp; Opazzo,,3
Azteca Comunicaciones Peru S.A.C,,3
Banco De Credito,,3
Banco De La Nacion,No,3
Banco Falabella Peru,,3
Banco Interbank,,3
Bcts Consulting,,3
Belcorp,,3
Bitel,,3
Blueit,,3
Board S.A.C,,3
Buro Principal Partners Sac,,3
Business Analytics,,3
Caja Cencosud Scotiabank,,3
Caja Municipal De Ahorro Y Credito De Ica,,3
Caja Prymera,,3
Canvia S.A.C.,,3
Capacitate365,,3
Cartones Del Pacifico,,3
Casa Andina,,3
Centria - Csc Grupo Breca,,3
Cibernos Peru Sac,,3
Cimacom,,3
Cineplanet,,3
Cinte-Ibm-Banco De Credito,,3
Clinica Ricardo Palma,,3
Clinica Stella Maris,,3
Colegio De Ingenieros - Cdll,,3
Colegio Peruano Norteamericano Abraham Lincoln,,3
Compania Minera Milpo Saa,,3
Consis International,,3
Consultor Independiente,0,3
Consultora Abogados Villanueva,,3
Cooperativa De Ah. Y Cred. 29 De Agosto De La Pnp,,3
Corporacion Jeruth,,3
Corporacion Meier,,3
Corporacion Usil,,3
Cosapi S.A,,3
Crac Raiz Saa,,3
Credinka,,3
Crosland,,3
Didi,,3
Direccion De Redes Integradas De Salud Lima Sur,,3
Direccion Regional De Educacion Lima Provincia,,3
Divemotor,,3
Domiruth Travel Service Sac,,3
Dxc Technology,,3
E2E Solutions,,3
Efitec,Si,3
Electro Tocache,,3
Enaco S.A. - Corporacion Fonafe,,3
Enotria Sac,,3
Experis - Manpowergroup,,3
Experis Manpower Group,,3
Experis -Manpower Group,,3
Expertia Travel,,3
Ey,,3
Ferreycorp S.A,,3
Ferreyros S.A.,No,3
Financiera Efectiva S.A.,,3
Freelancer,Si,3
G4S,,3
Global Tpa,,3
Grana Y Montero Petrolera,,3
Grupo Briser Peru,,3
Grupo Electrodata S.A.C.,,3
Grupo Palmas,,3
Grupo Salinas -,,3
Grupo San Pablo,,3
Gss,,3
Gym S.A. - Grupo Grana Y Montero,,3
Hellozum,,3
Hitss Peru,,3
Hundred - Gfi (Quimica Suiza),,3
Hundred (Belcorp),,3
"I.E. Ndeg 22449 ""Andres Avelino Caceres""",,3
Iberotex Sac Zara,,3
Idat,No,3
Indra Peru S.A.,,3
Industrias Alimentarias,,3
Inetum Peru,,3
Infinia Operador Logistico S.A. Hansa Aduanas S.A.,,3
Informatica Delta,,3
It Data,,3
It Data Consulting,,3
Italtel Peru,,3
Itera Process,,3
Jardines De La Paz,,3
Jlr Analytics Sac,,3
Konecta,Si,3
Levapan Del Peru Sac,,3
Lfs Corp,,3
Limatours,,3
Luz Del Sur,No,3
Manpower Peru,,3
Manpowergroup - Experis,,3
Mapfre,No,3
Mdp Consulting / Southern Cooper Peru - Proyecto,,3
Mexichem Peru,,3
Ministerio De Produccion - Programa Innovate Peru,,3
Ministerio Publico,,3
Ministry Of Foreign Trade And Tourism,,3
Modo Beta,,3
Ntt Data Peru S.A.C.,,3
Nttdata Peru,,3
Nuovo Profil,,3
Ofisis,Si,3
Open World Latino America,,3
Osinergmin,,3
Page Consulting,,3
Panacea,,3
Peru Hop,,3
Peruana De Moldeados S.A.,,3
Plus Servicios Comerciales Peru,,3
Poderosa,,3
Policia Nacional Del Peru Dirandro,,3
Prosegur,No,3
Provias,,3
Quanta Services Peru,,3
Quimica Suiza,,3
Ransa Comercial,,3
Realsystems,,3
Renova Sac,,3
Restaurante El Buen Gusto Del Jockey Club Del Peru,,3
Rivercon,,3
Salog,No,3
San Fernando,,3
San Miguel Industrias Pet Sa,,3
Seratic,,3
"Sigma (Braedt, Otto Kunz Y Segoviana)",,3
Silverwolf Servicios &Amp; Tecnologia S.A.,,3
Sistemas Analiticos,,3
Sport Bet Peru,,3
Sunarp,No,3
Supermercados Peruanos,No,3
Talma Servicios Aeroportuarios,,3
Tata Consulting Services,,3
Tech Mahindra,Si,3
Telefonica Del Peru S.A.A.,,3
Telefonica Del Peru Saa,,3
Telefonica Ingenieria De La Seguridad,,3
Teltonika,,3
Teresa Carreno,,3
Texcope S.A.C.,,3
Textil Del Valle Sa Bic,,3
Textiles Camones,,3
Tis Telefonica,,3
Tomocorp,,3
"Transportes Grau , Instituto Bartolome Herrera",,3
Unacem(Ex Cementos Lima),,3
Universidad Cesar Vallejo,,3
Universidad De Ciencias Aplicadas (Upc),,3
Universidad De Lima,,3
Universidad Del Pacifico,No,3
Visual Moon,,3
Vooxell,Si,3
Worki360,,3
Yape - Bcp,,3
!Oh My Kids!,,2
A Y G Chavin De Huantar,,2
Abril Grupo Inmobiliario,,2
Acomemo,,2
Adecco,No,2
Adexus Peru S.A.,,2
Agencia Digital Sinapsis,,2
Ai Inversiones Palo Santo,,2
Aje,,2
Alicorp S.A.,,2
Alicorp Saa,,2
Almacenes Santa Clara S.A.,,2
Altimea,Si,2
Amcor Rigid Packaging Del Peru S.A.,,2
America Brokers,,2
America Movil,,2
America Movil Peru (Claro Peru),,2
Americatel,No,2
Americatel Del Peru,,2
Andina De Radiodifusion Atv,,2
Annexbox,,2
Appsitec Sac,,2
Aqh Consulting,,2
Asociacion Civil Con Proposito - Mab,,2
Audire Inversiones Eirl - Interactivo,,2
Ausa,,2
Autoridad Para La Reconstruccion Con Cambios,,2
Aval,,2
Avance Legal S.A.C.,,2
Avances Tecnologicos,,2
Aya Edificaciones Sac,,2
Ayd Asociados,,2
Ayesa,,2
Ayesa S.A.C.,,2
Ayni Educativo,,2
Background It,,2
Baires Sac,,2
Banco Azteca,,2
Banco Azteca Del Peru S.A,,2
Banco Cencosud,,2
Banco Del Credito Del Peru,,2
Banco Interamericano De Finanzas,,2
Baufest (Transolution),,2
Bavaria Internacional,,2
Bbva Continental,,2
Bcd Travel,,2
Bdo Consulting,,2
Belcorp - Inetum,,2
Bertonati Technologies,,2
Bigmond Group,,2
Binsa Software Peru,,2
Bitel Peru,,2
Blessmed S.A.C. / Blessking Medilabs S.A.C,,2
Bluetab Solutions,,2
Bsg Institute,,2
Business Analytics Sac,,2
Business Insight Center,,2
Bwit Peru Sac,,2
C.E.G.N.E. San Luis,,2
Caesa Sac,,2
Caja Huancayo,,2
Calimod,,2
Camposol,,2
Canvia(Cliente Sunat),,2
Catalogo Jolie,,2
Celer,,2
Celer Sac,,2
Celer Tecnology,,2
Centro De Gestion Del Talento Humano,,2
Centro Nacional De Servicios - Cns,,2
Centrum Pucp,,2
Ceo Cep Peruano Chino Diez De Octubre,,2
Certificaciones Del Peru S.A.,,2
Cfin Transunion,,2
Chain Services Ti S.A.C - Csti,,2
Chain Services Ti S.A.C. - Csti,,2
Chio Lecca Fashion,,2
Cia De Seguridad Prosegur,,2
Cibertec Peru S.A.C,,2
Cignium Technology,,2
Cime Ingenieros Srl,,2
Cinte - Ibm - Banco De Credito,,2
Claro - Grupo America Movil,,2
Claro Movil,,2
Clean Energy Services Del Peru,,2
Clinica Internacional S.A,,2
Clinica San Borja - Sanna,,2
Clinica San Juan De Dios,,2
Club Alianza Lima,,2
Club De Regatas Lima,,2
Cluster And Business Solutions S.A.C.,,2
Codecon Ingenieria Y Construccion,,2
Cofopri,,2
"Colegio 7083 ""Manuel Gonzales Prada""",,2
Colegio Ingenieros Del Peru,,2
Comin Sac,,2
Comunicate Facil Sac,,2
Conida,,2
Constructora De Servicios Multiples Ecosem E.I.R.L,,2
Consultants In Business And Real Estate Peru S.A.,,2
Consultor,,2
Consultora Hitss Peru,,2
Consultora Independiente,,2
Consumo Y Recomiendo Sac,,2
Conxultiva Digital S.A.C,,2
Coop. Santo Cristo De Bagazan,,2
Cooperativa De Ahorro Y Credito 15 De Setiembre,,2
Cooperativa De Ahorro Y Credito De Los Trabajadores De Ipss,,2
Cooperativa De Ahorro Y Creditos San Miguel,,2
Coroimport,,2
Corpexpsac Soluciones,,2
Corporacion 1To1,,2
Corporacion Asura,,2
Corporacion Sehover S.A.C.,,2
Corporacion Tecnologica Capsule Sac,,2
Corporation Peter The Great,,2
Cosapi Data,,2
Cosapi S.A.,,2
Culqi,,2
Cyj Constructores,,2
Datacont,,2
Deister Software Peru,,2
Delaware,Si,2
Delcorp Holding,,2
Delogica,,2
Deltasac,,2
Dezo S.A.C,,2
Dimerc Peru S.A.C.,,2
Direccion General De Responsabilidad Social Unmsm,,2
Distribuidora Atencio S.A.C,,2
Diversas Empresas,,2
Droptek,,2
Drosfar,,2
Dukin Donuts,,2
Dyg Solutions,,2
Ebd Peru,,2
Edificaciones Inmobiliarias,,2
Eig System,,2
Enel Distribucion,,2
Entel Peru S.A.,,2
Enviroequip Sac,,2
Eontec,,2
Epartners Consultores Sac,,2
Epiroc,,2
Er Cloud 4U,,2
Ernst &Amp; Young,,2
Estilos,,2
Everis Bpo,,2
Everis Peru S.A.C.,,2
Everis S.A,,2
Everis Sac,,2
Exacto Peru,,2
Excelia Peru Sac,,2
Experian Peru,,2
Fabrica Nacional De Acumuladores Etna S.A.,,2
Fabrica Peruana Eternit S.A.,,2
Factor It,,2
Facturactiva Del Peru,,2
Falabella Corporativo,,2
Faride Algodon Del Peru Srl,,2
Farmacias Peruanas S.A.,,2
Fiberlux,,2
Fidersa,,2
Filtros Lys,,2
Financiera Confianza,,2
Financiera Crediscotia,,2
Financiera Tfc,,2
Financiera Tfc S.A,,2
Finvivir Peru,,2
Firstflag Strategic Solutions E.I.R.L,,2
Flex Trade Sac,,2
Fondo Mivivienda S.A.,,2
Formiik Peru S.A.C.,,2
Forsac Peru,,2
Fortel,,2
Fortel Customer Experience Bpo,,2
Fractalia S.A.C,,2
Framework Peru,,2
Frelance,,2
Fulltimeforce,,2
Fundacion Calma,No,2
Fundicion Callao,,2
Gdp,,2
Genesis International Advisors,,2
Gepae Peru,,2
Gestion De Servicios Compartidos,,2
Gewalt Peru Sac,,2
Gfi,,2
Gfi Peru Sac,,2
Gilat Networks Peru,,2
Glexco Sac,,2
Global Business Solution Sac,,2
Global Hitss (Cliente Claro),,2
Globant,Si,2
Glolbal Hitss,,2
Glovo App Peru,,2
Go Jom,,2
Golden Investment S.A,,2
Gpon Networks,,2
Grana Y Montero - Linea 1 Del Metro De Lima,,2
Green Electronics,,2
Grupo Ast,,2
Grupo Auna,,2
Grupo Chacarilla Sur,,2
Grupo Cobra Peru,,2
Grupo Electrodata -Compania Minera Miskymayo,,2
Grupo Euromotors,,2
Grupo Intercorp,,2
Grupo Jma,,2
Grupo Konecta,,2
Grupo La Republica,,2
Grupo Planeta S.A.,,2
Grupo Romero - Excellia,,2
Grupo Rpp,,2
Grupo Stefanini,,2
Grupo Tcontakto,,2
Grupo Vyv Bravo Sac,,2
Gss - Peru,,2
Gtd Peru,,2
H Y E Consultores,,2
H&Amp;E Consultores,,2
H.W. Kessel Sac,,2
Helpnet Peru,,2
Hermes Transportes Blindados,,2
Hias Peru,,2
High Service International,,2
High Service International Sac,,2
Hospital Nacional Sergio E. Bernales,,2
Hotel Pullman,,2
Hr Growth Human Resources,,2
Ibm - Bcp,,2
Ibm Del Peru,Si,2
Icpna,,2
Idiomas Catolica,,2
"Idom Consulting, Engineering, Architecture",,2
Importaciones Hiraoka S.A.C,,2
Inca Rail Sac,,2
Indiggo Publicidad,,2
Indigital Solutions Sac,,2
Indra Company (Indra Peru S.A.),,2
Industrias Dq,,2
Inelcom,,2
Inetum Sac,,2
Infhotel - Inforest - Infomatica,,2
Informatica Delta / Ripley S.A,,2
Informatica Delta Sac,,2
Innovapucp,,2
Innovatech Jc,,2
Inovati,,2
Inretail,,2
Institucion 0026 San Roque,,2
Instituto De Seguridad Minera - Isem,,2
Instituto Geofisico Del Peru,,2
Instituto Nacional De Calidad,,2
Instituto Nacional De Estadistica E Informatica,No,2
Instituto Peruano Norteamericano,,2
Instituto Superior Cimas,,2
Instituto Superior Sise,,2
Interamsa (Inversiones Interamericanas),,2
Intercorpretail,,2
Interseguro,No,2
Inventory Group Sac,,2
Inversiones Ascencion De Cachuy S.A.C.,,2
Inversiones Kayser S.A.C,,2
Inversiones Pool,,2
Ipae,,2
Iquasar Tech,,2
Irtp,,2
It Consulting Corporation Sac,,2
It Era Peru Sac,,2
It Storage Eirl,,2
It Team,,2
Italmecan Sac,,2
Ittsabus,,2
Jockey Salud,,2
Jorge Alayo - Productor Musical &Amp; Mixer,,2
Juegos De Video Latinoamerica Peru S.A.C.,,2
Juegos Panamericanos Lima 2019,,2
Juegos Panamericanos Y Parapanamericanos Lima 2019,,2
Katal,,2
Kazuki Consultoria Y Construccion,,2
Komatsu - Mitsui,,2
Komatsu Mitsui,,2
Kpmg,,2
Kruger Corporation,,2
L.O. Electronics,,2
La Calera,,2
La Positiva Seguros Y Reaseguros,,2
Laboratorios Auna,,2
Laboratorios Biomont,,2
Laboratorios Qualab,,2
Laureate - Peru,,2
Lima Innovation Lab,,2
Lindcorp,No,2
Lph Store,,2
Luz Del Sur S.A.A.,,2
Majorel,No,2
Manpower Para El Grupo Ferreyros (Forbis),,2
Mapfre Peru,,2
Marina De Guerra Del Peru,,2
Materia Gris,,2
Maxima Internacional,,2
Mdp Consulting - Cliente: Claro,,2
Mdy Contact Center,,2
Mediabyte,,2
Mediterranea De Catering Slu Sucursal Peru,,2
Menorca Inversiones,,2
Merck Group S.A.,,2
Merck Sharp &Amp; Dohme,,2
Metales Ingenieria Y Construccion Sac.,,2
Metrica Andina Sac(Proyecto Bcp),,2
Metso Outotec,,2
Mibanco - Tata Consultancy,,2
Migiva S.A.C.,,2
Migiva Sac,,2
Minera Barrick,,2
