lastWorkCenter,equivalence,count,equals
Alltelecom,Alltelecom,1,TRUE
Almacenes Santa Clara S.A.,Almacenes Santa Clara S.A.,2,TRUE
Almara Gelato Art,Almara Gelato Art,1,TRUE
Alteliza,Alteliza,1,TRUE
Alteliza Home,Alteliza,1,FALSE
Alternativa Tecnologica,Alternativa Tecnologica,4,TRUE
Altimea,Altimea Communication,2,FALSE
Altimea Communication,Altimea Communication,1,TRUE
Altreda,Altreda,1,TRUE
Alvida S.A,Alvida S.A,1,TRUE
Alwa Ingenieria Sostenible,Alwa Ingenieria Sostenible,1,TRUE
Amas Digital,Amas Digital,1,TRUE
Amauta Impresiones Comerciales,Amauta Impresiones S.A.C,1,FALSE
Amauta Impresiones S.A.C,Amauta Impresiones S.A.C,1,TRUE
Amcor Peru,Amcor Rigid Packaging Del Peru S.A.,1,FALSE
Amcor Rigid Packaging Del Peru S.A.,Amcor Rigid Packaging Del Peru S.A.,2,TRUE
America Brokers,America Brokers,2,TRUE
America Movil,America Movil Peru S.A.C.,2,FALSE
America Movil Peru,America Movil Peru S.A.C.,1,FALSE
America Movil Peru (Claro Peru),America Movil Peru S.A.C.,2,FALSE
America Movil Peru S.A.C.,America Movil Peru S.A.C.,1,TRUE
America Movil Peru S.A.C. - Claro,America Movil Peru S.A.C.,1,FALSE
America Movil Peru Sac,America Movil Peru S.A.C.,3,FALSE
America Television,America Television,1,TRUE
Americatel,Americatel Peru S.A.,2,FALSE
Americatel Del Peru,Americatel Peru S.A.,2,FALSE
Americatel Peru S.A.,Americatel Peru S.A.,1,TRUE
Analista,Analista,1,TRUE
Analitica Visual Consulting,Analitica Visual Consulting,1,TRUE
Anawa Travel Sac,Anawa Travel Sac,1,TRUE
Anc Logistica Integral,Anc Logistica Integral,1,TRUE
Anddes Asociados S.A.C,Anddes Asociados S.A.C,6,TRUE
Andimetal S.A.C,Andimetal S.A.C,1,TRUE
Andina De Radiodifusion Atv,Andina De Radiodifusion Atv,2,TRUE
A-Nexo Contact Center S.A.C,A-Nexo Contact Center S.A.C,1,TRUE
Anglo American,Anglo American,1,TRUE
Anixter Jorvex S.A.C.,Anixter Jorvex S.A.C.,1,TRUE
Anka Networks,Anka Networks,1,TRUE
Annexbox,Annexbox,2,TRUE
Anovo Peru S.A.C,Anovo Peru S.A.C,1,TRUE
Anovo Peru Sac.,Anovo Peru S.A.C,1,FALSE
Antonella Pizzas Y Pastas,Antonella Pizzas Y Pastas,1,TRUE
Apeseg,Apeseg,1,TRUE
Aplex Corp Sac,Aplex Corp Sac,1,TRUE
Apolomultimedia S.A.C,Apolomultimedia S.A.C,1,TRUE
Applehouse,Applehouse,1,TRUE
Applus Norcontrol Peru Sac,Applus Norcontrol Peru Sac,1,TRUE
Appsitec Sac,Appsitec Sac,2,TRUE
Apuesta Total,Apuesta Total,1,TRUE
Apukay,Apukay,1,TRUE
Apumayo Sac,Apumayo Sac,1,TRUE
Aqh Consulting,Aqh Consulting,2,TRUE
Aqualandia Peru,Aqualandia Peru,1,TRUE
Aquamed,Aquamed,1,TRUE
Aquarius Consulting Sac,Aquarius Consulting Sac,1,TRUE
Aramburu Matriz S.A.C.,Aramburu Matriz S.A.C.,1,TRUE
Arca Continental Lindley,Arca Continental Lindley,1,TRUE
Arcadis Peru,Arcadis Peru,1,TRUE
Arcos Dorados S.A.,Arcos Dorados S.A.,1,TRUE
