profileName,equivalence,count
Especialista En Analitica Jr,Especialista En Analitica,49
Especialista En Inteligencia Artificial,Especialista En Inteligencia Artificial,12
Especialista En Office 365,Especialista En Office 365,14
Especialista En Power Platform,Especialista En Power Platform,2
Especialista En Project Server Y Project Online,Especialista En Project Server Y Project Online,26
Especialista Office 365,Especialista En Office 365,72
Especialista Office 365 - Sharepoint,Especialista En Office 365,10
Especialista Power Bi,Especialista Power Bi,4
Especialista Power Platform,Especialista En Power Platform,8
Especialista Project Online,Especialista En Project Server Y Project Online,36
Especialista Senior En Datos,Especialista Senior En Datos,4
Especialista Sharepoint,Especialista Sharepoint,10
Especialista Sharepoint Framework,Especialista Sharepoint,4
Gerente De Linea - Modern Workplace,Gerente De Linea - Modern Workplace,12
Gestor De Licenciamiento,Gestor De Licenciamiento,5
Gestor De Servicios Cloud,Gestor De Servicios Cloud,13
Gestor De Servicios Cloud (Junior),Gestor De Servicios Cloud,7
Gestor De Servicios Cloud Jr.,Gestor De Servicios Cloud,17
Gestor De Servicios De Ti,Gestor De Servicios De Ti,288
Jefe De Proyecto - Analytics & Ai,Jefe De Proyecto - Analytics & Ai,252
Jefe De Proyecto - Modern Workplace,Jefe De Proyecto - Modern Workplace,32
Jefe De Proyecto Para El Area De Analytics & Ai,Jefe De Proyecto - Analytics & Ai,103
Jefe De Proyecto Ti,Jefe De Proyecto - Modern Workplace,81
Jefe De Proyectos - Analytics & Ai,Jefe De Proyecto - Analytics & Ai,123
Jefe De Proyectos - Modern Workplace,Jefe De Proyectos - Modern Workplace,26
Jefe De Proyectos Ti - Modern Workplace,Jefe De Proyecto - Modern Workplace,58
Lider Tecnico,Lider Tecnico,110
Lider Tecnico / Arquitecto Mobile,Lider Tecnico,6
Lider Tecnico De Big Data,Lider Tecnico,8
Operador De Sistemas,Operador De Sistemas,67
Practicante De Infrastructure & Cloud,Practicante De Infrastructure & Cloud,64
Practicante De Procesos,Practicante De Procesos,55
Practicante De Recursos Humanos,Practicante De Recursos Humanos,360
Practicante De Servicios Ti,Practicante De Servicios Ti,5
Practicante Desarrollador .Net / Sharepoint,Practicante Desarrollador .Net / Sharepoint,10
Practicante Iot/Ia,Practicante Iot/Ia,37
Pre-Venta - Cloud Computing,Pre-Venta - Cloud Computing,26
Programador .Net,Desarrollador .Net,140
Programador .Net Senior,Desarrollador .Net,7
Programador Frontend,Programador Frontend,17
Programador Java,Desarrollador Java,17
Programador Mobile,Programador Mobile,1
Programador Oracle,Programador Oracle,11
Qa Funcional - Aseguramiento De Calidad,Analista De Calidad,14
Scrum Master,Scrum Master,64
Senior Data Engineer,Data Engineer Sr.,3
Software Engineer,Software Engineer,3
Sql Server Consultant,Sql Server Consultant,51
Technical Architect,Technical Architect,6
