algoritmo,particion,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,robustez,promedioMetricas,tiempoPromedio
K vecinos más cercanos,Total de datos,9655,2414,0.2,0.33s,"[[1890, 127], [79, 318]]",91.47%,71.46%,80.10%,75.53%,79.64%,0.03ms
Máquina de vectores de soporte,Total de datos,9655,2414,0.2,19.76s,"[[2017, 0], [139, 258]]",94.24%,100.00%,64.99%,78.78%,84.50%,1.64ms
Regresión logística,Total de datos,9655,2414,0.2,0.61s,"[[1982, 35], [247, 150]]",88.32%,81.08%,37.78%,51.55%,64.68%,0.05ms
Naive bayes gaussiano,Total de datos,9655,2414,0.2,0.19s,"[[990, 1027], [4, 393]]",57.29%,27.68%,98.99%,43.26%,56.80%,0.02ms
Aumento de gradiente,Total de datos,9655,2414,0.2,8.05s,"[[2014, 3], [326, 71]]",86.37%,95.95%,17.88%,30.15%,57.59%,0.67ms
Árbol de decisión,Total de datos,9655,2414,0.2,1.71s,"[[1949, 68], [15, 382]]",96.56%,84.89%,96.22%,90.20%,91.97%,0.14ms
Bosque aleatorio,Total de datos,9655,2414,0.2,3.86s,"[[2017, 0], [14, 383]]",99.42%,100.00%,96.47%,98.21%,98.52%,0.32ms
