algoritmo,tipo,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,valorF,tiempoPromedio
DT,Total de datos,9051,3018,0.2,3.39s,"[[2454, 71], [20, 473]]",96.98%,86.95%,95.94%,91.22%,0.28ms
GB,Total de datos,9051,3018,0.2,9.22s,"[[2525, 0], [404, 89]]",86.61%,100.00%,18.05%,30.58%,0.76ms
GNB,Total de datos,9051,3018,0.2,0.25s,"[[1282, 1243], [11, 482]]",58.45%,27.94%,97.77%,43.46%,0.02ms
KNN,Total de datos,9051,3018,0.2,0.42s,"[[2446, 79], [111, 382]]",93.70%,82.86%,77.48%,80.08%,0.03ms
LR,Total de datos,9051,3018,0.2,0.97s,"[[2502, 23], [198, 295]]",92.68%,92.77%,59.84%,72.75%,0.08ms
RF,Total de datos,9051,3018,0.2,5.43s,"[[2525, 0], [20, 473]]",99.34%,100.00%,95.94%,97.93%,0.45ms
SVM,Total de datos,9051,3018,0.2,23.29s,"[[2525, 0], [164, 329]]",94.57%,100.00%,66.73%,80.05%,1.93ms
