algoritmo,particion,registrosEntrenamiento,registrosPrueba,proporcionSobremuestreo,tiempoEjecucion,matrizConfusion,exactitud,precision,sensibilidad,robustez,promedioMetricas,tiempoPromedio
DT,Total de datos,9051,3018,0.2,2.76s,"[[2439, 86], [20, 473]]",96.49%,84.62%,95.94%,89.92%,91.74%,0.23ms
GB,Total de datos,9051,3018,0.2,7.98s,"[[2524, 1], [381, 112]]",87.34%,99.12%,22.72%,36.96%,61.53%,0.66ms
GNB,Total de datos,9051,3018,0.2,0.21s,"[[1206, 1319], [10, 483]]",55.96%,26.80%,97.97%,42.09%,55.71%,0.02ms
KNN,Total de datos,9051,3018,0.2,0.37s,"[[2425, 100], [111, 382]]",93.01%,79.25%,77.48%,78.36%,82.03%,0.03ms
LR,Total de datos,9051,3018,0.2,0.87s,"[[2494, 31], [239, 254]]",91.05%,89.12%,51.52%,65.30%,74.25%,0.07ms
RF,Total de datos,9051,3018,0.2,4.44s,"[[2525, 0], [22, 471]]",99.27%,100.00%,95.54%,97.72%,98.13%,0.37ms
SVM,Total de datos,9051,3018,0.2,18.73s,"[[2525, 0], [183, 310]]",93.94%,100.00%,62.88%,77.21%,83.51%,1.55ms
