sigla,algoritmo,exactitud,precision,sensibilidad,robustez,tiempoFiltradoCandidatos,tiempoGeneracionReporte,promedioMetricas
KNN,K vecinos más cercanos,0.9094,0.7370,0.8465,0.7878,23.3728,0.2259,0.8202
SVM,Máquina de vectores de soporte,0.9447,0.9943,0.7256,0.8388,23.9069,0.2306,0.8759
LR,Regresión logística,0.8725,0.7795,0.4995,0.6085,2.6225,0.2462,0.6900
DT,Árbol de decisión,0.9674,0.8677,0.9864,0.9232,1.6873,0.2298,0.9362
RF,Bosque aleatorio,0.9970,1.0000,0.9847,0.9923,4.0439,0.2321,0.9935
GBM,Aumento de gradiente,0.8619,0.9625,0.3171,0.4768,16.7809,0.2289,0.6546
