sigla,KNN,SVM,LR,DT,RF,GBM
algoritmo,K vecinos más cercanos,Máquina de vectores de soporte,Regresión logística,Árbol de decisión,Bosque aleatorio,Aumento de gradiente
exactitud,0.9094,0.9447,0.8725,0.9674,0.9970,0.8619
precision,0.7370,0.9943,0.7795,0.8677,1.0000,0.9625
sensibilidad,0.8465,0.7256,0.4995,0.9864,0.9847,0.3171
robustez,0.7878,0.8388,0.6085,0.9232,0.9923,0.4768
tiempoFiltradoCandidatos,23.3728,23.9069,2.6225,1.6873,4.0439,16.7809
tiempoGeneracionReporte,0.2259,0.2306,0.2462,0.2298,0.2321,0.2289
promedioMetricas,0.8202,0.8759,0.6900,0.9362,0.9935,0.6546
